OFFSETS:,"['25.0', '43.2', '0.0']"
GREENS:,"['13.8', '7.6', '4.8', '10.1']"
LAST_GREENS:,"['31.7', '39.6', '43.9']"
RESULTS:,13.49,118.12,93.00

OFFSETS:,"['20.7', '23.8', '32.3']"
GREENS:,"['19.1', '35.6', '10.6', '47.4']"
LAST_GREENS:,"['26.4', '5.7', '6.6']"
RESULTS:,11.79,51.82,49.00

OFFSETS:,"['1.6', '40.2', '25.0']"
GREENS:,"['25.4', '7.3', '10.3', '43.2']"
LAST_GREENS:,"['20.1', '34.4', '10.8']"
RESULTS:,9.60,97.17,68.00

OFFSETS:,"['58.1', '18.8', '41.5']"
GREENS:,"['39.9', '46.5', '4.4', '2.1']"
LAST_GREENS:,"['5.6', '1.1', '51.9']"
RESULTS:,18.63,127.43,106.00

OFFSETS:,"['25.0', '40.2', '1.4']"
GREENS:,"['13.2', '7.3', '10.3', '44.7']"
LAST_GREENS:,"['32.3', '34.4', '9.3']"
RESULTS:,8.27,85.82,69.00

OFFSETS:,"['1.9', '23.7', '32.4']"
GREENS:,"['25.5', '5.6', '10.3', '47.4']"
LAST_GREENS:,"['20.0', '36.1', '6.6']"
RESULTS:,8.40,88.82,54.00

OFFSETS:,"['1.6', '43.2', '24.0']"
GREENS:,"['25.9', '7.6', '4.8', '8.6']"
LAST_GREENS:,"['19.6', '39.6', '45.4']"
RESULTS:,14.18,117.13,99.00

OFFSETS:,"['20.5', '40.3', '25.0']"
GREENS:,"['19.0', '37.4', '10.6', '43.3']"
LAST_GREENS:,"['26.5', '4.0', '10.7']"
RESULTS:,6.39,37.10,20.00

OFFSETS:,"['25.0', '40.2', '26.7']"
GREENS:,"['13.2', '7.3', '10.3', '44.7']"
LAST_GREENS:,"['32.3', '34.4', '9.3']"
RESULTS:,9.67,96.65,67.00

OFFSETS:,"['20.6', '40.3', '0.3']"
GREENS:,"['19.1', '37.4', '10.6', '43.3']"
LAST_GREENS:,"['26.4', '4.0', '10.7']"
RESULTS:,8.56,35.20,21.00

OFFSETS:,"['20.7', '40.3', '1.1']"
GREENS:,"['19.0', '37.4', '10.6', '44.7']"
LAST_GREENS:,"['26.5', '4.0', '9.3']"
RESULTS:,7.59,36.85,24.00

OFFSETS:,"['24.8', '40.2', '25.4']"
GREENS:,"['13.2', '7.3', '10.3', '43.3']"
LAST_GREENS:,"['32.3', '34.4', '10.7']"
RESULTS:,9.87,98.34,70.00

OFFSETS:,"['20.7', '40.3', '1.2']"
GREENS:,"['19.0', '37.4', '10.6', '44.7']"
LAST_GREENS:,"['26.5', '4.0', '9.3']"
RESULTS:,7.59,36.85,24.00

OFFSETS:,"['25.0', '40.3', '24.6']"
GREENS:,"['13.2', '38.1', '10.3', '43.3']"
LAST_GREENS:,"['32.3', '3.6', '10.7']"
RESULTS:,5.31,43.57,29.00

OFFSETS:,"['20.6', '40.3', '0.2']"
GREENS:,"['19.1', '37.4', '10.6', '43.3']"
LAST_GREENS:,"['26.4', '4.0', '10.7']"
RESULTS:,8.56,35.20,21.00

OFFSETS:,"['11.5', '40.2', '1.8']"
GREENS:,"['19.0', '6.6', '10.6', '43.4']"
LAST_GREENS:,"['26.5', '34.8', '10.6']"
RESULTS:,8.32,87.46,56.00

