OFFSETS ,"['48.28', '15.93', '36.02']"
GREENS ,"['53.22', '37.49', '22.62', '51.54']"
LAST_GREENS ,"['7.28', '6.89', '17.46']"
RESULTS:,51.92,43.50,48.00

OFFSETS ,"['74.02', '48.36', '16.51']"
GREENS ,"['44.57', '50.17', '3.30', '31.32']"
LAST_GREENS ,"['15.93', '13.54', '37.68']"
RESULTS:,64.27,38.15,32.33

OFFSETS ,"['34.14', '46.81', '6.31']"
GREENS ,"['44.08', '47.46', '13.48', '1.07']"
LAST_GREENS ,"['16.42', '6.06', '67.93']"
RESULTS:,176.46,87.88,53.00

OFFSETS ,"['41.28', '58.72', '52.39']"
GREENS ,"['1.87', '43.96', '65.15', '26.61']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['37.15', '16.42', '49.34']"
GREENS ,"['15.65', '51.21', '0.63', '31.69']"
LAST_GREENS ,"['44.85', '15.16', '37.31']"
RESULTS:,87.74,46.83,35.67

OFFSETS ,"['25.26', '47.36', '6.24']"
GREENS ,"['59.72', '29.88', '18.37', '39.22']"
LAST_GREENS ,"['0.78', '18.75', '29.78']"
RESULTS:,101.91,60.31,75.33

OFFSETS ,"['34.14', '46.81', '60.05']"
GREENS ,"['44.08', '48.00', '13.48', '1.07']"
LAST_GREENS ,"['16.42', '5.52', '67.93']"
RESULTS:,175.30,88.24,52.33

OFFSETS ,"['23.89', '47.19', '67.31']"
GREENS ,"['56.52', '16.67', '7.40', '31.60']"
LAST_GREENS ,"['3.98', '42.94', '37.40']"
RESULTS:,187.32,89.11,92.67

OFFSETS ,"['34.55', '47.27', '6.31']"
GREENS ,"['42.82', '27.87', '13.48', '1.07']"
LAST_GREENS ,"['17.68', '25.64', '67.93']"
RESULTS:,200.12,87.57,63.33

OFFSETS ,"['43.22', '53.38', '34.52']"
GREENS ,"['48.83', '6.98', '56.90', '29.65']"
LAST_GREENS ,"['11.67', '3.11', '39.35']"
RESULTS:,296.44,147.39,120.67

OFFSETS ,"['64.39', '10.73', '59.84']"
GREENS ,"['29.44', '27.74', '64.36', '32.10']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['41.88', '2.27', '67.56']"
GREENS ,"['56.52', '16.88', '7.73', '31.60']"
LAST_GREENS ,"['3.98', '42.39', '37.40']"
RESULTS:,226.46,94.77,93.00

OFFSETS ,"['58.88', '6.38', '30.40']"
GREENS ,"['29.13', '57.36', '45.29', '66.85']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['37.15', '16.44', '43.54']"
GREENS ,"['15.58', '51.09', '1.03', '43.33']"
LAST_GREENS ,"['44.92', '14.88', '25.67']"
RESULTS:,53.08,35.74,24.33

OFFSETS ,"['37.78', '17.44', '36.78']"
GREENS ,"['28.96', '36.74', '0.96', '51.78']"
LAST_GREENS ,"['31.54', '29.30', '17.22']"
RESULTS:,28.46,20.80,17.67

OFFSETS ,"['74.02', '13.80', '17.03']"
GREENS ,"['44.57', '50.17', '3.30', '29.28']"
LAST_GREENS ,"['15.93', '13.54', '39.72']"
RESULTS:,71.50,46.51,33.50

OFFSETS ,"['48.08', '15.78', '5.45']"
GREENS ,"['53.23', '29.88', '18.37', '39.22']"
LAST_GREENS ,"['7.27', '18.75', '29.78']"
RESULTS:,85.40,47.38,48.33

OFFSETS ,"['37.04', '14.59', '69.46']"
GREENS ,"['15.37', '34.42', '19.11', '31.31']"
LAST_GREENS ,"['45.13', '13.47', '37.69']"
RESULTS:,89.95,49.86,28.67

OFFSETS ,"['61.33', '36.22', '43.53']"
GREENS ,"['49.66', '24.14', '20.04', '43.38']"
LAST_GREENS ,"['10.84', '22.82', '25.62']"
RESULTS:,92.98,55.91,75.67

OFFSETS ,"['37.15', '51.06', '43.02']"
GREENS ,"['15.65', '51.09', '0.63', '48.07']"
LAST_GREENS ,"['44.85', '15.29', '20.93']"
RESULTS:,14.71,13.79,13.00

OFFSETS ,"['53.35', '47.24', '68.21']"
GREENS ,"['19.32', '18.21', '19.31', '56.78']"
LAST_GREENS ,"['41.18', '29.49', '12.22']"
RESULTS:,114.50,65.07,91.33

OFFSETS ,"['17.86', '48.29', '68.22']"
GREENS ,"['56.11', '50.83', '12.17', '31.72']"
LAST_GREENS ,"['4.39', '4.00', '37.28']"
RESULTS:,82.61,60.55,50.00

OFFSETS ,"['18.12', '5.98', '36.78']"
GREENS ,"['29.33', '36.61', '0.96', '51.78']"
LAST_GREENS ,"['31.17', '29.43', '17.22']"
RESULTS:,45.45,29.76,22.67

OFFSETS ,"['25.75', '47.50', '36.81']"
GREENS ,"['59.78', '37.49', '22.33', '51.54']"
LAST_GREENS ,"['0.72', '7.18', '17.46']"
RESULTS:,89.39,63.54,49.67

OFFSETS ,"['37.63', '16.49', '69.76']"
GREENS ,"['29.13', '36.59', '1.03', '51.89']"
LAST_GREENS ,"['31.37', '29.37', '17.11']"
RESULTS:,49.41,27.73,21.00

OFFSETS ,"['74.50', '6.74', '68.03']"
GREENS ,"['46.62', '52.75', '0.92', '31.34']"
LAST_GREENS ,"['13.88', '13.33', '37.66']"
RESULTS:,61.09,41.01,30.50

OFFSETS ,"['17.74', '48.36', '16.58']"
GREENS ,"['46.62', '50.83', '3.17', '31.38']"
LAST_GREENS ,"['13.88', '13.00', '37.62']"
RESULTS:,68.82,42.80,29.00

OFFSETS ,"['37.15', '51.06', '42.45']"
GREENS ,"['55.05', '35.41', '0.08', '48.07']"
LAST_GREENS ,"['5.45', '31.51', '20.93']"
RESULTS:,38.41,24.36,26.00

OFFSETS ,"['18.17', '6.38', '67.73']"
GREENS ,"['47.17', '52.76', '0.96', '58.76']"
LAST_GREENS ,"['13.33', '13.29', '10.24']"
RESULTS:,29.67,26.36,29.50

OFFSETS ,"['17.36', '6.28', '30.98']"
GREENS ,"['29.13', '52.76', '0.96', '58.74']"
LAST_GREENS ,"['31.37', '13.29', '10.26']"
RESULTS:,30.80,29.20,42.00

OFFSETS ,"['38.41', '17.53', '30.04']"
GREENS ,"['28.97', '36.20', '0.92', '50.96']"
LAST_GREENS ,"['31.53', '29.88', '18.04']"
RESULTS:,29.64,21.02,18.00

OFFSETS ,"['38.61', '47.41', '30.17']"
GREENS ,"['31.66', '50.23', '1.29', '51.95']"
LAST_GREENS ,"['28.84', '15.48', '17.05']"
RESULTS:,20.20,15.90,13.33

OFFSETS ,"['37.64', '17.83', '67.73']"
GREENS ,"['46.80', '52.88', '0.96', '58.75']"
LAST_GREENS ,"['13.70', '13.16', '10.25']"
RESULTS:,37.50,32.34,35.50

OFFSETS ,"['17.94', '11.63', '36.55']"
GREENS ,"['15.23', '51.43', '0.96', '51.75']"
LAST_GREENS ,"['45.27', '14.62', '17.25']"
