1, 448.49
2, 1151.13
3, 1798.67
4, 2392.79
5, 2899.27
6, 3314.97
7, 3791.96
8, 4041.09
9, 4368.15
10, 4759.71
11, 5031.71
12, 5398.91
13, 5721.89
14, 6055.51
15, 6312.47
16, 6573.98
17, 6767.02
18, 6962.48
19, 7047.71
20, 7214.03
21, 7406.06
22, 7611.12
23, 7746.85
24, 7823.75
25, 7910.17
26, 8051.08
27, 8105.67
28, 8251.28
29, 8441.36
30, 8641.13
31, 8827.39
32, 8903.61
33, 8998.95
34, 9181.10
35, 9387.16
36, 9543.17
37, 9726.70
38, 9803.92
39, 9941.65
40, 10016.89
41, 10082.96
42, 10168.06
43, 10243.50
44, 10348.83
45, 10443.40
46, 10505.08
47, 10600.09
48, 10643.53
49, 10685.68
50, 10728.08
