OFFSETS ,"['37.83', '48.19', '36.78']"
GREENS ,"['29.33', '35.41', '0.10', '51.80']"
LAST_GREENS ,"['31.17', '31.49', '17.20']"
RESULTS:,35.01,22.16,23.67

OFFSETS ,"['37.78', '17.84', '72.91']"
GREENS ,"['44.24', '51.41', '0.96', '58.54']"
LAST_GREENS ,"['16.26', '14.63', '10.46']"
RESULTS:,24.28,20.02,12.00

OFFSETS ,"['37.63', '16.49', '69.25']"
GREENS ,"['29.12', '49.75', '1.29', '31.34']"
LAST_GREENS ,"['31.38', '15.96', '37.66']"
RESULTS:,45.95,29.27,27.00

OFFSETS ,"['38.61', '47.41', '30.17']"
GREENS ,"['31.66', '50.23', '1.28', '52.04']"
LAST_GREENS ,"['28.84', '15.49', '16.96']"
RESULTS:,20.20,15.90,13.33

OFFSETS ,"['37.15', '17.75', '42.92']"
GREENS ,"['15.69', '36.42', '0.97', '47.72']"
LAST_GREENS ,"['44.81', '29.61', '21.28']"
RESULTS:,50.08,33.01,27.67

OFFSETS ,"['38.41', '17.87', '73.69']"
GREENS ,"['44.21', '51.27', '0.92', '50.96']"
LAST_GREENS ,"['16.29', '14.81', '18.04']"
RESULTS:,22.18,17.83,13.33

OFFSETS ,"['18.25', '17.44', '37.34']"
GREENS ,"['28.96', '36.74', '0.96', '51.81']"
LAST_GREENS ,"['31.54', '29.30', '17.19']"
RESULTS:,34.56,24.52,18.33

OFFSETS ,"['37.15', '51.06', '43.02']"
GREENS ,"['15.65', '50.85', '0.63', '48.07']"
LAST_GREENS ,"['44.85', '15.52', '20.93']"
RESULTS:,14.71,13.79,13.00

OFFSETS ,"['74.10', '51.06', '43.84']"
GREENS ,"['15.65', '51.12', '1.29', '48.07']"
LAST_GREENS ,"['44.85', '14.59', '20.93']"
RESULTS:,21.43,19.81,28.00

OFFSETS ,"['37.63', '48.19', '36.78']"
GREENS ,"['28.96', '35.41', '0.10', '51.81']"
LAST_GREENS ,"['31.54', '31.49', '17.19']"
RESULTS:,35.01,22.16,23.67

OFFSETS ,"['37.61', '17.44', '45.01']"
GREENS ,"['29.07', '36.59', '0.96', '51.81']"
LAST_GREENS ,"['31.43', '29.45', '17.19']"
RESULTS:,39.33,27.18,21.33

