OFFSETS ,"['21.62', '6.38', '30.40']"
GREENS ,"['30.66', '53.24', '1.33', '68.76']"
LAST_GREENS ,"['29.84', '12.43', '0.24']"
RESULTS:,59.93,55.54,46.50

OFFSETS ,"['41.88', '2.27', '67.31']"
GREENS ,"['56.52', '16.67', '7.40', '31.60']"
LAST_GREENS ,"['3.98', '42.94', '37.40']"
RESULTS:,223.74,94.10,93.00

OFFSETS ,"['67.12', '24.04', '0.38']"
GREENS ,"['12.65', '51.10', '65.23', '37.73']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['45.23', '18.75', '4.22']"
GREENS ,"['46.17', '6.68', '64.28', '3.89']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['55.40', '39.35', '7.93']"
GREENS ,"['0.58', '64.57', '13.39', '10.20']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['34.79', '60.84', '1.98']"
GREENS ,"['42.53', '42.65', '62.86', '22.79']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['38.10', '33.00', '13.74']"
GREENS ,"['46.81', '1.89', '15.43', '31.57']"
LAST_GREENS ,"['13.69', '49.69', '37.43']"
RESULTS:,346.75,136.71,131.00

OFFSETS ,"['18.02', '38.38', '67.63']"
GREENS ,"['47.22', '24.87', '11.89', '58.72']"
LAST_GREENS ,"['13.28', '30.24', '10.28']"
RESULTS:,95.53,58.57,77.00

OFFSETS ,"['38.10', '33.00', '13.74']"
GREENS ,"['44.76', '1.95', '15.55', '31.56']"
LAST_GREENS ,"['15.74', '49.49', '37.44']"
RESULTS:,346.75,136.71,131.00

OFFSETS ,"['42.05', '1.46', '67.32']"
GREENS ,"['47.63', '16.78', '7.12', '31.73']"
LAST_GREENS ,"['12.87', '43.11', '37.27']"
RESULTS:,221.83,93.26,90.67

OFFSETS ,"['37.15', '16.50', '43.54']"
GREENS ,"['15.65', '51.09', '0.63', '46.03']"
LAST_GREENS ,"['44.85', '15.29', '22.97']"
RESULTS:,47.43,33.07,23.67

OFFSETS ,"['64.39', '10.73', '6.10']"
GREENS ,"['29.48', '33.68', '64.27', '32.10']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['17.86', '39.36', '67.62']"
GREENS ,"['56.11', '24.76', '12.17', '58.60']"
LAST_GREENS ,"['4.39', '30.07', '10.40']"
RESULTS:,92.84,56.96,79.67

OFFSETS ,"['48.28', '55.91', '58.38']"
GREENS ,"['53.22', '8.03', '22.62', '17.33']"
LAST_GREENS ,"['7.28', '36.35', '51.67']"
RESULTS:,309.64,117.80,113.67

OFFSETS ,"['25.46', '47.50', '36.81']"
GREENS ,"['59.71', '37.49', '22.62', '51.54']"
LAST_GREENS ,"['0.79', '6.89', '17.46']"
RESULTS:,90.14,64.81,49.00

OFFSETS ,"['53.45', '49.07', '49.34']"
GREENS ,"['19.63', '51.21', '0.63', '0.89']"
LAST_GREENS ,"['40.87', '15.16', '68.11']"
RESULTS:,114.37,59.64,56.00

OFFSETS ,"['74.30', '6.99', '30.40']"
GREENS ,"['31.42', '53.20', '1.33', '68.70']"
LAST_GREENS ,"['29.08', '12.47', '0.30']"
RESULTS:,63.24,58.60,47.00

OFFSETS ,"['53.35', '47.24', '36.48']"
GREENS ,"['19.14', '28.09', '19.26', '0.05']"
LAST_GREENS ,"['41.36', '19.65', '68.95']"
RESULTS:,207.42,99.46,60.33

OFFSETS ,"['61.50', '36.15', '49.33']"
GREENS ,"['49.66', '24.26', '19.79', '31.72']"
LAST_GREENS ,"['10.84', '22.94', '37.28']"
RESULTS:,107.93,61.18,71.00

OFFSETS ,"['43.25', '2.51', '6.24']"
GREENS ,"['59.72', '29.88', '13.21', '39.22']"
LAST_GREENS ,"['0.78', '23.91', '29.78']"
RESULTS:,73.25,46.21,53.67

OFFSETS ,"['21.65', '5.94', '16.58']"
GREENS ,"['46.53', '53.24', '3.21', '68.70']"
LAST_GREENS ,"['13.97', '10.55', '0.30']"
RESULTS:,65.25,61.02,48.50

OFFSETS ,"['74.02', '48.36', '30.34']"
GREENS ,"['30.75', '50.23', '1.29', '31.34']"
LAST_GREENS ,"['29.75', '15.48', '37.66']"
RESULTS:,50.70,31.30,26.67

OFFSETS ,"['74.02', '47.41', '30.17']"
GREENS ,"['31.66', '50.23', '1.29', '40.27']"
LAST_GREENS ,"['28.84', '15.48', '28.73']"
RESULTS:,33.20,24.33,20.00

OFFSETS ,"['22.66', '49.33', '49.96']"
GREENS ,"['44.57', '50.22', '1.61', '31.25']"
LAST_GREENS ,"['15.93', '15.18', '37.75']"
RESULTS:,51.62,32.36,26.33

OFFSETS ,"['73.76', '51.04', '68.14']"
GREENS ,"['56.11', '50.23', '14.10', '31.68']"
LAST_GREENS ,"['4.39', '2.66', '37.32']"
RESULTS:,83.12,65.69,51.00

OFFSETS ,"['48.28', '15.93', '36.59']"
GREENS ,"['13.80', '53.16', '24.23', '51.54']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['43.25', '3.52', '6.42']"
GREENS ,"['60.32', '29.88', '18.37', '31.36']"
LAST_GREENS ,"['0.18', '18.75', '37.64']"
RESULTS:,99.53,56.69,60.00

OFFSETS ,"['36.04', '5.42', '29.49']"
GREENS ,"['30.66', '53.19', '5.02', '68.40']"
LAST_GREENS ,"['29.84', '8.79', '0.60']"
RESULTS:,72.70,62.46,50.33

OFFSETS ,"['18.15', '6.38', '30.98']"
GREENS ,"['28.97', '52.76', '0.96', '58.74']"
LAST_GREENS ,"['31.53', '13.29', '10.26']"
RESULTS:,24.72,23.53,35.50

OFFSETS ,"['21.62', '5.94', '17.18']"
GREENS ,"['46.42', '53.24', '3.21', '68.76']"
LAST_GREENS ,"['14.08', '10.55', '0.24']"
RESULTS:,65.45,60.36,48.50

OFFSETS ,"['73.05', '17.44', '36.78']"
GREENS ,"['28.95', '36.74', '0.96', '40.10']"
LAST_GREENS ,"['31.55', '29.30', '28.90']"
RESULTS:,61.03,38.01,30.00

OFFSETS ,"['37.82', '17.38', '67.37']"
GREENS ,"['15.58', '51.09', '0.96', '42.99']"
LAST_GREENS ,"['44.92', '14.96', '26.01']"
RESULTS:,36.09,25.10,19.33

OFFSETS ,"['37.14', '17.83', '43.90']"
GREENS ,"['46.80', '52.88', '0.96', '59.01']"
LAST_GREENS ,"['13.70', '13.16', '9.99']"
RESULTS:,37.09,34.07,46.00

OFFSETS ,"['37.61', '17.44', '44.69']"
GREENS ,"['29.06', '36.59', '0.96', '51.81']"
LAST_GREENS ,"['31.44', '29.45', '17.19']"
RESULTS:,34.02,23.96,20.67

OFFSETS ,"['37.61', '17.44', '31.10']"
GREENS ,"['28.96', '37.03', '0.96', '50.81']"
LAST_GREENS ,"['31.54', '29.01', '18.19']"
RESULTS:,25.31,18.72,17.00

OFFSETS ,"['74.10', '51.06', '43.02']"
GREENS ,"['15.65', '51.09', '1.29', '48.07']"
LAST_GREENS ,"['44.85', '14.63', '20.93']"
RESULTS:,18.16,16.88,20.50

OFFSETS ,"['37.52', '6.38', '67.17']"
GREENS ,"['47.17', '52.76', '0.96', '58.76']"
LAST_GREENS ,"['13.33', '13.29', '10.24']"
RESULTS:,34.82,28.12,26.00

OFFSETS ,"['37.78', '17.44', '36.78']"
GREENS ,"['15.16', '36.74', '0.96', '51.78']"
LAST_GREENS ,"['45.34', '29.30', '17.22']"
RESULTS:,28.46,20.80,17.67

OFFSETS ,"['37.61', '50.75', '36.88']"
GREENS ,"['28.91', '51.17', '0.60', '52.16']"
LAST_GREENS ,"['31.59', '15.23', '16.84']"
RESULTS:,18.93,17.07,20.00

OFFSETS ,"['18.94', '51.06', '43.02']"
GREENS ,"['28.29', '51.09', '0.96', '48.06']"
LAST_GREENS ,"['32.21', '14.95', '20.94']"
RESULTS:,19.60,17.85,23.50

OFFSETS ,"['37.61', '48.41', '30.04']"
GREENS ,"['29.13', '36.43', '0.92', '51.90']"
LAST_GREENS ,"['31.37', '29.65', '17.10']"
RESULTS:,39.16,23.29,17.67

OFFSETS ,"['37.78', '17.51', '28.96']"
GREENS ,"['29.00', '36.34', '0.96', '58.54']"
LAST_GREENS ,"['31.50', '29.70', '10.46']"
RESULTS:,28.75,20.80,24.00

OFFSETS ,"['38.61', '47.41', '30.17']"
GREENS ,"['31.66', '50.23', '1.28', '52.04']"
LAST_GREENS ,"['28.84', '15.49', '16.96']"
RESULTS:,20.20,15.90,13.33

OFFSETS ,"['37.60', '17.44', '36.33']"
GREENS ,"['16.31', '51.21', '0.96', '51.75']"
LAST_GREENS ,"['44.19', '14.83', '17.25']"
RESULTS:,19.55,17.90,19.50

OFFSETS ,"['37.78', '50.61', '72.91']"
GREENS ,"['44.24', '51.41', '0.96', '58.92']"
LAST_GREENS ,"['16.26', '14.63', '10.08']"
RESULTS:,39.00,36.12,47.50

OFFSETS ,"['18.94', '51.61', '43.02']"
GREENS ,"['29.12', '35.46', '0.96', '48.07']"
LAST_GREENS ,"['31.38', '30.58', '20.93']"
RESULTS:,66.70,39.84,55.33

OFFSETS ,"['37.76', '17.19', '42.93']"
GREENS ,"['28.96', '37.03', '1.27', '50.73']"
LAST_GREENS ,"['31.54', '28.69', '18.27']"
RESULTS:,42.11,29.17,23.67

OFFSETS ,"['74.10', '51.04', '43.86']"
GREENS ,"['15.65', '50.23', '1.29', '48.07']"
LAST_GREENS ,"['44.85', '15.49', '20.93']"
RESULTS:,16.02,14.83,14.50

OFFSETS ,"['38.65', '47.54', '43.02']"
GREENS ,"['15.52', '51.15', '0.63', '52.04']"
LAST_GREENS ,"['44.98', '15.22', '16.96']"
RESULTS:,14.90,14.12,15.50

OFFSETS ,"['38.60', '47.42', '36.57']"
GREENS ,"['30.53', '50.93', '0.95', '51.95']"
LAST_GREENS ,"['29.97', '15.12', '17.05']"
RESULTS:,13.70,12.64,12.50

OFFSETS ,"['38.42', '49.90', '44.04']"
GREENS ,"['44.21', '51.41', '0.92', '48.15']"
LAST_GREENS ,"['16.29', '14.67', '20.85']"
RESULTS:,14.32,13.40,11.00

OFFSETS ,"['38.63', '47.25', '43.02']"
GREENS ,"['14.07', '50.37', '0.63', '48.07']"
LAST_GREENS ,"['46.43', '16.00', '20.93']"
RESULTS:,14.05,13.17,10.50

OFFSETS ,"['37.15', '51.06', '42.96']"
GREENS ,"['15.65', '50.85', '0.63', '48.11']"
LAST_GREENS ,"['44.85', '15.52', '20.89']"
RESULTS:,14.71,13.79,13.00

OFFSETS ,"['37.77', '17.84', '72.66']"
GREENS ,"['44.24', '51.27', '0.96', '58.54']"
LAST_GREENS ,"['16.26', '14.77', '10.46']"
RESULTS:,24.52,20.32,20.00

OFFSETS ,"['38.60', '47.42', '36.52']"
GREENS ,"['30.53', '50.85', '0.62', '51.95']"
LAST_GREENS ,"['29.97', '15.52', '17.05']"
RESULTS:,15.17,14.08,17.50

