OFFSETS ,"['31.28', '54.02', '0.01']"
GREENS ,"['18.29', '9.83', '6.19', '12.85']"
LAST_GREENS ,"['42.21', '50.98', '56.15']"
RESULTS:,325.89,121.57,112.00

OFFSETS ,"['25.92', '29.76', '40.41']"
GREENS ,"['25.36', '45.91', '13.70', '60.59']"
LAST_GREENS ,"['35.14', '7.39', '8.41']"
RESULTS:,32.80,43.82,50.00

OFFSETS ,"['18.92', '55.79', '14.66']"
GREENS ,"['35.17', '64.99', '56.74', '16.55']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['37.03', '46.50', '62.17']"
GREENS ,"['9.49', '1.24', '4.69', '33.56']"
LAST_GREENS ,"['51.01', '61.06', '35.44']"
RESULTS:,318.34,147.24,130.00

OFFSETS ,"['67.76', '11.43', '0.17']"
GREENS ,"['17.66', '26.64', '5.99', '64.00']"
LAST_GREENS ,"['42.84', '34.37', '5.00']"
RESULTS:,133.75,76.59,85.33

OFFSETS ,"['2.97', '50.29', '31.30']"
GREENS ,"['33.39', '9.41', '13.27', '54.98']"
LAST_GREENS ,"['27.11', '44.32', '14.02']"
RESULTS:,191.95,107.33,109.33

OFFSETS ,"['21.03', '58.17', '6.46']"
GREENS ,"['27.10', '60.88', '19.69', '48.32']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['46.51', '29.74', '69.09']"
GREENS ,"['26.01', '66.82', '11.55', '9.46']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['31.28', '52.90', '10.45']"
GREENS ,"['49.48', '9.83', '11.28', '12.85']"
LAST_GREENS ,"['11.02', '45.89', '56.15']"
RESULTS:,315.23,123.59,114.00

OFFSETS ,"['44.64', '42.66', '23.80']"
GREENS ,"['59.97', '38.84', '25.47', '38.28']"
LAST_GREENS ,"['0.53', '2.69', '30.72']"
RESULTS:,54.08,65.17,51.00

OFFSETS ,"['0.86', '7.88', '17.47']"
GREENS ,"['48.14', '25.99', '7.07', '15.46']"
LAST_GREENS ,"['12.36', '33.95', '53.54']"
RESULTS:,193.73,79.69,69.33

OFFSETS ,"['56.46', '11.42', '0.67']"
GREENS ,"['17.39', '7.25', '25.94', '36.20']"
LAST_GREENS ,"['43.11', '33.81', '32.80']"
RESULTS:,221.89,120.84,121.33

OFFSETS ,"['26.06', '30.19', '45.24']"
GREENS ,"['42.25', '6.15', '27.73', '61.59']"
LAST_GREENS ,"['18.25', '33.12', '7.41']"
RESULTS:,115.51,102.89,121.33

OFFSETS ,"['56.46', '62.58', '7.45']"
GREENS ,"['50.27', '9.25', '42.74', '36.55']"
LAST_GREENS ,"['10.23', '15.02', '32.45']"
RESULTS:,124.15,105.34,115.33

OFFSETS ,"['42.34', '33.21', '4.49']"
GREENS ,"['9.59', '2.98', '58.00', '39.68']"
LAST_GREENS ,"['50.91', '6.02', '29.32']"
RESULTS:,90.98,138.59,129.00

OFFSETS ,"['39.83', '42.66', '23.80']"
GREENS ,"['60.22', '38.84', '24.72', '2.64']"
LAST_GREENS ,"['0.28', '3.44', '66.36']"
RESULTS:,69.71,94.99,51.67

OFFSETS ,"['46.10', '23.27', '23.84']"
GREENS ,"['5.67', '38.83', '5.69', '2.55']"
LAST_GREENS ,"['54.83', '22.48', '66.45']"
RESULTS:,46.29,60.08,52.67

OFFSETS ,"['42.05', '62.55', '4.49']"
GREENS ,"['40.55', '2.98', '58.00', '51.81']"
LAST_GREENS ,"['19.95', '6.02', '17.19']"
RESULTS:,66.45,134.32,129.67

OFFSETS ,"['25.92', '29.76', '40.41']"
GREENS ,"['29.34', '45.91', '13.70', '60.59']"
LAST_GREENS ,"['31.16', '7.39', '8.41']"
RESULTS:,32.80,43.82,50.00

OFFSETS ,"['25.92', '29.76', '22.60']"
GREENS ,"['24.61', '47.08', '13.80', '60.25']"
LAST_GREENS ,"['35.89', '6.12', '8.75']"
RESULTS:,27.94,43.76,49.50

OFFSETS ,"['25.41', '11.43', '2.27']"
GREENS ,"['8.89', '45.28', '6.63', '60.44']"
LAST_GREENS ,"['51.61', '15.09', '8.56']"
RESULTS:,37.93,31.88,31.33

OFFSETS ,"['45.47', '1.47', '23.80']"
GREENS ,"['59.73', '38.84', '25.47', '60.02']"
LAST_GREENS ,"['0.77', '2.69', '8.98']"
RESULTS:,51.23,69.03,51.00

OFFSETS ,"['44.71', '10.29', '10.45']"
GREENS ,"['59.57', '38.28', '25.44', '64.00']"
LAST_GREENS ,"['0.93', '3.28', '5.00']"
RESULTS:,48.51,71.16,54.33

OFFSETS ,"['45.89', '42.85', '23.80']"
GREENS ,"['49.08', '38.83', '6.97', '38.02']"
LAST_GREENS ,"['11.42', '21.20', '30.98']"
RESULTS:,50.08,28.08,24.67

OFFSETS ,"['25.92', '50.18', '40.41']"
GREENS ,"['26.25', '45.91', '13.70', '55.12']"
LAST_GREENS ,"['34.25', '7.39', '13.88']"
RESULTS:,38.77,44.23,48.50

OFFSETS ,"['25.92', '29.76', '40.61']"
GREENS ,"['29.90', '45.91', '13.70', '60.59']"
LAST_GREENS ,"['30.60', '7.39', '8.41']"
RESULTS:,29.44,42.91,50.00

OFFSETS ,"['26.16', '1.99', '40.66']"
GREENS ,"['52.86', '37.21', '13.70', '60.59']"
LAST_GREENS ,"['7.64', '16.09', '8.41']"
RESULTS:,46.17,38.10,42.67

OFFSETS ,"['25.91', '28.84', '2.42']"
GREENS ,"['8.89', '45.75', '6.63', '60.44']"
LAST_GREENS ,"['51.61', '14.62', '8.56']"
RESULTS:,37.63,30.07,23.00

OFFSETS ,"['72.61', '42.85', '53.15']"
GREENS ,"['52.32', '60.21', '6.46', '38.02']"
LAST_GREENS ,"['8.18', '0.34', '30.98']"
RESULTS:,38.32,86.08,49.50

OFFSETS ,"['43.81', '12.37', '41.32']"
GREENS ,"['53.24', '46.44', '13.70', '59.75']"
LAST_GREENS ,"['7.26', '6.86', '9.25']"
RESULTS:,31.26,47.80,50.50

OFFSETS ,"['42.70', '51.02', '41.23']"
GREENS ,"['24.82', '46.39', '13.70', '54.97']"
LAST_GREENS ,"['35.68', '6.92', '14.03']"
RESULTS:,22.87,35.54,49.00

OFFSETS ,"['48.31', '22.50', '29.70']"
GREENS ,"['24.78', '37.66', '5.67', '38.36']"
LAST_GREENS ,"['35.72', '23.67', '30.64']"
RESULTS:,37.97,25.07,21.67

OFFSETS ,"['45.91', '42.85', '23.52']"
GREENS ,"['26.21', '37.92', '5.70', '60.03']"
LAST_GREENS ,"['34.29', '23.37', '8.97']"
RESULTS:,54.38,33.07,37.33

OFFSETS ,"['25.92', '29.76', '40.41']"
GREENS ,"['29.69', '47.08', '13.69', '60.25']"
LAST_GREENS ,"['30.81', '6.23', '8.75']"
RESULTS:,26.83,44.28,49.50

OFFSETS ,"['45.89', '42.85', '23.51']"
GREENS ,"['26.63', '37.93', '5.68', '38.02']"
LAST_GREENS ,"['33.87', '23.39', '30.98']"
RESULTS:,49.15,27.74,23.67

OFFSETS ,"['24.79', '10.59', '44.35']"
GREENS ,"['8.24', '45.35', '13.65', '59.39']"
LAST_GREENS ,"['52.26', '7.99', '9.61']"
RESULTS:,29.78,43.41,49.00

OFFSETS ,"['26.73', '1.27', '41.74']"
GREENS ,"['41.43', '46.04', '1.55', '60.52']"
LAST_GREENS ,"['19.07', '19.41', '8.48']"
RESULTS:,45.30,32.81,23.00

OFFSETS ,"['46.01', '28.97', '2.64']"
GREENS ,"['22.78', '45.39', '8.64', '57.56']"
LAST_GREENS ,"['37.72', '12.96', '11.44']"
RESULTS:,27.34,25.18,31.50

OFFSETS ,"['45.77', '10.59', '2.06']"
GREENS ,"['40.84', '45.35', '6.66', '57.62']"
LAST_GREENS ,"['19.66', '14.99', '11.38']"
RESULTS:,32.07,23.79,28.33

OFFSETS ,"['24.79', '10.59', '45.86']"
GREENS ,"['41.34', '45.35', '8.56', '59.39']"
LAST_GREENS ,"['19.16', '13.09', '9.61']"
RESULTS:,31.83,36.54,45.00

OFFSETS ,"['42.70', '51.02', '41.02']"
GREENS ,"['41.19', '46.39', '13.70', '54.97']"
LAST_GREENS ,"['19.31', '6.92', '14.03']"
RESULTS:,22.87,35.54,49.00

OFFSETS ,"['48.31', '22.78', '29.70']"
GREENS ,"['24.66', '37.66', '5.67', '37.95']"
LAST_GREENS ,"['35.84', '23.67', '31.05']"
RESULTS:,40.07,26.17,23.33

OFFSETS ,"['46.01', '28.97', '1.68']"
GREENS ,"['22.78', '45.39', '13.74', '57.56']"
LAST_GREENS ,"['37.72', '7.87', '11.44']"
RESULTS:,21.09,31.71,49.00

OFFSETS ,"['26.73', '1.27', '41.02']"
GREENS ,"['41.27', '46.04', '5.94', '58.01']"
LAST_GREENS ,"['19.23', '15.02', '10.99']"
RESULTS:,29.10,25.89,25.00

OFFSETS ,"['45.84', '29.76', '23.71']"
GREENS ,"['24.58', '47.08', '13.56', '60.25']"
LAST_GREENS ,"['35.92', '6.36', '8.75']"
RESULTS:,28.33,43.84,49.00

