RESULTS:,38.75,30.90,20.50

OFFSETS ,"['72.62', '23.45', '51.55']"
GREENS ,"['58.38', '61.01', '6.99', '2.69']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['0.26', '7.88', '17.47']"
GREENS ,"['48.14', '25.99', '7.18', '15.57']"
LAST_GREENS ,"['12.36', '33.84', '53.43']"
RESULTS:,186.06,78.64,71.00

OFFSETS ,"['67.76', '11.26', '23.88']"
GREENS ,"['17.52', '39.19', '14.01', '63.99']"
LAST_GREENS ,"['42.98', '13.80', '5.01']"
RESULTS:,53.94,48.73,68.00

OFFSETS ,"['72.62', '23.51', '51.92']"
GREENS ,"['53.02', '59.94', '5.90', '61.44']"
LAST_GREENS ,"['7.48', '1.16', '7.56']"
RESULTS:,13.34,56.27,50.50

OFFSETS ,"['42.50', '50.18', '40.41']"
GREENS ,"['24.82', '44.99', '13.70', '55.38']"
LAST_GREENS ,"['35.68', '8.31', '13.62']"
RESULTS:,30.17,33.93,46.00

OFFSETS ,"['42.90', '11.59', '41.32']"
GREENS ,"['53.49', '46.46', '13.70', '17.91']"
LAST_GREENS ,"['7.01', '6.84', '51.09']"
RESULTS:,124.89,72.24,48.50

OFFSETS ,"['45.89', '42.30', '42.09']"
GREENS ,"['59.94', '46.09', '7.03', '57.77']"
LAST_GREENS ,"['0.56', '13.88', '11.23']"
RESULTS:,17.28,17.61,20.50

OFFSETS ,"['45.89', '10.12', '23.80']"
GREENS ,"['49.08', '38.75', '13.83', '38.09']"
LAST_GREENS ,"['11.42', '14.42', '30.91']"
RESULTS:,66.79,42.11,37.00

OFFSETS ,"['45.89', '42.85', '23.51']"
GREENS ,"['24.78', '37.93', '5.68', '38.02']"
LAST_GREENS ,"['35.72', '23.39', '30.98']"
RESULTS:,49.15,27.74,23.67

OFFSETS ,"['45.89', '42.85', '23.60']"
GREENS ,"['48.52', '38.83', '6.97', '38.02']"
