OFFSETS ,"['23.59', '13.56', '5.78']"
GREENS ,"['45.33', '46.59', '28.16', '61.25']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['6.31', '6.01', '50.61']"
GREENS ,"['23.28', '12.67', '31.98', '20.99']"
LAST_GREENS ,"['37.22', '22.35', '48.01']"
RESULTS:,287.15,117.57,102.33

OFFSETS ,"['66.00', '69.43', '56.42']"
GREENS ,"['15.42', '2.60', '10.63', '63.77']"
LAST_GREENS ,"['45.08', '53.77', '5.23']"
RESULTS:,346.00,152.09,128.67

OFFSETS ,"['16.37', '35.92', '9.39']"
GREENS ,"['48.17', '14.00', '10.69', '1.59']"
LAST_GREENS ,"['12.33', '42.31', '67.41']"
RESULTS:,413.92,132.31,101.00

OFFSETS ,"['69.08', '41.77', '30.98']"
GREENS ,"['34.42', '43.52', '9.59', '61.54']"
LAST_GREENS ,"['26.08', '13.89', '7.46']"
RESULTS:,77.33,56.45,57.67

OFFSETS ,"['71.01', '6.38', '30.94']"
GREENS ,"['14.83', '14.62', '53.11', '11.67']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['24.13', '12.61', '52.78']"
GREENS ,"['7.64', '57.36', '56.61', '59.83']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['38.35', '58.46', '38.99']"
GREENS ,"['6.43', '20.47', '20.16', '32.81']"
LAST_GREENS ,"['54.07', '26.37', '36.19']"
RESULTS:,258.14,100.28,84.00

OFFSETS ,"['38.86', '52.41', '1.61']"
GREENS ,"['9.51', '43.82', '41.10', '22.59']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['62.36', '54.77', '28.75']"
GREENS ,"['24.76', '43.78', '12.86', '39.00']"
LAST_GREENS ,"['35.74', '10.37', '30.00']"
RESULTS:,90.01,58.69,47.00

OFFSETS ,"['39.89', '33.52', '13.05']"
GREENS ,"['47.42', '3.79', '20.50', '32.21']"
LAST_GREENS ,"['13.08', '42.71', '36.79']"
RESULTS:,309.42,141.55,124.00

OFFSETS ,"['64.00', '1.16', '56.49']"
GREENS ,"['36.47', '1.92', '25.59', '18.04']"
LAST_GREENS ,"['24.03', '39.49', '50.96']"
RESULTS:,325.38,151.05,133.00

OFFSETS ,"['69.60', '51.14', '61.02']"
GREENS ,"['3.91', '17.83', '10.49', '64.13']"
LAST_GREENS ,"['56.59', '38.68', '4.87']"
RESULTS:,187.07,97.15,105.33

OFFSETS ,"['19.37', '15.88', '34.26']"
GREENS ,"['49.26', '49.15', '6.80', '67.98']"
LAST_GREENS ,"['11.24', '11.05', '1.02']"
RESULTS:,94.49,94.90,99.00

OFFSETS ,"['46.96', '70.90', '42.00']"
GREENS ,"['58.23', '30.09', '54.30', '20.54']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['48.27', '10.69', '59.11']"
GREENS ,"['8.65', '19.34', '4.31', '67.14']"
LAST_GREENS ,"['51.85', '43.35', '1.86']"
RESULTS:,239.04,120.26,107.33

OFFSETS ,"['49.61', '49.21', '21.58']"
GREENS ,"['22.65', '31.22', '9.72', '4.97']"
LAST_GREENS ,"['37.85', '26.06', '64.03']"
RESULTS:,171.51,78.92,51.00

OFFSETS ,"['8.04', '52.59', '71.81']"
GREENS ,"['19.84', '28.17', '12.41', '64.74']"
LAST_GREENS ,"['40.66', '26.42', '4.26']"
RESULTS:,102.82,68.99,91.33

OFFSETS ,"['41.85', '37.84', '71.40']"
GREENS ,"['21.34', '12.72', '34.70', '3.62']"
LAST_GREENS ,"['39.16', '19.59', '65.38']"
RESULTS:,436.13,135.39,107.67

OFFSETS ,"['5.59', '66.75', '50.04']"
GREENS ,"['46.78', '42.83', '53.66', '11.22']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['0.64', '44.47', '65.26']"
GREENS ,"['3.86', '35.34', '62.19', '49.03']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['35.06', '50.51', '72.56']"
GREENS ,"['38.29', '17.09', '2.83', '38.16']"
LAST_GREENS ,"['22.21', '47.07', '30.84']"
RESULTS:,258.33,106.58,92.33

OFFSETS ,"['11.64', '34.85', '28.75']"
GREENS ,"['37.22', '5.93', '9.16', '51.23']"
LAST_GREENS ,"['23.28', '51.91', '17.77']"
RESULTS:,319.99,135.48,118.00

OFFSETS ,"['17.68', '21.68', '26.20']"
GREENS ,"['53.19', '40.25', '66.32', '41.95']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['7.88', '52.59', '0.63']"
GREENS ,"['20.01', '28.17', '12.30', '64.74']"
