OFFSETS ,"['3.48', '41.74', '23.79']"
GREENS ,"['16.94', '55.82', '16.93', '44.00']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['53.63', '53.73', '52.18']"
GREENS ,"['56.27', '56.09', '44.12', '46.10']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['66.00', '18.25', '37.66']"
GREENS ,"['47.79', '20.60', '61.32', '24.21']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['49.78', '35.47', '8.22']"
GREENS ,"['20.28', '58.35', '49.26', '54.82']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['12.71', '69.87', '22.02']"
GREENS ,"['31.15', '58.01', '31.47', '48.64']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['72.81', '67.56', '15.47']"
GREENS ,"['40.56', '43.92', '10.49', '42.83']"
LAST_GREENS ,"['19.94', '12.60', '26.17']"
RESULTS:,45.14,36.53,40.50

OFFSETS ,"['28.12', '6.79', '68.65']"
GREENS ,"['38.12', '54.71', '29.54', '67.29']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['70.12', '2.60', '70.18']"
GREENS ,"['30.82', '16.90', '6.43', '43.37']"
LAST_GREENS ,"['29.68', '43.67', '25.63']"
RESULTS:,211.15,89.61,93.33

OFFSETS ,"['55.51', '55.42', '34.12']"
GREENS ,"['6.87', '21.84', '29.20', '55.15']"
LAST_GREENS ,"['53.63', '15.96', '13.85']"
RESULTS:,88.66,53.98,79.33

OFFSETS ,"['6.26', '55.90', '7.79']"
GREENS ,"['24.17', '60.33', '46.66', '24.09']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['36.74', '42.80', '32.92']"
GREENS ,"['43.38', '41.87', '24.27', '47.14']"
LAST_GREENS ,"['17.12', '0.86', '21.86']"
RESULTS:,101.36,87.16,49.50

OFFSETS ,"['4.43', '40.86', '50.37']"
GREENS ,"['46.71', '7.34', '46.36', '41.72']"
LAST_GREENS ,"['13.79', '13.30', '27.28']"
RESULTS:,246.53,113.77,118.33

OFFSETS ,"['56.71', '55.42', '34.12']"
GREENS ,"['6.94', '47.17', '10.82', '55.15']"
LAST_GREENS ,"['53.56', '9.01', '13.85']"
RESULTS:,41.97,36.71,47.50

OFFSETS ,"['10.26', '14.93', '19.36']"
GREENS ,"['15.70', '28.74', '17.91', '42.04']"
LAST_GREENS ,"['44.80', '20.35', '26.96']"
RESULTS:,72.64,46.28,61.00

OFFSETS ,"['12.73', '70.45', '5.46']"
GREENS ,"['34.94', '7.19', '23.12', '52.39']"
LAST_GREENS ,"['25.56', '36.69', '16.61']"
RESULTS:,222.55,102.37,115.33

OFFSETS ,"['25.66', '42.67', '29.95']"
GREENS ,"['32.21', '41.76', '59.81', '36.20']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['2.86', '1.41', '37.60']"
GREENS ,"['58.38', '22.01', '29.35', '44.00']"
LAST_GREENS ,"['2.12', '15.64', '25.00']"
RESULTS:,106.10,64.75,80.67

OFFSETS ,"['50.35', '32.76', '69.53']"
GREENS ,"['43.76', '22.44', '9.46', '18.05']"
LAST_GREENS ,"['16.74', '35.10', '50.95']"
RESULTS:,188.67,83.98,80.67

OFFSETS ,"['1.52', '41.34', '49.75']"
GREENS ,"['38.12', '54.71', '29.54', '67.29']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['31.12', '6.31', '69.27']"
GREENS ,"['46.71', '7.34', '46.36', '41.72']"
LAST_GREENS ,"['13.79', '13.30', '27.28']"
RESULTS:,183.67,104.78,115.00

OFFSETS ,"['50.35', '32.87', '69.53']"
GREENS ,"['43.76', '29.12', '9.46', '18.88']"
LAST_GREENS ,"['16.74', '28.42', '50.12']"
RESULTS:,130.27,63.05,50.00

OFFSETS ,"['72.81', '67.56', '15.50']"
GREENS ,"['40.56', '43.92', '43.58', '63.45']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['2.86', '1.24', '37.60']"
GREENS ,"['39.54', '21.99', '15.27', '44.00']"
LAST_GREENS ,"['20.96', '29.74', '25.00']"
RESULTS:,123.13,69.88,80.33

OFFSETS ,"['35.40', '42.80', '36.86']"
GREENS ,"['57.70', '41.87', '10.56', '47.14']"
LAST_GREENS ,"['2.80', '14.57', '21.86']"
RESULTS:,22.29,19.19,18.00

OFFSETS ,"['5.25', '1.79', '38.64']"
GREENS ,"['40.56', '46.90', '10.95', '43.95']"
LAST_GREENS ,"['19.94', '9.16', '25.05']"
RESULTS:,67.30,48.14,47.00

OFFSETS ,"['58.95', '55.42', '34.40']"
GREENS ,"['6.94', '47.17', '11.01', '55.15']"
LAST_GREENS ,"['53.56', '8.82', '13.85']"
RESULTS:,43.10,37.15,49.50

OFFSETS ,"['72.63', '1.41', '32.84']"
GREENS ,"['44.27', '44.36', '24.21', '44.00']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['10.90', '32.87', '69.53']"
GREENS ,"['43.80', '28.75', '9.46', '18.86']"
LAST_GREENS ,"['16.70', '28.79', '50.14']"
RESULTS:,181.06,81.64,76.67

OFFSETS ,"['71.36', '1.99', '36.78']"
GREENS ,"['4.60', '44.36', '11.79', '43.79']"
LAST_GREENS ,"['55.90', '10.85', '25.21']"
RESULTS:,58.03,42.48,43.50

OFFSETS ,"['5.24', '67.00', '15.52']"
GREENS ,"['40.56', '46.90', '29.37', '42.83']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['55.34', '53.27', '34.12']"
GREENS ,"['6.87', '44.28', '29.20', '42.78']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['50.30', '67.74', '69.53']"
GREENS ,"['41.75', '45.87', '9.46', '18.05']"
LAST_GREENS ,"['18.75', '11.67', '50.95']"
RESULTS:,108.36,58.93,38.50

OFFSETS ,"['71.35', '1.41', '36.78']"
GREENS ,"['57.87', '44.36', '10.50', '43.93']"
LAST_GREENS ,"['2.63', '12.13', '25.07']"
RESULTS:,57.78,40.62,34.50

OFFSETS ,"['69.31', '2.08', '37.03']"
GREENS ,"['57.39', '43.99', '10.51', '42.83']"
LAST_GREENS ,"['3.11', '12.50', '26.17']"
RESULTS:,61.45,41.95,33.00

OFFSETS ,"['36.70', '1.33', '38.64']"
GREENS ,"['40.63', '46.90', '6.04', '47.21']"
LAST_GREENS ,"['19.87', '14.06', '21.79']"
RESULTS:,72.89,47.35,25.67

OFFSETS ,"['5.24', '67.56', '15.47']"
GREENS ,"['40.56', '46.90', '10.48', '42.83']"
LAST_GREENS ,"['19.94', '9.62', '26.17']"
RESULTS:,53.21,43.08,48.50

OFFSETS ,"['11.30', '69.38', '36.90']"
GREENS ,"['58.18', '31.69', '11.46', '41.36']"
LAST_GREENS ,"['2.32', '23.85', '27.64']"
RESULTS:,92.47,49.78,35.67

OFFSETS ,"['3.92', '67.53', '13.70']"
GREENS ,"['57.70', '41.90', '10.52', '43.02']"
LAST_GREENS ,"['2.80', '14.58', '25.98']"
RESULTS:,32.36,26.73,25.50

OFFSETS ,"['72.93', '67.84', '15.47']"
GREENS ,"['57.56', '43.82', '10.49', '47.11']"
