OFFSETS ,"['72.73', '55.50', '33.75']"
GREENS ,"['6.94', '47.21', '10.97', '54.98']"
LAST_GREENS ,"['53.56', '8.82', '14.02']"
RESULTS:,41.54,35.74,46.00

OFFSETS ,"['72.81', '67.53', '15.35']"
GREENS ,"['57.39', '41.91', '10.49', '42.83']"
LAST_GREENS ,"['3.11', '14.60', '26.17']"
RESULTS:,37.82,30.24,27.50

OFFSETS ,"['71.35', '44.44', '32.98']"
GREENS ,"['41.75', '44.49', '9.47', '44.13']"
LAST_GREENS ,"['18.75', '13.04', '24.87']"
RESULTS:,37.48,29.27,29.00

OFFSETS ,"['72.81', '0.62', '16.13']"
GREENS ,"['57.24', '43.95', '10.50', '42.84']"
LAST_GREENS ,"['3.26', '12.55', '26.16']"
RESULTS:,39.97,33.57,37.00

OFFSETS ,"['34.90', '38.97', '15.82']"
GREENS ,"['57.70', '41.91', '10.49', '47.14']"
LAST_GREENS ,"['2.80', '14.60', '21.86']"
RESULTS:,44.02,27.70,18.67

OFFSETS ,"['74.31', '65.77', '39.30']"
GREENS ,"['40.25', '46.90', '5.97', '47.11']"
LAST_GREENS ,"['20.25', '14.13', '21.89']"
RESULTS:,43.84,29.26,17.00

OFFSETS ,"['35.40', '42.80', '36.86']"
GREENS ,"['58.56', '41.87', '11.01', '46.99']"
LAST_GREENS ,"['1.94', '14.12', '22.01']"
RESULTS:,22.29,19.19,18.00

OFFSETS ,"['72.81', '70.55', '13.53']"
GREENS ,"['41.39', '43.92', '10.49', '42.83']"
LAST_GREENS ,"['19.11', '12.60', '26.17']"
RESULTS:,37.77,32.39,38.00

OFFSETS ,"['72.81', '69.38', '13.70']"
GREENS ,"['57.39', '41.87', '10.52', '42.83']"
LAST_GREENS ,"['3.11', '14.61', '26.17']"
RESULTS:,31.42,25.05,18.33

OFFSETS ,"['3.92', '67.37', '13.06']"
GREENS ,"['58.11', '41.86', '10.52', '43.02']"
LAST_GREENS ,"['2.39', '14.62', '25.98']"
RESULTS:,28.73,23.46,17.67

OFFSETS ,"['3.92', '42.76', '15.64']"
