OFFSETS ,"['37.54', '69.92', '51.30']"
GREENS ,"['52.97', '0.53', '38.29', '29.52']"
LAST_GREENS ,"['7.53', '28.18', '39.48']"
RESULTS:,251.94,176.85,159.00

OFFSETS ,"['55.08', '13.84', '40.39']"
GREENS ,"['33.46', '7.53', '2.51', '9.58']"
LAST_GREENS ,"['27.04', '56.96', '59.42']"
RESULTS:,445.74,143.30,120.33

OFFSETS ,"['60.34', '67.63', '62.36']"
GREENS ,"['53.39', '33.91', '62.22', '49.43']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['62.84', '39.70', '48.85']"
GREENS ,"['6.05', '56.31', '14.48', '0.36']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['70.03', '13.22', '63.61']"
GREENS ,"['45.94', '38.80', '0.92', '18.40']"
LAST_GREENS ,"['14.56', '27.28', '50.60']"
RESULTS:,101.26,48.07,36.00

OFFSETS ,"['67.58', '59.66', '21.31']"
GREENS ,"['10.33', '32.56', '35.67', '5.73']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['39.23', '0.44', '53.43']"
GREENS ,"['29.71', '46.57', '2.31', '19.04']"
LAST_GREENS ,"['30.79', '18.12', '49.96']"
RESULTS:,110.59,53.24,35.33

OFFSETS ,"['64.65', '21.70', '18.13']"
GREENS ,"['53.13', '25.47', '28.13', '53.16']"
LAST_GREENS ,"['7.37', '13.40', '15.84']"
RESULTS:,144.83,79.43,77.33

OFFSETS ,"['3.55', '55.49', '54.06']"
GREENS ,"['54.96', '63.59', '41.63', '28.50']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['20.01', '71.50', '12.44']"
GREENS ,"['13.14', '17.05', '32.80', '44.99']"
LAST_GREENS ,"['47.36', '17.15', '24.01']"
RESULTS:,154.06,86.82,96.00

OFFSETS ,"['16.84', '9.49', '11.36']"
GREENS ,"['32.87', '4.68', '0.13', '58.02']"
LAST_GREENS ,"['27.63', '62.20', '10.98']"
RESULTS:,482.00,156.22,123.00

OFFSETS ,"['52.20', '68.11', '73.78']"
GREENS ,"['1.75', '0.96', '64.59', '7.61']"
LAST_GREENS ,"['58.75', '1.45', '61.39']"
RESULTS:,671.42,201.09,135.00

OFFSETS ,"['18.14', '27.51', '19.76']"
GREENS ,"['8.38', '63.53', '64.27', '46.72']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['12.69', '34.85', '30.75']"
GREENS ,"['37.59', '7.56', '9.16', '51.23']"
LAST_GREENS ,"['22.91', '50.28', '17.77']"
RESULTS:,311.26,134.57,123.00

OFFSETS ,"['37.29', '1.16', '0.69']"
GREENS ,"['7.34', '66.30', '4.28', '18.71']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['31.97', '29.45', '64.23']"
GREENS ,"['0.14', '17.25', '63.19', '8.45']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['57.65', '16.37', '9.44']"
GREENS ,"['34.77', '27.01', '54.04', '16.10']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['13.87', '9.25', '50.38']"
GREENS ,"['26.00', '17.30', '58.09', '29.53']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['74.95', '68.73', '73.90']"
GREENS ,"['14.80', '32.94', '44.06', '52.97']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['32.19', '19.70', '39.92']"
GREENS ,"['51.96', '5.37', '24.50', '45.89']"
LAST_GREENS ,"['8.54', '37.13', '23.11']"
RESULTS:,170.01,117.24,124.33

OFFSETS ,"['49.01', '21.82', '45.79']"
GREENS ,"['39.30', '34.24', '8.53', '1.70']"
LAST_GREENS ,"['21.20', '24.23', '67.30']"
RESULTS:,125.92,73.26,55.33

OFFSETS ,"['13.53', '53.31', '2.60']"
GREENS ,"['58.63', '65.66', '14.29', '46.64']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['29.20', '9.84', '49.17']"
GREENS ,"['26.88', '50.86', '58.61', '38.08']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

