OFFSETS ,"['3.93', '1.41', '36.82']"
GREENS ,"['58.59', '47.34', '10.96', '44.00']"
LAST_GREENS ,"['1.91', '8.69', '25.00']"
RESULTS:,64.19,47.36,48.00

OFFSETS ,"['11.70', '70.25', '51.01']"
GREENS ,"['14.05', '31.76', '32.06', '42.33']"
LAST_GREENS ,"['46.45', '3.18', '26.67']"
RESULTS:,94.25,75.06,51.00

OFFSETS ,"['17.12', '68.42', '70.18']"
GREENS ,"['23.02', '42.06', '26.30', '56.76']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['49.27', '23.79', '71.76']"
GREENS ,"['20.72', '42.79', '26.98', '24.71']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['43.50', '72.33', '23.81']"
GREENS ,"['41.14', '47.25', '40.12', '33.38']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['52.53', '74.04', '33.64']"
GREENS ,"['35.46', '55.33', '48.10', '30.14']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['56.21', '56.19', '45.60']"
GREENS ,"['34.18', '15.97', '26.12', '26.50']"
LAST_GREENS ,"['26.32', '24.91', '42.50']"
RESULTS:,243.86,99.44,97.00

OFFSETS ,"['26.79', '52.80', '14.25']"
GREENS ,"['14.97', '2.14', '41.88', '63.56']"
LAST_GREENS ,"['45.53', '22.99', '5.44']"
RESULTS:,161.07,101.34,131.00

OFFSETS ,"['74.20', '19.69', '41.50']"
GREENS ,"['39.65', '4.16', '16.46', '27.61']"
LAST_GREENS ,"['20.85', '46.38', '41.39']"
RESULTS:,279.19,121.40,123.33

OFFSETS ,"['26.79', '52.12', '14.25']"
GREENS ,"['43.77', '2.14', '41.88', '63.52']"
LAST_GREENS ,"['16.73', '22.99', '5.48']"
RESULTS:,159.45,100.09,129.67

OFFSETS ,"['26.77', '13.26', '32.70']"
GREENS ,"['30.73', '26.67', '48.32', '63.95']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['50.35', '33.55', '69.53']"
GREENS ,"['14.97', '29.15', '9.46', '18.90']"
LAST_GREENS ,"['45.53', '28.39', '50.10']"
RESULTS:,131.76,63.59,51.00

OFFSETS ,"['56.21', '56.70', '45.60']"
GREENS ,"['3.82', '15.97', '26.12', '26.50']"
LAST_GREENS ,"['56.68', '24.91', '42.50']"
RESULTS:,239.47,98.30,94.67

OFFSETS ,"['36.74', '42.80', '32.92']"
GREENS ,"['43.38', '4.32', '24.13', '47.14']"
LAST_GREENS ,"['17.12', '38.55', '21.86']"
RESULTS:,305.75,126.57,123.67

OFFSETS ,"['36.74', '0.62', '36.72']"
GREENS ,"['44.02', '41.82', '24.27', '47.01']"
LAST_GREENS ,"['16.48', '0.92', '21.99']"
RESULTS:,66.67,61.88,51.00

OFFSETS ,"['4.70', '56.70', '45.60']"
GREENS ,"['3.82', '15.97', '11.54', '26.50']"
LAST_GREENS ,"['56.68', '39.49', '42.50']"
RESULTS:,242.18,97.95,95.00

OFFSETS ,"['72.22', '67.56', '15.15']"
GREENS ,"['34.37', '43.92', '26.07', '42.83']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['71.35', '44.28', '32.98']"
GREENS ,"['57.95', '44.42', '10.50', '44.13']"
LAST_GREENS ,"['2.55', '12.08', '24.87']"
RESULTS:,41.71,33.09,34.00

OFFSETS ,"['72.85', '32.57', '15.47']"
GREENS ,"['40.55', '20.48', '10.49', '41.68']"
LAST_GREENS ,"['19.95', '36.03', '27.32']"
RESULTS:,198.58,87.55,85.33

OFFSETS ,"['26.77', '20.08', '32.70']"
GREENS ,"['58.54', '26.70', '29.40', '63.95']"
LAST_GREENS ,"['1.96', '10.91', '5.05']"
RESULTS:,102.08,68.08,82.00

OFFSETS ,"['3.92', '67.53', '37.25']"
GREENS ,"['58.59', '47.34', '10.96', '42.87']"
LAST_GREENS ,"['1.91', '8.69', '26.13']"
RESULTS:,68.67,46.93,46.00

OFFSETS ,"['71.35', '1.41', '36.78']"
GREENS ,"['58.59', '44.36', '10.50', '44.00']"
LAST_GREENS ,"['1.91', '12.13', '25.00']"
RESULTS:,57.78,40.62,34.50

OFFSETS ,"['59.03', '67.48', '15.47']"
GREENS ,"['40.56', '43.92', '10.52', '41.84']"
LAST_GREENS ,"['19.94', '12.56', '27.16']"
RESULTS:,40.08,31.48,29.50

OFFSETS ,"['35.80', '43.67', '50.96']"
GREENS ,"['13.47', '41.95', '31.15', '48.10']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['36.74', '0.62', '13.17']"
GREENS ,"['44.02', '41.82', '24.27', '47.01']"
LAST_GREENS ,"['16.48', '0.92', '21.99']"
RESULTS:,66.12,61.46,50.50

OFFSETS ,"['71.35', '44.28', '32.98']"
GREENS ,"['57.95', '44.42', '10.50', '44.13']"
LAST_GREENS ,"['2.55', '12.08', '24.87']"
RESULTS:,41.71,33.09,34.00

OFFSETS ,"['7.29', '67.24', '15.26']"
GREENS ,"['41.76', '47.27', '10.95', '44.00']"
LAST_GREENS ,"['18.74', '8.79', '25.00']"
RESULTS:,49.16,42.01,50.50

OFFSETS ,"['70.42', '1.88', '36.79']"
GREENS ,"['4.60', '44.36', '11.79', '46.95']"
LAST_GREENS ,"['55.90', '10.85', '22.05']"
RESULTS:,52.16,40.09,44.00

OFFSETS ,"['59.03', '55.91', '15.42']"
GREENS ,"['40.51', '43.92', '11.01', '41.68']"
LAST_GREENS ,"['19.99', '12.07', '27.32']"
RESULTS:,54.81,37.99,29.00

