OFFSETS ,"['74.92', '23.20', '45.93']"
GREENS ,"['0.68', '5.77', '28.05', '27.02']"
LAST_GREENS ,"['59.82', '33.18', '41.98']"
RESULTS:,229.79,125.34,118.00

OFFSETS ,"['10.69', '64.98', '68.82']"
GREENS ,"['56.16', '16.88', '63.18', '35.52']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['56.05', '6.83', '38.83']"
GREENS ,"['22.04', '22.79', '3.01', '20.93']"
LAST_GREENS ,"['38.46', '41.20', '48.07']"
RESULTS:,254.18,99.40,82.00

OFFSETS ,"['20.96', '10.16', '69.86']"
GREENS ,"['40.49', '9.66', '9.07', '4.78']"
LAST_GREENS ,"['20.01', '48.27', '64.22']"
RESULTS:,442.32,137.51,111.67

OFFSETS ,"['51.61', '47.40', '70.59']"
GREENS ,"['56.35', '47.25', '18.66', '67.53']"
LAST_GREENS ,"['4.15', '1.09', '1.47']"
RESULTS:,96.22,114.27,102.33

OFFSETS ,"['15.51', '42.30', '61.45']"
GREENS ,"['6.67', '46.23', '30.03', '34.61']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['42.74', '49.56', '0.87']"
GREENS ,"['37.55', '12.61', '33.83', '55.76']"
LAST_GREENS ,"['22.95', '20.56', '13.24']"
RESULTS:,127.45,82.05,103.67

OFFSETS ,"['41.80', '11.91', '67.57']"
GREENS ,"['18.50', '42.49', '22.20', '1.22']"
LAST_GREENS ,"['42.00', '2.31', '67.78']"
RESULTS:,141.75,103.26,59.67

OFFSETS ,"['41.35', '14.60', '24.77']"
GREENS ,"['42.63', '45.61', '22.51', '65.05']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['22.18', '57.10', '34.25']"
GREENS ,"['9.74', '15.16', '8.82', '14.22']"
LAST_GREENS ,"['50.76', '43.01', '54.78']"
RESULTS:,338.87,115.07,95.33

OFFSETS ,"['4.97', '43.02', '74.80']"
GREENS ,"['56.21', '48.45', '1.84', '18.26']"
LAST_GREENS ,"['4.29', '16.71', '50.74']"
RESULTS:,103.84,49.43,37.33

OFFSETS ,"['42.00', '24.24', '26.20']"
GREENS ,"['7.22', '40.47', '4.98', '41.95']"
LAST_GREENS ,"['53.28', '21.56', '27.05']"
RESULTS:,28.02,20.27,19.00

OFFSETS ,"['42.79', '32.28', '6.19']"
GREENS ,"['38.91', '48.90', '11.52', '12.51']"
LAST_GREENS ,"['21.59', '6.58', '56.49']"
RESULTS:,159.47,80.85,48.50

OFFSETS ,"['47.49', '4.51', '1.96']"
GREENS ,"['25.83', '11.86', '24.29', '53.15']"
LAST_GREENS ,"['34.67', '30.85', '15.85']"
RESULTS:,286.37,118.04,106.33

OFFSETS ,"['25.76', '57.39', '5.87']"
GREENS ,"['53.54', '31.34', '66.44', '16.14']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['54.24', '14.99', '27.98']"
GREENS ,"['20.58', '32.92', '4.30', '17.70']"
LAST_GREENS ,"['39.92', '29.77', '51.30']"
RESULTS:,178.70,78.00,60.33

OFFSETS ,"['61.98', '24.96', '28.60']"
GREENS ,"['52.37', '15.83', '54.79', '0.12']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['4.14', '28.82', '45.97']"
GREENS ,"['11.90', '14.33', '34.44', '39.92']"
LAST_GREENS ,"['48.60', '18.24', '29.08']"
RESULTS:,168.92,96.17,101.67

OFFSETS ,"['12.20', '57.48', '47.30']"
GREENS ,"['1.73', '63.84', '12.81', '56.52']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['17.11', '73.30', '30.65']"
GREENS ,"['49.59', '49.87', '66.62', '57.48']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['62.91', '20.19', '36.83']"
GREENS ,"['41.93', '44.72', '39.47', '65.16']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['3.99', '54.69', '25.50']"
GREENS ,"['16.15', '14.23', '41.65', '50.23']"
LAST_GREENS ,"['44.35', '11.11', '18.77']"
RESULTS:,166.82,109.83,103.00

OFFSETS ,"['46.77', '42.00', '55.67']"
GREENS ,"['17.89', '38.59', '48.87', '12.87']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['68.57', '4.51', '2.04']"
GREENS ,"['25.47', '11.82', '24.29', '53.15']"
LAST_GREENS ,"['35.03', '30.90', '15.85']"
RESULTS:,263.99,112.03,104.00

OFFSETS ,"['35.97', '57.74', '6.10']"
GREENS ,"['29.59', '33.34', '43.92', '53.33']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['68.93', '26.15', '71.52']"
GREENS ,"['40.39', '46.16', '60.89', '68.90']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['48.29', '50.56', '21.58']"
GREENS ,"['24.48', '31.05', '9.90', '64.15']"
LAST_GREENS ,"['36.02', '26.04', '4.85']"
RESULTS:,111.85,75.65,92.33

OFFSETS ,"['48.84', '21.82', '5.90']"
GREENS ,"['39.30', '48.99', '8.53', '1.70']"
LAST_GREENS ,"['21.20', '9.48', '67.30']"
RESULTS:,149.65,91.48,57.67

OFFSETS ,"['20.65', '19.37', '63.23']"
GREENS ,"['9.74', '15.16', '8.82', '45.71']"
LAST_GREENS ,"['50.76', '43.01', '23.29']"
RESULTS:,245.43,108.52,99.67

OFFSETS ,"['28.35', '43.03', '52.11']"
GREENS ,"['0.13', '18.29', '28.36', '4.20']"
LAST_GREENS ,"['60.37', '20.35', '64.80']"
RESULTS:,371.57,119.20,89.33

OFFSETS ,"['62.27', '65.33', '46.20']"
GREENS ,"['0.68', '5.77', '44.73', '27.02']"
LAST_GREENS ,"['59.82', '16.49', '41.98']"
RESULTS:,238.70,129.35,123.67

OFFSETS ,"['4.69', '24.24', '27.32']"
GREENS ,"['9.14', '48.43', '5.01', '41.95']"
LAST_GREENS ,"['51.36', '13.56', '27.05']"
RESULTS:,50.55,40.37,45.50

OFFSETS ,"['68.04', '41.77', '29.56']"
GREENS ,"['34.42', '43.52', '9.59', '61.54']"
LAST_GREENS ,"['26.08', '13.89', '7.46']"
RESULTS:,77.19,56.20,57.00

OFFSETS ,"['63.88', '52.31', '2.60']"
GREENS ,"['58.63', '2.01', '14.29', '46.12']"
LAST_GREENS ,"['1.87', '50.70', '22.88']"
RESULTS:,296.70,145.90,130.67

OFFSETS ,"['37.78', '25.24', '22.89']"
GREENS ,"['6.81', '20.10', '34.14', '34.78']"
LAST_GREENS ,"['53.69', '12.77', '34.22']"
RESULTS:,238.77,109.32,86.67

OFFSETS ,"['49.01', '20.62', '45.76']"
GREENS ,"['39.40', '34.24', '3.08', '1.70']"
LAST_GREENS ,"['21.10', '29.68', '67.30']"
RESULTS:,131.61,75.19,57.33

OFFSETS ,"['37.91', '0.44', '53.43']"
GREENS ,"['29.71', '46.57', '2.31', '19.04']"
LAST_GREENS ,"['30.79', '18.12', '49.96']"
RESULTS:,114.13,54.76,35.67

OFFSETS ,"['17.27', '24.10', '32.21']"
GREENS ,"['56.26', '37.35', '28.43', '52.84']"
LAST_GREENS ,"['4.24', '1.22', '16.16']"
RESULTS:,57.55,70.90,71.00

OFFSETS ,"['42.75', '45.10', '0.87']"
GREENS ,"['25.83', '11.83', '24.26', '55.76']"
LAST_GREENS ,"['34.67', '30.91', '13.24']"
RESULTS:,146.94,90.69,106.67

OFFSETS ,"['55.08', '13.68', '50.78']"
GREENS ,"['23.59', '7.53', '31.67', '9.65']"
LAST_GREENS ,"['36.91', '27.80', '59.35']"
RESULTS:,460.36,143.71,117.33

OFFSETS ,"['15.72', '35.92', '9.39']"
GREENS ,"['22.41', '14.07', '10.69', '1.59']"
LAST_GREENS ,"['38.09', '42.24', '67.41']"
RESULTS:,416.08,132.60,100.00

OFFSETS ,"['62.47', '71.99', '20.16']"
GREENS ,"['37.77', '45.08', '11.36', '33.84']"
LAST_GREENS ,"['22.73', '10.55', '35.16']"
RESULTS:,81.91,59.88,49.00

OFFSETS ,"['66.01', '0.96', '7.04']"
GREENS ,"['50.36', '2.73', '56.00', '37.05']"
LAST_GREENS ,"['10.14', '8.26', '31.95']"
RESULTS:,270.09,167.05,130.33

OFFSETS ,"['19.37', '27.48', '23.58']"
GREENS ,"['49.26', '49.15', '7.83', '68.38']"
LAST_GREENS ,"['11.24', '10.02', '0.62']"
RESULTS:,74.49,75.73,86.00

OFFSETS ,"['47.88', '41.95', '24.77']"
GREENS ,"['34.79', '45.07', '9.59', '61.54']"
LAST_GREENS ,"['25.71', '12.35', '7.46']"
RESULTS:,66.02,52.52,47.00

OFFSETS ,"['64.46', '43.02', '71.67']"
GREENS ,"['24.88', '48.45', '1.79', '18.26']"
LAST_GREENS ,"['35.62', '16.76', '50.74']"
RESULTS:,91.18,44.01,37.33

OFFSETS ,"['62.47', '16.15', '20.16']"
GREENS ,"['37.86', '45.08', '11.36', '33.84']"
LAST_GREENS ,"['22.64', '10.55', '35.16']"
RESULTS:,109.86,72.46,46.50

OFFSETS ,"['48.84', '21.82', '6.12']"
GREENS ,"['39.30', '48.99', '8.53', '1.72']"
LAST_GREENS ,"['21.20', '9.48', '67.28']"
RESULTS:,149.65,91.48,57.67

OFFSETS ,"['62.17', '0.59', '53.43']"
GREENS ,"['52.36', '47.23', '2.57', '17.26']"
LAST_GREENS ,"['8.14', '17.20', '51.74']"
RESULTS:,95.72,46.07,38.00

OFFSETS ,"['18.27', '52.08', '32.23']"
GREENS ,"['24.34', '37.35', '0.46', '64.43']"
LAST_GREENS ,"['36.16', '29.19', '4.57']"
RESULTS:,132.91,76.23,80.67

OFFSETS ,"['49.01', '11.85', '67.22']"
GREENS ,"['18.50', '42.49', '3.61', '1.22']"
LAST_GREENS ,"['42.00', '20.90', '67.78']"
RESULTS:,144.71,79.48,58.00

OFFSETS ,"['49.61', '48.01', '21.58']"
GREENS ,"['22.65', '38.66', '9.72', '18.74']"
LAST_GREENS ,"['37.85', '18.62', '50.26']"
RESULTS:,89.98,43.64,35.67

OFFSETS ,"['48.71', '49.21', '21.58']"
GREENS ,"['48.41', '31.15', '12.97', '4.97']"
LAST_GREENS ,"['12.09', '22.88', '64.03']"
RESULTS:,198.33,87.05,60.00

OFFSETS ,"['38.55', '59.18', '38.99']"
GREENS ,"['6.43', '20.58', '20.16', '32.81']"
LAST_GREENS ,"['54.07', '26.25', '36.19']"
RESULTS:,256.79,99.89,84.67

