OFFSETS ,"['18.27', '52.08', '32.23']"
GREENS ,"['24.34', '37.35', '0.70', '64.43']"
LAST_GREENS ,"['36.16', '28.95', '4.57']"
RESULTS:,132.91,76.23,80.67

OFFSETS ,"['49.33', '74.69', '59.33']"
GREENS ,"['21.59', '24.02', '6.79', '41.25']"
LAST_GREENS ,"['38.91', '36.19', '27.75']"
RESULTS:,230.15,92.66,80.67

OFFSETS ,"['28.43', '33.61', '2.33']"
GREENS ,"['55.84', '40.81', '46.22', '43.76']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['16.52', '33.46', '44.39']"
GREENS ,"['27.29', '49.59', '50.40', '16.89']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['36.44', '57.74', '6.10']"
GREENS ,"['29.59', '0.13', '48.37', '63.61']"
LAST_GREENS ,"['30.91', '18.50', '5.39']"
RESULTS:,126.34,152.03,159.33

OFFSETS ,"['30.45', '54.02', '64.86']"
GREENS ,"['47.77', '8.09', '46.11', '60.36']"
LAST_GREENS ,"['12.73', '12.80', '8.64']"
RESULTS:,161.34,118.43,115.33

OFFSETS ,"['46.60', '11.76', '26.45']"
GREENS ,"['56.68', '44.17', '58.26', '47.47']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['17.24', '54.98', '62.60']"
GREENS ,"['22.12', '33.00', '21.63', '62.38']"
LAST_GREENS ,"['38.38', '12.37', '6.62']"
RESULTS:,115.70,79.09,81.67

OFFSETS ,"['49.54', '11.89', '66.12']"
GREENS ,"['10.14', '14.33', '53.30', '27.61']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['50.08', '74.66', '7.59']"
GREENS ,"['42.15', '3.90', '54.99', '46.80']"
LAST_GREENS ,"['18.35', '8.11', '22.20']"
RESULTS:,202.82,150.63,125.67

OFFSETS ,"['13.23', '2.24', '68.96']"
GREENS ,"['52.60', '34.94', '40.97', '26.70']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['16.95', '63.07', '2.65']"
GREENS ,"['3.96', '3.69', '61.70', '16.04']"
LAST_GREENS ,"['56.54', '1.61', '52.96']"
RESULTS:,446.96,186.70,128.33

OFFSETS ,"['60.90', '61.91', '55.17']"
GREENS ,"['5.01', '31.63', '21.29', '68.63']"
LAST_GREENS ,"['55.49', '14.07', '0.37']"
RESULTS:,250.31,175.56,116.67

OFFSETS ,"['61.39', '0.81', '8.11']"
GREENS ,"['50.36', '19.84', '55.53', '38.19']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['28.35', '43.03', '52.11']"
GREENS ,"['41.85', '19.10', '42.80', '4.20']"
LAST_GREENS ,"['18.65', '5.10', '64.80']"
RESULTS:,461.98,153.17,86.67

OFFSETS ,"['8.02', '47.77', '26.94']"
GREENS ,"['50.48', '9.46', '58.10', '42.20']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['35.06', '50.51', '72.14']"
GREENS ,"['38.29', '55.26', '2.83', '40.99']"
LAST_GREENS ,"['22.21', '8.91', '28.01']"
RESULTS:,66.75,54.90,50.00

OFFSETS ,"['62.40', '65.94', '34.53']"
GREENS ,"['54.68', '63.43', '44.03', '15.62']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['68.93', '26.36', '1.91']"
GREENS ,"['38.65', '3.90', '60.89', '68.90']"
LAST_GREENS ,"['21.85', '2.22', '0.10']"
RESULTS:,142.46,150.32,128.00

OFFSETS ,"['58.17', '46.90', '57.05']"
GREENS ,"['5.82', '43.96', '39.65', '4.81']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['15.89', '17.02', '21.52']"
GREENS ,"['5.82', '20.04', '11.32', '33.72']"
LAST_GREENS ,"['54.68', '35.64', '35.28']"
RESULTS:,178.22,85.79,87.00

OFFSETS ,"['39.32', '52.41', '1.61']"
GREENS ,"['9.51', '11.86', '41.10', '22.59']"
LAST_GREENS ,"['50.99', '14.04', '46.41']"
RESULTS:,295.84,128.24,106.67

OFFSETS ,"['17.24', '14.58', '62.60']"
GREENS ,"['42.60', '33.58', '22.53', '62.38']"
LAST_GREENS ,"['17.90', '10.89', '6.62']"
RESULTS:,106.36,77.48,76.67

OFFSETS ,"['64.04', '1.16', '57.11']"
GREENS ,"['36.47', '1.92', '25.59', '17.95']"
LAST_GREENS ,"['24.03', '39.49', '51.05']"
RESULTS:,324.04,151.29,136.33

OFFSETS ,"['21.58', '16.02', '55.17']"
GREENS ,"['30.24', '30.78', '11.83', '2.75']"
LAST_GREENS ,"['30.26', '24.38', '66.25']"
RESULTS:,183.61,88.85,59.33

OFFSETS ,"['17.03', '13.35', '21.56']"
GREENS ,"['4.83', '38.67', '0.92', '18.67']"
LAST_GREENS ,"['55.67', '27.41', '50.33']"
RESULTS:,94.35,45.20,37.67

OFFSETS ,"['43.37', '1.39', '23.50']"
GREENS ,"['15.12', '49.38', '34.14', '37.88']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['62.38', '46.92', '26.94']"
GREENS ,"['50.64', '9.46', '58.10', '59.72']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['23.59', '59.70', '5.78']"
GREENS ,"['9.24', '46.59', '28.16', '61.25']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['21.25', '15.22', '6.10']"
GREENS ,"['29.59', '0.13', '10.82', '64.06']"
