OFFSETS ,"['50.52', '62.03', '33.25']"
GREENS ,"['8.56', '9.28', '22.64', '52.68']"
LAST_GREENS ,"['51.94', '35.09', '16.32']"
RESULTS:,191.06,96.89,108.33

OFFSETS ,"['50.35', '32.87', '69.53']"
GREENS ,"['43.76', '29.15', '9.46', '18.86']"
LAST_GREENS ,"['16.74', '28.39', '50.14']"
RESULTS:,130.27,63.05,50.00

OFFSETS ,"['25.66', '42.67', '29.95']"
GREENS ,"['32.21', '4.20', '59.67', '36.20']"
LAST_GREENS ,"['28.29', '3.12', '32.80']"
RESULTS:,260.32,146.06,124.00

OFFSETS ,"['53.08', '2.72', '38.42']"
GREENS ,"['50.07', '63.74', '21.07', '15.55']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['10.58', '57.53', '36.14']"
GREENS ,"['20.64', '39.98', '53.41', '5.48']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['13.54', '17.90', '71.49']"
GREENS ,"['57.37', '27.14', '54.09', '58.97']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['12.73', '70.96', '4.79']"
GREENS ,"['4.58', '56.58', '23.12', '52.39']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['11.70', '37.91', '51.01']"
GREENS ,"['14.05', '31.57', '32.06', '42.33']"
LAST_GREENS ,"['46.45', '3.37', '26.67']"
RESULTS:,118.04,83.51,75.00

OFFSETS ,"['49.80', '35.47', '8.22']"
GREENS ,"['20.28', '58.35', '48.64', '52.66']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['72.81', '67.56', '15.47']"
GREENS ,"['40.56', '43.92', '10.49', '41.68']"
LAST_GREENS ,"['19.94', '12.60', '27.32']"
RESULTS:,46.50,37.13,42.50

OFFSETS ,"['55.51', '70.26', '34.12']"
GREENS ,"['6.86', '21.84', '29.18', '55.15']"
LAST_GREENS ,"['53.64', '15.98', '13.85']"
RESULTS:,104.94,63.77,85.00

OFFSETS ,"['53.08', '2.72', '32.33']"
GREENS ,"['50.07', '63.55', '21.09', '15.15']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['4.43', '41.34', '33.27']"
GREENS ,"['46.71', '9.48', '46.36', '41.72']"
LAST_GREENS ,"['13.79', '11.17', '27.28']"
RESULTS:,207.49,112.67,110.33

OFFSETS ,"['71.35', '1.41', '36.78']"
GREENS ,"['58.59', '44.36', '10.50', '44.00']"
LAST_GREENS ,"['1.91', '12.13', '25.00']"
RESULTS:,57.78,40.62,34.50

OFFSETS ,"['11.70', '55.41', '51.01']"
GREENS ,"['14.06', '31.76', '32.08', '42.33']"
LAST_GREENS ,"['46.44', '3.16', '26.67']"
RESULTS:,96.79,74.16,51.50

OFFSETS ,"['26.77', '19.89', '40.87']"
GREENS ,"['39.70', '26.85', '15.31', '64.32']"
LAST_GREENS ,"['20.80', '24.85', '4.68']"
RESULTS:,92.36,57.57,83.67

OFFSETS ,"['3.93', '67.24', '36.82']"
GREENS ,"['41.76', '47.27', '10.96', '44.00']"
LAST_GREENS ,"['18.74', '8.77', '25.00']"
RESULTS:,66.67,47.77,48.00

OFFSETS ,"['50.30', '67.74', '69.53']"
GREENS ,"['41.61', '45.87', '9.46', '18.05']"
LAST_GREENS ,"['18.89', '11.67', '50.95']"
RESULTS:,108.36,58.93,38.50

OFFSETS ,"['49.70', '14.93', '19.36']"
GREENS ,"['15.66', '29.14', '17.91', '42.04']"
LAST_GREENS ,"['44.84', '19.95', '26.96']"
RESULTS:,65.93,42.80,52.33

OFFSETS ,"['11.70', '70.94', '22.71']"
GREENS ,"['13.69', '8.63', '32.08', '42.33']"
LAST_GREENS ,"['46.81', '26.29', '26.67']"
RESULTS:,166.94,94.29,113.33

OFFSETS ,"['12.71', '54.34', '51.00']"
GREENS ,"['31.52', '31.76', '31.47', '48.64']"
LAST_GREENS ,"['28.98', '3.77', '20.36']"
