OFFSETS ,"['2.05', '50.29', '31.30']"
GREENS ,"['33.80', '9.41', '13.27', '55.25']"
LAST_GREENS ,"['26.70', '44.32', '13.75']"
RESULTS:,200.05,108.34,109.00

OFFSETS ,"['72.62', '23.51', '51.92']"
GREENS ,"['53.02', '59.94', '5.70', '2.69']"
LAST_GREENS ,"['7.48', '1.36', '66.31']"
RESULTS:,59.28,92.39,51.67

OFFSETS ,"['45.47', '42.66', '23.80']"
GREENS ,"['59.81', '38.84', '25.47', '38.02']"
LAST_GREENS ,"['0.69', '2.69', '30.98']"
RESULTS:,54.17,65.23,51.00

OFFSETS ,"['55.90', '50.19', '19.87']"
GREENS ,"['4.01', '24.80', '42.19', '14.50']"
LAST_GREENS ,"['56.49', '0.01', '54.50']"
RESULTS:,187.42,144.78,97.67

OFFSETS ,"['56.46', '62.58', '7.45']"
GREENS ,"['48.69', '13.07', '42.84', '36.20']"
LAST_GREENS ,"['11.81', '11.09', '32.80']"
RESULTS:,155.37,104.78,103.33

OFFSETS ,"['45.11', '18.03', '4.95']"
GREENS ,"['44.47', '51.56', '24.60', '64.54']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['41.65', '59.14', '9.31']"
GREENS ,"['27.46', '38.91', '65.27', '19.77']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['37.03', '46.50', '62.29']"
GREENS ,"['9.49', '1.24', '4.69', '55.08']"
LAST_GREENS ,"['51.01', '61.06', '13.92']"
RESULTS:,313.03,147.00,129.67

OFFSETS ,"['55.90', '50.28', '50.94']"
GREENS ,"['52.68', '26.24', '42.20', '14.64']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['37.03', '46.50', '62.13']"
GREENS ,"['27.34', '1.24', '65.39', '33.56']"
LAST_GREENS ,"['33.16', '0.37', '35.44']"
RESULTS:,138.98,157.88,131.33

OFFSETS ,"['31.97', '68.44', '32.11']"
GREENS ,"['58.37', '44.45', '41.65', '12.82']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['1.40', '60.05', '17.47']"
GREENS ,"['48.48', '25.99', '57.86', '51.55']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

