1, 243.59
2, 632.76
3, 1137.89
4, 1546.35
5, 1880.42
6, 2233.31
7, 2565.53
8, 2879.58
9, 3180.04
10, 3460.34
11, 3762.95
12, 4008.05
13, 4289.85
14, 4482.18
15, 4655.01
16, 4779.47
17, 4923.39
18, 5072.41
19, 5275.91
20, 5441.97
21, 5677.11
22, 5888.04
23, 6141.20
24, 6392.23
25, 6635.13
26, 6832.12
27, 7041.35
28, 7187.21
29, 7419.79
30, 7665.89
31, 7882.66
32, 8060.40
33, 8175.00
34, 8293.76
35, 8421.80
36, 8566.97
37, 8712.86
38, 8840.98
39, 8940.25
40, 9057.65
41, 9226.97
42, 9370.53
43, 9503.75
44, 9660.79
45, 9812.47
46, 9951.60
47, 10115.54
48, 10242.52
49, 10466.20
50, 10631.36
