OFFSETS ,"['56.43', '53.62', '12.54']"
GREENS ,"['13.29', '48.09', '56.95', '32.45']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['35.29', '24.16', '50.31']"
GREENS ,"['34.62', '58.35', '0.05', '37.08']"
LAST_GREENS ,"['25.88', '8.60', '31.92']"
RESULTS:,84.81,55.40,47.50

OFFSETS ,"['20.62', '16.76', '39.08']"
GREENS ,"['14.99', '4.50', '15.52', '49.28']"
LAST_GREENS ,"['45.51', '46.99', '19.72']"
RESULTS:,261.24,113.89,123.00

OFFSETS ,"['12.95', '21.14', '59.93']"
GREENS ,"['58.28', '12.65', '64.59', '50.15']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['38.24', '40.90', '46.37']"
GREENS ,"['57.46', '14.72', '49.26', '50.72']"
LAST_GREENS ,"['3.04', '3.02', '18.28']"
RESULTS:,172.28,109.27,104.33

OFFSETS ,"['54.80', '32.65', '74.62']"
GREENS ,"['19.70', '9.75', '12.75', '44.24']"
LAST_GREENS ,"['40.80', '44.50', '24.76']"
RESULTS:,238.91,106.00,108.67

OFFSETS ,"['39.65', '4.56', '49.68']"
GREENS ,"['15.79', '26.99', '45.33', '53.70']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['24.10', '17.67', '70.45']"
GREENS ,"['46.50', '64.18', '56.11', '0.45']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['52.37', '71.50', '14.39']"
GREENS ,"['46.24', '9.94', '47.79', '23.31']"
LAST_GREENS ,"['14.26', '9.27', '45.69']"
RESULTS:,305.38,133.56,112.00

OFFSETS ,"['38.34', '38.26', '38.92']"
GREENS ,"['23.06', '55.96', '65.87', '1.28']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['61.21', '49.74', '70.95']"
GREENS ,"['7.17', '58.76', '3.36', '11.65']"
LAST_GREENS ,"['53.33', '4.88', '57.35']"
RESULTS:,159.81,78.22,49.50

OFFSETS ,"['0.90', '58.81', '69.97']"
GREENS ,"['35.59', '50.77', '18.76', '44.85']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['3.03', '74.66', '23.04']"
GREENS ,"['32.45', '23.93', '12.63', '14.30']"
LAST_GREENS ,"['28.05', '30.43', '54.70']"
RESULTS:,198.79,85.54,76.00

OFFSETS ,"['59.67', '73.62', '49.80']"
GREENS ,"['41.33', '27.61', '28.19', '1.92']"
LAST_GREENS ,"['19.17', '11.20', '67.08']"
RESULTS:,254.69,108.32,72.67

OFFSETS ,"['56.43', '53.65', '12.54']"
GREENS ,"['13.36', '0.27', '56.95', '32.48']"
LAST_GREENS ,"['47.14', '9.77', '36.52']"
RESULTS:,316.79,171.36,159.00

OFFSETS ,"['22.39', '53.25', '39.02']"
GREENS ,"['10.28', '21.54', '13.47', '30.76']"
LAST_GREENS ,"['50.22', '31.99', '38.24']"
RESULTS:,185.68,83.03,79.00

OFFSETS ,"['29.93', '58.96', '72.11']"
GREENS ,"['22.57', '9.78', '58.69', '21.80']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['31.99', '20.64', '51.37']"
GREENS ,"['24.91', '61.97', '0.07', '11.82']"
LAST_GREENS ,"['35.59', '4.96', '57.18']"
RESULTS:,153.58,76.97,50.00

