OFFSETS ,"['60.53', '3.61', '36.55']"
GREENS ,"['23.81', '36.89', '29.58', '46.39']"
LAST_GREENS ,"['36.69', '0.53', '22.61']"
RESULTS:,135.97,104.80,80.33

OFFSETS ,"['29.93', '46.15', '25.19']"
GREENS ,"['22.57', '9.66', '52.77', '38.09']"
LAST_GREENS ,"['37.93', '4.57', '30.91']"
RESULTS:,225.66,126.13,112.00

OFFSETS ,"['65.12', '53.25', '23.41']"
GREENS ,"['10.28', '21.54', '30.05', '30.76']"
LAST_GREENS ,"['50.22', '15.41', '38.24']"
RESULTS:,152.72,80.94,82.33

OFFSETS ,"['49.45', '2.41', '64.70']"
GREENS ,"['22.92', '6.37', '42.27', '13.65']"
LAST_GREENS ,"['37.58', '18.37', '55.35']"
RESULTS:,370.42,128.84,119.33

OFFSETS ,"['2.84', '74.66', '23.04']"
GREENS ,"['32.45', '23.93', '18.40', '14.30']"
LAST_GREENS ,"['28.05', '24.67', '54.70']"
RESULTS:,197.98,85.16,74.67

OFFSETS ,"['58.83', '21.25', '71.37']"
GREENS ,"['22.49', '16.80', '61.97', '5.72']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['2.86', '30.24', '23.58']"
GREENS ,"['47.10', '23.93', '21.43', '45.43']"
LAST_GREENS ,"['13.40', '21.64', '23.57']"
RESULTS:,133.18,66.32,78.67

OFFSETS ,"['8.47', '19.49', '25.81']"
GREENS ,"['49.83', '2.67', '16.34', '32.62']"
LAST_GREENS ,"['10.67', '47.99', '36.38']"
RESULTS:,329.30,131.34,130.00

OFFSETS ,"['49.80', '49.28', '20.56']"
GREENS ,"['17.01', '14.99', '49.84', '28.98']"
LAST_GREENS ,"['43.49', '2.17', '40.02']"
RESULTS:,252.11,129.39,105.67

OFFSETS ,"['29.67', '59.61', '10.64']"
GREENS ,"['2.92', '4.73', '58.63', '21.84']"
LAST_GREENS ,"['57.58', '3.64', '47.16']"
RESULTS:,368.88,158.80,124.00

OFFSETS ,"['22.10', '2.75', '36.53']"
GREENS ,"['23.81', '36.89', '29.57', '45.63']"
LAST_GREENS ,"['36.69', '0.54', '23.37']"
RESULTS:,128.55,98.76,58.00

OFFSETS ,"['3.62', '58.06', '16.50']"
GREENS ,"['22.48', '39.51', '15.34', '33.17']"
LAST_GREENS ,"['38.02', '12.15', '35.83']"
RESULTS:,70.57,45.63,32.50

OFFSETS ,"['38.24', '40.89', '46.18']"
GREENS ,"['57.46', '14.72', '49.26', '50.72']"
LAST_GREENS ,"['3.04', '3.02', '18.28']"
RESULTS:,172.28,109.27,104.33

OFFSETS ,"['22.10', '2.75', '11.79']"
GREENS ,"['47.26', '36.89', '29.57', '45.63']"
LAST_GREENS ,"['13.24', '0.54', '23.37']"
RESULTS:,110.76,93.85,63.00

OFFSETS ,"['71.50', '52.38', '36.91']"
GREENS ,"['23.98', '22.37', '35.31', '6.50']"
LAST_GREENS ,"['36.52', '9.32', '62.50']"
RESULTS:,307.34,117.86,81.00

OFFSETS ,"['0.60', '58.23', '16.50']"
GREENS ,"['22.92', '5.65', '15.34', '45.38']"
LAST_GREENS ,"['37.58', '46.01', '23.62']"
