1, 724.84
2, 1617.57
3, 2344.82
4, 3003.82
5, 3558.28
6, 4160.93
7, 4679.90
8, 5250.64
9, 5735.76
10, 6145.37
11, 6572.05
12, 6968.58
13, 7334.18
14, 7674.38
15, 7975.23
16, 8260.22
17, 8498.19
18, 8813.31
19, 9137.07
20, 9357.21
21, 9496.15
22, 9635.89
23, 9767.92
24, 9977.30
25, 10195.64
26, 10323.89
27, 10447.00
28, 10470.78
29, 10513.87
30, 10556.02
31, 10580.38
32, 10632.25
33, 10679.52
34, 10702.60
35, 10727.95
36, 10773.69
37, 10797.20
38, 10821.77
39, 10859.61
40, 10937.60
41, 10937.62
42, 10990.52
43, 11028.20
44, 11096.19
45, 11176.37
46, 11201.54
47, 11287.20
48, 11311.10
49, 11354.91
50, 11391.48
