OFFSETS ,"['29.67', '49.92', '10.64']"
GREENS ,"['2.92', '57.69', '2.73', '11.66']"
LAST_GREENS ,"['57.58', '6.58', '57.34']"
RESULTS:,149.39,72.73,48.50

OFFSETS ,"['14.70', '58.03', '16.50']"
GREENS ,"['22.48', '39.51', '15.34', '33.17']"
LAST_GREENS ,"['38.02', '12.15', '35.83']"
RESULTS:,78.77,50.37,39.00

OFFSETS ,"['61.21', '59.44', '70.95']"
GREENS ,"['7.17', '5.77', '59.16', '21.83']"
LAST_GREENS ,"['53.33', '2.07', '47.17']"
RESULTS:,364.30,155.99,118.67

OFFSETS ,"['37.41', '51.66', '15.99']"
GREENS ,"['23.87', '45.92', '35.82', '33.56']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['8.47', '19.49', '20.58']"
GREENS ,"['16.24', '2.67', '16.34', '32.62']"
LAST_GREENS ,"['44.26', '47.99', '36.38']"
RESULTS:,332.41,132.31,128.67

OFFSETS ,"['36.42', '29.79', '45.94']"
GREENS ,"['60.49', '13.85', '59.01', '17.55']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['3.37', '49.55', '49.67']"
GREENS ,"['10.25', '13.43', '42.72', '9.84']"
LAST_GREENS ,"['50.25', '10.85', '59.16']"
RESULTS:,389.18,130.94,106.67

OFFSETS ,"['31.99', '20.82', '51.86']"
GREENS ,"['24.96', '61.51', '0.07', '11.82']"
LAST_GREENS ,"['35.54', '5.42', '57.18']"
RESULTS:,160.03,77.70,49.50

OFFSETS ,"['14.70', '58.48', '16.50']"
GREENS ,"['22.48', '39.51', '0.11', '33.17']"
LAST_GREENS ,"['38.02', '27.38', '35.83']"
RESULTS:,83.23,42.06,35.67

OFFSETS ,"['49.52', '54.61', '13.57']"
GREENS ,"['47.97', '22.37', '35.31', '6.50']"
LAST_GREENS ,"['12.53', '9.32', '62.50']"
RESULTS:,309.14,118.28,82.33

OFFSETS ,"['49.86', '24.16', '50.31']"
GREENS ,"['50.56', '14.90', '0.05', '37.25']"
LAST_GREENS ,"['9.94', '52.05', '31.75']"
RESULTS:,262.98,104.19,97.67

OFFSETS ,"['0.91', '74.66', '61.60']"
GREENS ,"['32.45', '5.54', '18.40', '14.30']"
LAST_GREENS ,"['28.05', '43.07', '54.70']"
RESULTS:,370.25,131.28,122.00

OFFSETS ,"['71.42', '0.93', '63.29']"
GREENS ,"['22.38', '6.37', '42.27', '13.65']"
LAST_GREENS ,"['38.12', '18.37', '55.35']"
RESULTS:,359.08,127.43,119.33

OFFSETS ,"['54.69', '32.65', '74.62']"
GREENS ,"['19.70', '9.75', '18.51', '44.24']"
LAST_GREENS ,"['40.80', '38.74', '24.76']"
RESULTS:,202.50,99.09,109.33

OFFSETS ,"['14.82', '30.04', '62.13']"
GREENS ,"['46.65', '39.40', '21.43', '33.22']"
LAST_GREENS ,"['13.85', '6.17', '35.78']"
RESULTS:,85.45,60.27,49.00

OFFSETS ,"['22.10', '2.75', '36.53']"
GREENS ,"['24.87', '36.89', '28.41', '45.63']"
LAST_GREENS ,"['35.63', '1.70', '23.37']"
RESULTS:,55.34,55.67,50.50

