OFFSETS ,"['21.24', '73.16', '49.78']"
GREENS ,"['41.33', '27.61', '28.18', '0.89']"
LAST_GREENS ,"['19.17', '11.21', '68.11']"
RESULTS:,236.02,106.48,62.33

OFFSETS ,"['0.92', '30.24', '62.13']"
GREENS ,"['47.10', '5.54', '21.43', '45.43']"
LAST_GREENS ,"['13.40', '40.03', '23.57']"
RESULTS:,208.37,102.80,120.00

OFFSETS ,"['71.50', '52.38', '12.17']"
GREENS ,"['47.43', '22.37', '35.31', '6.50']"
LAST_GREENS ,"['13.07', '9.32', '62.50']"
RESULTS:,310.14,116.40,82.33

OFFSETS ,"['49.80', '49.28', '25.79']"
GREENS ,"['50.60', '14.99', '49.84', '28.98']"
LAST_GREENS ,"['9.90', '2.17', '40.02']"
RESULTS:,256.33,131.08,100.33

OFFSETS ,"['0.90', '58.84', '69.97']"
GREENS ,"['35.65', '1.29', '18.76', '44.88']"
LAST_GREENS ,"['24.85', '46.96', '24.12']"
RESULTS:,283.29,122.82,130.67

OFFSETS ,"['38.55', '55.89', '53.92']"
GREENS ,"['56.31', '52.62', '59.66', '68.23']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['63.35', '16.76', '23.48']"
GREENS ,"['14.99', '4.50', '32.09', '49.28']"
LAST_GREENS ,"['45.51', '30.41', '19.72']"
RESULTS:,275.33,116.60,123.33

OFFSETS ,"['59.68', '40.90', '46.37']"
GREENS ,"['57.46', '14.72', '62.53', '50.72']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['14.46', '49.51', '49.67']"
GREENS ,"['10.25', '13.43', '42.72', '9.84']"
LAST_GREENS ,"['50.25', '10.85', '59.16']"
RESULTS:,389.18,130.94,106.67

OFFSETS ,"['0.30', '59.44', '70.95']"
GREENS ,"['7.17', '5.53', '59.16', '21.83']"
LAST_GREENS ,"['53.33', '2.30', '47.17']"
RESULTS:,362.40,155.68,119.00

OFFSETS ,"['37.39', '21.25', '71.37']"
GREENS ,"['22.49', '16.80', '48.70', '5.72']"
LAST_GREENS ,"['38.01', '1.50', '63.28']"
RESULTS:,421.43,144.83,96.00

OFFSETS ,"['31.99', '20.36', '51.86']"
GREENS ,"['24.96', '61.51', '15.62', '11.82']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['63.92', '30.24', '62.13']"
GREENS ,"['47.10', '5.77', '21.43', '45.43']"
LAST_GREENS ,"['13.40', '39.80', '23.57']"
RESULTS:,213.20,104.80,121.00

OFFSETS ,"['35.24', '49.28', '25.79']"
GREENS ,"['34.66', '58.44', '49.84', '28.81']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['14.24', '49.86', '18.67']"
GREENS ,"['22.48', '39.51', '0.11', '12.09']"
LAST_GREENS ,"['38.02', '27.38', '56.91']"
RESULTS:,146.41,63.50,41.33

OFFSETS ,"['29.67', '49.92', '11.12']"
GREENS ,"['2.92', '57.69', '2.73', '11.66']"
LAST_GREENS ,"['57.58', '6.58', '57.34']"
RESULTS:,150.11,73.35,49.00

OFFSETS ,"['2.86', '30.24', '25.30']"
GREENS ,"['47.10', '28.52', '21.43', '45.43']"
LAST_GREENS ,"['13.40', '17.05', '23.57']"
RESULTS:,107.81,59.41,76.00

OFFSETS ,"['61.68', '58.35', '68.75']"
GREENS ,"['7.17', '58.76', '3.36', '32.73']"
LAST_GREENS ,"['53.33', '4.88', '36.27']"
RESULTS:,82.24,59.42,50.50

OFFSETS ,"['60.53', '3.57', '36.55']"
GREENS ,"['23.28', '58.12', '28.84', '46.13']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['3.71', '58.48', '16.50']"
GREENS ,"['22.48', '39.51', '0.11', '33.17']"
LAST_GREENS ,"['38.02', '27.38', '35.83']"
RESULTS:,83.45,41.98,36.67

OFFSETS ,"['1.15', '39.10', '16.50']"
GREENS ,"['22.48', '39.51', '15.37', '33.17']"
LAST_GREENS ,"['38.02', '12.12', '35.83']"
RESULTS:,99.97,57.58,40.00

OFFSETS ,"['3.25', '30.34', '24.78']"
GREENS ,"['47.10', '22.66', '21.43', '45.43']"
LAST_GREENS ,"['13.40', '22.91', '23.57']"
RESULTS:,133.77,66.80,80.67

OFFSETS ,"['14.62', '24.85', '16.50']"
GREENS ,"['22.48', '39.51', '15.34', '33.18']"
LAST_GREENS ,"['38.02', '12.15', '35.82']"
RESULTS:,68.19,45.64,34.00

OFFSETS ,"['3.71', '58.48', '16.50']"
GREENS ,"['22.48', '39.51', '15.08', '33.17']"
LAST_GREENS ,"['38.02', '12.41', '35.83']"
RESULTS:,70.57,45.63,32.50

OFFSETS ,"['29.79', '45.03', '11.12']"
GREENS ,"['22.66', '57.69', '2.82', '11.66']"
LAST_GREENS ,"['37.84', '6.49', '57.34']"
RESULTS:,151.20,73.42,49.00

OFFSETS ,"['61.54', '49.74', '70.72']"
GREENS ,"['22.31', '58.55', '3.36', '11.65']"
LAST_GREENS ,"['38.19', '5.09', '57.35']"
RESULTS:,157.47,77.37,50.50

OFFSETS ,"['20.79', '30.03', '24.31']"
GREENS ,"['47.10', '39.97', '21.43', '43.65']"
LAST_GREENS ,"['13.40', '5.60', '25.35']"
RESULTS:,54.28,46.25,49.50

OFFSETS ,"['29.67', '49.90', '10.64']"
GREENS ,"['3.11', '39.51', '2.73', '11.66']"
LAST_GREENS ,"['57.39', '24.76', '57.34']"
RESULTS:,130.64,57.05,41.67

OFFSETS ,"['13.92', '49.86', '18.87']"
GREENS ,"['7.33', '39.72', '0.11', '12.09']"
LAST_GREENS ,"['53.17', '27.17', '56.91']"
RESULTS:,146.21,63.30,41.00

OFFSETS ,"['14.54', '30.04', '62.06']"
GREENS ,"['34.44', '39.40', '21.43', '37.13']"
LAST_GREENS ,"['26.06', '6.17', '31.87']"
RESULTS:,70.22,54.71,50.00

OFFSETS ,"['1.15', '39.10', '16.50']"
GREENS ,"['22.48', '39.51', '16.19', '33.17']"
LAST_GREENS ,"['38.02', '11.30', '35.83']"
RESULTS:,105.28,62.71,45.00

OFFSETS ,"['22.10', '2.75', '36.53']"
GREENS ,"['24.86', '36.89', '28.41', '45.74']"
LAST_GREENS ,"['35.64', '1.70', '23.26']"
RESULTS:,55.34,55.67,50.50

OFFSETS ,"['14.62', '58.06', '16.50']"
GREENS ,"['23.37', '39.58', '0.75', '33.17']"
LAST_GREENS ,"['37.13', '26.67', '35.83']"
RESULTS:,83.18,42.02,35.00

OFFSETS ,"['15.17', '22.99', '50.31']"
GREENS ,"['34.63', '38.98', '0.05', '33.12']"
LAST_GREENS ,"['25.87', '27.97', '35.88']"
RESULTS:,79.50,41.49,34.00

OFFSETS ,"['3.71', '58.48', '16.50']"
GREENS ,"['22.48', '39.51', '15.34', '33.17']"
LAST_GREENS ,"['38.02', '12.15', '35.83']"
RESULTS:,70.57,45.63,32.50

OFFSETS ,"['24.07', '22.98', '50.31']"
GREENS ,"['34.62', '37.36', '0.05', '33.12']"
LAST_GREENS ,"['25.88', '29.59', '35.88']"
RESULTS:,80.25,41.44,34.00

OFFSETS ,"['62.48', '38.51', '36.53']"
GREENS ,"['7.22', '39.38', '14.44', '32.21']"
LAST_GREENS ,"['53.28', '13.17', '36.79']"
RESULTS:,62.55,40.29,27.00

OFFSETS ,"['21.42', '58.48', '16.50']"
GREENS ,"['58.21', '37.20', '21.52', '45.99']"
LAST_GREENS ,"['2.29', '8.29', '23.01']"
RESULTS:,65.12,50.43,48.50

OFFSETS ,"['35.29', '30.52', '36.57']"
GREENS ,"['58.33', '37.12', '1.20', '37.35']"
LAST_GREENS ,"['2.17', '28.69', '31.65']"
RESULTS:,40.71,26.59,25.00

OFFSETS ,"['22.09', '2.75', '36.53']"
GREENS ,"['23.81', '37.25', '21.30', '43.64']"
LAST_GREENS ,"['36.69', '8.46', '25.36']"
RESULTS:,57.43,46.94,49.00

OFFSETS ,"['14.62', '24.85', '14.84']"
GREENS ,"['22.47', '37.22', '14.36', '33.18']"
LAST_GREENS ,"['38.03', '15.42', '35.82']"
RESULTS:,62.69,39.97,27.00

OFFSETS ,"['21.72', '48.82', '36.60']"
GREENS ,"['33.94', '56.43', '2.74', '37.29']"
LAST_GREENS ,"['26.56', '7.83', '31.71']"
RESULTS:,65.57,49.44,48.00

OFFSETS ,"['22.40', '30.53', '36.53']"
GREENS ,"['25.99', '39.98', '21.43', '45.63']"
LAST_GREENS ,"['34.51', '5.59', '23.37']"
RESULTS:,45.15,41.90,50.00

OFFSETS ,"['22.10', '30.30', '36.55']"
GREENS ,"['24.87', '36.89', '28.41', '32.33']"
LAST_GREENS ,"['35.63', '1.70', '36.67']"
RESULTS:,99.88,73.49,51.50

OFFSETS ,"['20.88', '24.85', '13.69']"
GREENS ,"['20.65', '40.24', '15.61', '33.18']"
LAST_GREENS ,"['39.85', '11.15', '35.82']"
RESULTS:,64.91,44.15,36.50

OFFSETS ,"['14.54', '2.66', '35.38']"
GREENS ,"['24.56', '39.40', '14.76', '37.09']"
LAST_GREENS ,"['35.94', '12.84', '31.91']"
RESULTS:,60.90,41.69,28.50

OFFSETS ,"['15.29', '37.08', '14.84']"
GREENS ,"['22.47', '37.34', '14.36', '32.51']"
LAST_GREENS ,"['38.03', '15.30', '36.49']"
RESULTS:,104.66,56.92,47.33

OFFSETS ,"['22.46', '29.64', '36.81']"
GREENS ,"['58.15', '39.38', '14.38', '45.64']"
LAST_GREENS ,"['2.35', '13.24', '23.36']"
RESULTS:,27.24,23.41,27.50

OFFSETS ,"['35.29', '24.21', '49.64']"
GREENS ,"['35.15', '37.12', '1.20', '37.35']"
LAST_GREENS ,"['25.35', '28.68', '31.65']"
RESULTS:,60.46,35.49,28.67

OFFSETS ,"['34.80', '38.51', '49.64']"
GREENS ,"['25.28', '39.66', '14.46', '45.63']"
LAST_GREENS ,"['35.22', '12.89', '23.37']"
RESULTS:,29.05,25.51,31.00

OFFSETS ,"['29.37', '25.17', '49.64']"
GREENS ,"['24.80', '39.54', '14.45', '46.30']"
LAST_GREENS ,"['35.70', '13.00', '22.70']"
RESULTS:,27.39,24.05,30.00

OFFSETS ,"['20.87', '38.96', '24.17']"
GREENS ,"['45.49', '36.86', '15.62', '33.17']"
LAST_GREENS ,"['15.01', '14.51', '35.83']"
RESULTS:,80.83,46.64,44.00

OFFSETS ,"['22.55', '2.41', '36.54']"
GREENS ,"['24.81', '39.36', '15.49', '45.63']"
LAST_GREENS ,"['35.69', '12.15', '23.37']"
RESULTS:,46.07,37.39,38.50

OFFSETS ,"['22.56', '30.16', '36.54']"
GREENS ,"['58.15', '39.38', '14.38', '45.63']"
LAST_GREENS ,"['2.35', '13.24', '23.37']"
RESULTS:,25.56,22.37,28.50

OFFSETS ,"['34.77', '30.44', '49.64']"
GREENS ,"['25.28', '39.66', '14.46', '37.46']"
LAST_GREENS ,"['35.22', '12.89', '31.54']"
RESULTS:,53.35,38.12,32.00

OFFSETS ,"['35.41', '29.79', '37.24']"
GREENS ,"['58.33', '37.64', '1.20', '37.35']"
LAST_GREENS ,"['2.17', '28.16', '31.65']"
RESULTS:,39.89,26.48,21.33

OFFSETS ,"['22.12', '26.20', '11.24']"
GREENS ,"['34.32', '37.22', '0.34', '45.64']"
LAST_GREENS ,"['26.18', '29.45', '23.36']"
RESULTS:,33.91,21.15,17.67

OFFSETS ,"['35.26', '40.69', '36.21']"
GREENS ,"['18.22', '39.39', '14.46', '45.54']"
LAST_GREENS ,"['42.28', '13.16', '23.46']"
RESULTS:,36.47,29.90,32.50

