OFFSETS ,"['52.68', '28.55', '17.95']"
GREENS ,"['1.25', '27.82', '36.56', '3.17']"
LAST_GREENS ,"['59.25', '2.62', '65.83']"
RESULTS:,261.17,118.90,58.33

OFFSETS ,"['45.63', '48.39', '29.70']"
GREENS ,"['56.75', '12.15', '27.58', '46.75']"
LAST_GREENS ,"['3.75', '27.27', '22.25']"
RESULTS:,191.75,95.08,104.33

OFFSETS ,"['17.87', '35.12', '52.30']"
GREENS ,"['56.68', '32.27', '8.52', '46.69']"
LAST_GREENS ,"['3.82', '26.21', '22.31']"
RESULTS:,51.08,33.81,50.33

OFFSETS ,"['45.15', '56.08', '65.14']"
GREENS ,"['5.40', '40.56', '3.85', '47.27']"
LAST_GREENS ,"['55.10', '22.59', '21.73']"
RESULTS:,13.39,11.03,10.00

OFFSETS ,"['10.75', '24.82', '68.78']"
GREENS ,"['12.21', '53.50', '59.29', '14.26']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['27.98', '56.56', '71.35']"
GREENS ,"['51.32', '38.12', '36.29', '46.76']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['47.24', '53.92', '60.35']"
GREENS ,"['6.95', '62.51', '48.13', '16.53']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['42.95', '62.66', '27.89']"
GREENS ,"['8.69', '39.23', '25.10', '19.16']"
LAST_GREENS ,"['51.81', '2.67', '49.84']"
RESULTS:,159.22,89.24,51.50

OFFSETS ,"['39.44', '28.55', '18.00']"
GREENS ,"['1.25', '27.97', '36.56', '17.65']"
LAST_GREENS ,"['59.25', '2.48', '51.35']"
RESULTS:,194.41,104.30,58.00

OFFSETS ,"['27.98', '54.94', '8.05']"
GREENS ,"['42.12', '0.87', '37.04', '46.76']"
LAST_GREENS ,"['18.38', '29.08', '22.24']"
RESULTS:,238.28,140.79,159.33

OFFSETS ,"['65.92', '4.60', '25.79']"
GREENS ,"['25.01', '36.60', '30.97', '42.85']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['9.82', '26.80', '49.26']"
GREENS ,"['52.97', '38.18', '24.98', '39.13']"
LAST_GREENS ,"['7.53', '3.84', '29.87']"
RESULTS:,78.05,62.05,50.00

OFFSETS ,"['9.93', '22.63', '49.26']"
GREENS ,"['53.22', '38.24', '8.35', '39.13']"
LAST_GREENS ,"['7.28', '20.41', '29.87']"
RESULTS:,47.94,30.62,23.00

OFFSETS ,"['9.61', '22.84', '49.15']"
GREENS ,"['52.89', '30.02', '4.41', '15.25']"
LAST_GREENS ,"['7.61', '32.57', '53.75']"
RESULTS:,143.99,66.76,49.67

OFFSETS ,"['46.37', '56.08', '65.14']"
GREENS ,"['55.59', '32.26', '3.85', '47.26']"
LAST_GREENS ,"['4.91', '30.90', '21.74']"
RESULTS:,43.20,28.47,32.33

OFFSETS ,"['45.26', '74.76', '4.25']"
GREENS ,"['7.98', '23.29', '23.24', '21.34']"
LAST_GREENS ,"['52.52', '20.47', '47.66']"
RESULTS:,171.23,81.31,77.67

OFFSETS ,"['17.76', '35.09', '52.30']"
GREENS ,"['58.89', '32.27', '25.15', '6.34']"
LAST_GREENS ,"['1.61', '9.58', '62.66']"
RESULTS:,221.27,97.62,50.67

OFFSETS ,"['17.16', '55.92', '26.90']"
GREENS ,"['36.51', '36.85', '24.34', '38.41']"
LAST_GREENS ,"['23.99', '5.81', '30.59']"
RESULTS:,109.91,71.91,49.50

OFFSETS ,"['9.82', '55.99', '49.29']"
GREENS ,"['53.22', '27.59', '24.81', '39.90']"
LAST_GREENS ,"['7.28', '14.59', '29.10']"
RESULTS:,110.58,61.97,70.67

OFFSETS ,"['37.71', '66.99', '51.97']"
GREENS ,"['57.60', '38.64', '9.02', '11.18']"
LAST_GREENS ,"['2.90', '19.34', '57.82']"
RESULTS:,181.69,75.73,55.33

OFFSETS ,"['45.13', '55.82', '29.70']"
GREENS ,"['59.25', '40.35', '3.84', '46.38']"
LAST_GREENS ,"['1.25', '22.81', '22.62']"
RESULTS:,50.90,28.20,22.33

OFFSETS ,"['16.67', '35.12', '52.30']"
GREENS ,"['59.73', '32.27', '8.52', '5.23']"
LAST_GREENS ,"['0.77', '26.21', '63.77']"
RESULTS:,179.87,77.32,49.67

OFFSETS ,"['38.84', '56.64', '64.80']"
GREENS ,"['7.72', '39.21', '2.01', '15.79']"
LAST_GREENS ,"['52.78', '25.78', '53.21']"
RESULTS:,104.09,48.70,39.67

OFFSETS ,"['9.82', '55.92', '49.26']"
GREENS ,"['36.43', '38.28', '24.97', '39.12']"
LAST_GREENS ,"['24.07', '3.75', '29.88']"
RESULTS:,65.55,54.43,50.50

OFFSETS ,"['17.86', '35.12', '52.30']"
GREENS ,"['4.82', '40.57', '8.52', '47.83']"
LAST_GREENS ,"['55.68', '17.91', '21.17']"
RESULTS:,18.60,14.79,17.33

OFFSETS ,"['9.65', '55.99', '49.29']"
GREENS ,"['7.82', '38.99', '24.81', '39.90']"
LAST_GREENS ,"['52.68', '3.19', '29.10']"
RESULTS:,64.28,59.04,50.50

OFFSETS ,"['45.13', '48.39', '30.04']"
GREENS ,"['58.96', '40.35', '3.87', '6.40']"
LAST_GREENS ,"['1.54', '22.78', '62.60']"
RESULTS:,123.11,54.54,47.67

OFFSETS ,"['45.15', '39.43', '28.34']"
GREENS ,"['5.48', '40.58', '2.06', '49.73']"
LAST_GREENS ,"['55.02', '24.36', '19.27']"
RESULTS:,22.07,15.72,14.33

OFFSETS ,"['9.93', '22.63', '49.26']"
GREENS ,"['4.68', '38.24', '8.35', '39.13']"
LAST_GREENS ,"['55.82', '20.41', '29.87']"
RESULTS:,47.94,30.62,23.00

OFFSETS ,"['17.86', '35.23', '52.01']"
GREENS ,"['4.82', '40.57', '8.44', '47.83']"
LAST_GREENS ,"['55.68', '17.99', '21.17']"
RESULTS:,18.60,14.79,17.33

OFFSETS ,"['45.16', '56.06', '4.36']"
GREENS ,"['5.37', '40.56', '24.61', '47.27']"
LAST_GREENS ,"['55.13', '1.83', '21.73']"
RESULTS:,48.02,51.10,51.00

OFFSETS ,"['45.15', '56.08', '28.75']"
GREENS ,"['5.41', '41.15', '2.71', '47.27']"
LAST_GREENS ,"['55.09', '23.14', '21.73']"
RESULTS:,49.92,27.83,22.67

OFFSETS ,"['11.98', '56.93', '65.53']"
GREENS ,"['5.62', '40.56', '2.14', '47.57']"
LAST_GREENS ,"['54.88', '24.30', '21.43']"
RESULTS:,13.23,10.90,11.00

OFFSETS ,"['17.16', '35.12', '52.19']"
GREENS ,"['6.46', '40.75', '8.52', '46.70']"
LAST_GREENS ,"['54.04', '17.73', '22.30']"
RESULTS:,17.39,14.05,20.00

OFFSETS ,"['17.86', '35.01', '52.38']"
GREENS ,"['4.82', '40.57', '8.52', '47.83']"
LAST_GREENS ,"['55.68', '17.91', '21.17']"
RESULTS:,18.60,14.79,17.33

OFFSETS ,"['45.15', '55.09', '64.79']"
GREENS ,"['7.64', '40.56', '2.18', '47.27']"
LAST_GREENS ,"['52.86', '24.26', '21.73']"
RESULTS:,15.16,12.37,10.67

OFFSETS ,"['45.13', '54.64', '64.91']"
GREENS ,"['60.02', '40.45', '2.71', '47.15']"
LAST_GREENS ,"['0.48', '23.84', '21.85']"
RESULTS:,14.91,12.14,11.33

OFFSETS ,"['17.21', '35.23', '52.01']"
GREENS ,"['7.84', '40.56', '8.49', '47.83']"
LAST_GREENS ,"['52.66', '17.95', '21.17']"
RESULTS:,17.41,13.83,18.33

OFFSETS ,"['13.58', '57.04', '65.24']"
GREENS ,"['5.62', '40.56', '0.36', '47.57']"
LAST_GREENS ,"['54.88', '26.08', '21.43']"
RESULTS:,14.25,11.49,11.33

OFFSETS ,"['45.15', '56.08', '61.74']"
GREENS ,"['5.41', '38.12', '2.72', '47.27']"
LAST_GREENS ,"['55.09', '26.16', '21.73']"
RESULTS:,15.13,11.93,12.33

OFFSETS ,"['11.98', '57.01', '65.53']"
GREENS ,"['5.41', '38.29', '8.44', '47.56']"
LAST_GREENS ,"['55.09', '20.27', '21.44']"
RESULTS:,12.77,10.73,10.00

OFFSETS ,"['45.15', '56.06', '61.76']"
GREENS ,"['5.40', '40.56', '2.53', '47.16']"
LAST_GREENS ,"['55.10', '23.92', '21.84']"
RESULTS:,13.49,11.11,11.00

OFFSETS ,"['45.15', '56.08', '64.83']"
GREENS ,"['5.40', '40.56', '2.73', '47.27']"
LAST_GREENS ,"['55.10', '23.71', '21.73']"
RESULTS:,14.38,11.68,12.33

OFFSETS ,"['45.15', '35.35', '52.28']"
GREENS ,"['5.41', '38.21', '3.76', '47.27']"
LAST_GREENS ,"['55.09', '25.02', '21.73']"
RESULTS:,14.72,12.11,11.67

OFFSETS ,"['44.89', '56.93', '65.53']"
GREENS ,"['5.62', '38.25', '8.53', '47.56']"
LAST_GREENS ,"['54.88', '20.22', '21.44']"
RESULTS:,15.03,12.32,11.33

OFFSETS ,"['45.15', '56.08', '65.18']"
GREENS ,"['5.40', '40.56', '3.85', '47.27']"
LAST_GREENS ,"['55.10', '22.59', '21.73']"
RESULTS:,13.39,11.03,10.00

OFFSETS ,"['45.15', '56.08', '61.70']"
GREENS ,"['5.41', '40.08', '3.83', '47.27']"
LAST_GREENS ,"['55.09', '23.10', '21.73']"
RESULTS:,14.52,11.69,13.33

OFFSETS ,"['45.15', '56.08', '65.19']"
GREENS ,"['5.40', '40.57', '8.56', '47.27']"
LAST_GREENS ,"['55.10', '17.87', '21.73']"
RESULTS:,14.70,12.53,11.00

OFFSETS ,"['45.15', '56.07', '61.74']"
GREENS ,"['5.41', '40.42', '2.72', '47.27']"
LAST_GREENS ,"['55.09', '23.86', '21.73']"
RESULTS:,13.49,11.11,11.00

OFFSETS ,"['45.15', '56.07', '60.75']"
GREENS ,"['53.96', '38.20', '3.78', '47.27']"
LAST_GREENS ,"['6.54', '25.02', '21.73']"
RESULTS:,14.23,11.45,12.00

OFFSETS ,"['45.15', '56.08', '64.79']"
GREENS ,"['5.40', '40.56', '3.83', '47.27']"
LAST_GREENS ,"['55.10', '22.61', '21.73']"
RESULTS:,13.39,11.03,10.00

OFFSETS ,"['45.15', '56.08', '65.11']"
GREENS ,"['5.40', '40.56', '3.85', '47.27']"
LAST_GREENS ,"['55.10', '22.59', '21.73']"
RESULTS:,13.39,11.03,10.00

OFFSETS ,"['45.15', '56.08', '65.14']"
GREENS ,"['5.40', '40.56', '3.84', '47.27']"
LAST_GREENS ,"['55.10', '22.60', '21.73']"
RESULTS:,13.39,11.03,10.00

OFFSETS ,"['11.98', '57.01', '65.53']"
GREENS ,"['5.41', '40.61', '8.44', '47.56']"
LAST_GREENS ,"['55.09', '17.95', '21.44']"
RESULTS:,13.68,11.69,11.67

OFFSETS ,"['45.15', '56.08', '65.18']"
GREENS ,"['5.40', '40.56', '3.83', '47.27']"
LAST_GREENS ,"['55.10', '22.61', '21.73']"
RESULTS:,13.39,11.03,10.00

OFFSETS ,"['45.59', '56.08', '65.18']"
GREENS ,"['5.61', '40.56', '3.84', '47.27']"
LAST_GREENS ,"['54.89', '22.61', '21.73']"
RESULTS:,15.32,12.51,12.00

