OFFSETS ,"['4.32', '27.54', '8.77']"
GREENS ,"['59.72', '34.03', '43.20', '13.81']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['15.23', '43.96', '32.75']"
GREENS ,"['48.91', '66.12', '5.68', '55.73']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['51.43', '55.96', '39.47']"
GREENS ,"['45.74', '59.60', '24.54', '62.66']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['9.93', '59.05', '57.88']"
GREENS ,"['34.80', '61.67', '45.09', '27.79']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['27.98', '55.20', '71.35']"
GREENS ,"['53.64', '0.87', '36.90', '46.76']"
LAST_GREENS ,"['6.86', '29.23', '22.24']"
RESULTS:,247.54,118.40,134.67

OFFSETS ,"['39.32', '39.49', '27.89']"
GREENS ,"['9.79', '39.23', '25.10', '18.24']"
LAST_GREENS ,"['50.71', '2.67', '50.76']"
RESULTS:,136.66,79.06,50.00

OFFSETS ,"['10.75', '24.82', '68.78']"
GREENS ,"['22.96', '53.16', '59.77', '8.03']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['43.85', '8.69', '3.93']"
GREENS ,"['18.50', '4.97', '34.83', '2.76']"
LAST_GREENS ,"['42.00', '27.20', '66.24']"
RESULTS:,504.62,143.90,120.67

OFFSETS ,"['45.63', '48.39', '29.70']"
GREENS ,"['58.96', '12.15', '27.58', '6.40']"
LAST_GREENS ,"['1.54', '27.27', '62.60']"
RESULTS:,393.08,121.76,104.00

OFFSETS ,"['16.95', '27.55', '26.89']"
GREENS ,"['35.95', '28.58', '1.98', '14.53']"
LAST_GREENS ,"['24.55', '36.44', '54.47']"
RESULTS:,160.33,70.89,52.33

OFFSETS ,"['45.63', '48.39', '31.17']"
GREENS ,"['56.75', '12.15', '27.58', '47.31']"
LAST_GREENS ,"['3.75', '27.27', '21.69']"
RESULTS:,198.04,96.28,106.33

OFFSETS ,"['2.79', '39.76', '49.52']"
GREENS ,"['37.94', '43.27', '66.04', '65.11']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['42.14', '62.49', '26.85']"
GREENS ,"['37.18', '28.58', '3.77', '14.38']"
LAST_GREENS ,"['23.32', '34.65', '54.62']"
RESULTS:,193.27,82.48,73.00

OFFSETS ,"['9.77', '54.94', '8.05']"
GREENS ,"['42.12', '39.36', '37.04', '39.23']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['52.23', '39.49', '25.88']"
GREENS ,"['3.77', '39.08', '25.10', '37.63']"
LAST_GREENS ,"['56.73', '2.82', '31.37']"
RESULTS:,83.12,64.77,51.50

OFFSETS ,"['17.43', '27.55', '26.89']"
GREENS ,"['37.95', '28.58', '25.08', '14.53']"
LAST_GREENS ,"['22.55', '13.34', '54.47']"
RESULTS:,175.02,79.80,54.33

OFFSETS ,"['17.76', '27.21', '27.83']"
GREENS ,"['7.44', '39.23', '25.10', '19.30']"
LAST_GREENS ,"['53.06', '2.67', '49.70']"
RESULTS:,134.73,79.95,51.00

OFFSETS ,"['28.02', '26.80', '49.26']"
GREENS ,"['52.97', '0.42', '24.98', '46.67']"
LAST_GREENS ,"['7.53', '41.60', '22.33']"
RESULTS:,286.34,144.79,158.67

OFFSETS ,"['16.66', '35.12', '52.30']"
GREENS ,"['6.46', '40.57', '8.52', '46.70']"
LAST_GREENS ,"['54.04', '17.91', '22.30']"
RESULTS:,22.83,17.78,22.67

OFFSETS ,"['52.68', '28.55', '17.95']"
GREENS ,"['1.27', '27.82', '37.12', '3.17']"
LAST_GREENS ,"['59.23', '2.06', '65.83']"
RESULTS:,261.17,118.90,58.33

OFFSETS ,"['17.31', '55.92', '27.73']"
GREENS ,"['36.51', '36.85', '24.97', '38.41']"
LAST_GREENS ,"['23.99', '5.18', '30.59']"
RESULTS:,112.68,72.93,48.50

OFFSETS ,"['45.91', '26.11', '0.65']"
GREENS ,"['7.61', '38.17', '2.23', '47.27']"
LAST_GREENS ,"['52.89', '26.60', '21.73']"
RESULTS:,51.99,28.66,24.00

OFFSETS ,"['17.87', '74.95', '1.11']"
GREENS ,"['58.89', '32.47', '1.62', '6.34']"
LAST_GREENS ,"['1.61', '32.91', '62.66']"
RESULTS:,163.07,68.92,46.67

OFFSETS ,"['52.18', '56.35', '25.88']"
GREENS ,"['3.77', '39.08', '25.45', '46.96']"
LAST_GREENS ,"['56.73', '2.46', '22.04']"
RESULTS:,51.95,52.68,51.00

OFFSETS ,"['9.82', '24.11', '49.26']"
GREENS ,"['53.22', '41.11', '24.98', '39.25']"
LAST_GREENS ,"['7.28', '0.91', '29.75']"
RESULTS:,72.04,63.32,51.00

OFFSETS ,"['46.85', '56.08', '65.20']"
GREENS ,"['55.59', '32.26', '3.85', '46.52']"
LAST_GREENS ,"['4.91', '30.90', '22.48']"
RESULTS:,42.55,28.28,30.00

OFFSETS ,"['45.15', '56.08', '65.12']"
GREENS ,"['5.40', '39.15', '1.99', '47.27']"
LAST_GREENS ,"['55.10', '25.86', '21.73']"
RESULTS:,15.83,12.63,13.00

OFFSETS ,"['45.15', '39.79', '65.25']"
GREENS ,"['5.42', '40.56', '2.06', '47.27']"
LAST_GREENS ,"['55.08', '24.38', '21.73']"
RESULTS:,33.47,23.87,20.00

OFFSETS ,"['45.15', '55.82', '29.70']"
GREENS ,"['6.80', '40.33', '3.84', '46.39']"
LAST_GREENS ,"['53.70', '22.83', '22.61']"
RESULTS:,50.90,28.20,22.33

OFFSETS ,"['9.93', '22.94', '50.17']"
GREENS ,"['53.22', '41.16', '2.60', '39.13']"
LAST_GREENS ,"['7.28', '23.25', '29.87']"
RESULTS:,56.75,33.51,28.00

OFFSETS ,"['45.16', '56.33', '1.15']"
GREENS ,"['59.74', '40.56', '2.06', '47.27']"
LAST_GREENS ,"['0.76', '24.38', '21.73']"
RESULTS:,26.58,19.82,20.00

OFFSETS ,"['45.15', '55.89', '60.75']"
GREENS ,"['53.96', '38.23', '8.47', '47.27']"
LAST_GREENS ,"['6.54', '20.30', '21.73']"
RESULTS:,13.70,11.45,11.33

OFFSETS ,"['45.15', '39.43', '61.34']"
GREENS ,"['5.48', '40.58', '2.07', '49.73']"
LAST_GREENS ,"['55.02', '24.35', '19.27']"
RESULTS:,24.12,18.43,17.00

OFFSETS ,"['45.20', '39.21', '65.14']"
GREENS ,"['3.89', '40.56', '3.85', '37.94']"
LAST_GREENS ,"['56.61', '22.59', '31.06']"
RESULTS:,49.10,30.23,25.67

OFFSETS ,"['45.15', '56.08', '64.79']"
GREENS ,"['5.40', '40.57', '2.53', '47.27']"
LAST_GREENS ,"['55.10', '23.90', '21.73']"
RESULTS:,14.38,11.68,12.33

OFFSETS ,"['44.89', '56.93', '65.53']"
GREENS ,"['5.62', '40.56', '8.53', '47.56']"
LAST_GREENS ,"['54.88', '17.91', '21.44']"
RESULTS:,15.31,12.88,10.67

OFFSETS ,"['17.86', '55.61', '52.38']"
GREENS ,"['4.82', '38.14', '8.52', '47.25']"
LAST_GREENS ,"['55.68', '20.34', '21.75']"
RESULTS:,41.70,28.23,39.33

OFFSETS ,"['45.15', '56.08', '61.74']"
GREENS ,"['5.41', '40.42', '2.72', '47.27']"
LAST_GREENS ,"['55.09', '23.86', '21.73']"
RESULTS:,13.49,11.11,11.00

OFFSETS ,"['17.86', '35.12', '52.30']"
GREENS ,"['4.82', '40.56', '8.52', '47.83']"
LAST_GREENS ,"['55.68', '17.92', '21.17']"
RESULTS:,18.60,14.79,17.33

OFFSETS ,"['12.24', '55.89', '60.69']"
GREENS ,"['5.41', '38.23', '2.08', '47.28']"
LAST_GREENS ,"['55.09', '26.70', '21.72']"
RESULTS:,14.36,11.39,13.33

OFFSETS ,"['45.15', '56.08', '64.79']"
GREENS ,"['5.40', '40.56', '3.83', '47.27']"
LAST_GREENS ,"['55.10', '22.61', '21.73']"
RESULTS:,13.39,11.03,10.00

OFFSETS ,"['46.91', '55.74', '65.20']"
GREENS ,"['55.59', '32.26', '2.02', '46.33']"
LAST_GREENS ,"['4.91', '32.72', '22.67']"
RESULTS:,55.00,34.54,46.67

OFFSETS ,"['45.15', '56.06', '65.45']"
GREENS ,"['5.62', '40.56', '2.52', '47.16']"
LAST_GREENS ,"['54.88', '23.93', '21.84']"
RESULTS:,14.54,11.80,11.33

OFFSETS ,"['11.97', '57.04', '65.25']"
GREENS ,"['6.05', '40.56', '2.06', '47.57']"
LAST_GREENS ,"['54.45', '24.38', '21.43']"
RESULTS:,13.09,10.82,10.00

OFFSETS ,"['11.98', '56.93', '61.84']"
GREENS ,"['5.40', '40.56', '2.15', '47.57']"
LAST_GREENS ,"['55.10', '24.29', '21.43']"
RESULTS:,15.30,12.23,14.33

OFFSETS ,"['45.15', '55.89', '60.75']"
GREENS ,"['53.96', '38.23', '8.42', '47.27']"
LAST_GREENS ,"['6.54', '20.36', '21.73']"
RESULTS:,13.70,11.45,11.33

OFFSETS ,"['45.15', '55.88', '60.76']"
GREENS ,"['5.41', '38.23', '8.55', '47.27']"
LAST_GREENS ,"['55.09', '20.22', '21.73']"
RESULTS:,13.70,11.45,11.33

OFFSETS ,"['45.13', '57.13', '64.92']"
GREENS ,"['60.02', '40.45', '0.45', '47.16']"
LAST_GREENS ,"['0.48', '26.10', '21.84']"
RESULTS:,15.61,12.40,14.67

OFFSETS ,"['45.15', '55.89', '60.71']"
GREENS ,"['5.40', '38.15', '8.47', '47.27']"
LAST_GREENS ,"['55.10', '20.37', '21.73']"
RESULTS:,13.70,11.45,11.33

OFFSETS ,"['11.98', '57.01', '65.53']"
GREENS ,"['5.41', '38.29', '2.40', '47.56']"
LAST_GREENS ,"['55.09', '26.31', '21.44']"
RESULTS:,14.21,11.44,12.00

OFFSETS ,"['45.15', '35.35', '52.35']"
GREENS ,"['5.40', '38.23', '8.47', '47.16']"
LAST_GREENS ,"['55.10', '20.30', '21.84']"
RESULTS:,13.49,11.47,11.67

OFFSETS ,"['45.15', '55.46', '65.22']"
GREENS ,"['5.41', '40.42', '2.72', '47.27']"
LAST_GREENS ,"['55.09', '23.86', '21.73']"
RESULTS:,14.01,11.45,12.33

OFFSETS ,"['45.13', '35.35', '52.28']"
GREENS ,"['5.41', '40.47', '8.47', '47.27']"
LAST_GREENS ,"['55.09', '18.06', '21.73']"
RESULTS:,13.85,12.22,10.00

OFFSETS ,"['45.15', '54.56', '61.74']"
GREENS ,"['57.62', '38.21', '2.72', '47.15']"
LAST_GREENS ,"['2.88', '26.07', '21.85']"
RESULTS:,15.61,12.28,12.67

OFFSETS ,"['45.52', '54.56', '61.90']"
GREENS ,"['57.59', '40.45', '2.15', '47.15']"
LAST_GREENS ,"['2.91', '24.41', '21.85']"
RESULTS:,15.31,12.29,13.33

OFFSETS ,"['45.15', '56.08', '53.10']"
GREENS ,"['5.41', '42.35', '3.20', '47.54']"
LAST_GREENS ,"['55.09', '21.45', '21.46']"
RESULTS:,10.44,9.09,9.67

OFFSETS ,"['45.15', '56.08', '65.24']"
GREENS ,"['5.40', '40.56', '3.85', '47.27']"
LAST_GREENS ,"['55.10', '22.59', '21.73']"
RESULTS:,13.39,11.03,10.00

OFFSETS ,"['45.15', '56.08', '65.14']"
GREENS ,"['5.40', '40.56', '3.85', '47.27']"
LAST_GREENS ,"['55.10', '22.59', '21.73']"
RESULTS:,13.39,11.03,10.00

OFFSETS ,"['45.15', '56.08', '64.79']"
GREENS ,"['5.40', '40.56', '3.83', '47.27']"
LAST_GREENS ,"['55.10', '22.61', '21.73']"
RESULTS:,13.39,11.03,10.00

OFFSETS ,"['46.24', '57.04', '65.25']"
GREENS ,"['5.41', '38.29', '2.10', '47.57']"
LAST_GREENS ,"['55.09', '26.61', '21.43']"
RESULTS:,14.65,11.69,11.33

OFFSETS ,"['45.16', '56.07', '52.28']"
GREENS ,"['5.63', '40.60', '8.47', '47.54']"
LAST_GREENS ,"['54.87', '17.92', '21.46']"
RESULTS:,14.95,12.37,13.33

OFFSETS ,"['45.15', '56.94', '61.71']"
GREENS ,"['5.41', '40.53', '3.92', '47.28']"
LAST_GREENS ,"['55.09', '22.55', '21.72']"
RESULTS:,13.07,10.75,11.00

OFFSETS ,"['9.96', '56.08', '65.52']"
GREENS ,"['5.40', '40.56', '3.81', '47.57']"
LAST_GREENS ,"['55.10', '22.63', '21.43']"
RESULTS:,12.26,10.25,10.67

OFFSETS ,"['45.55', '35.35', '52.28']"
GREENS ,"['5.63', '38.23', '3.92', '47.54']"
LAST_GREENS ,"['54.87', '24.85', '21.46']"
RESULTS:,14.17,11.63,14.00

OFFSETS ,"['45.15', '56.08', '61.66']"
GREENS ,"['5.40', '40.56', '8.40', '47.27']"
LAST_GREENS ,"['55.10', '18.04', '21.73']"
RESULTS:,13.53,11.69,10.33

OFFSETS ,"['11.20', '57.04', '65.25']"
