OFFSETS ,"['32.44', '28.98', '43.91']"
GREENS ,"['3.94', '30.01', '50.52', '32.17']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['43.85', '8.69', '40.93']"
GREENS ,"['18.50', '4.97', '35.81', '50.56']"
LAST_GREENS ,"['42.00', '26.22', '18.44']"
RESULTS:,157.35,95.58,122.00

OFFSETS ,"['2.79', '62.93', '49.52']"
GREENS ,"['36.85', '43.27', '66.04', '66.08']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['9.82', '22.59', '49.26']"
GREENS ,"['53.22', '38.24', '24.98', '39.13']"
LAST_GREENS ,"['7.28', '3.78', '29.87']"
RESULTS:,74.08,59.78,50.50

OFFSETS ,"['68.00', '40.45', '10.59']"
GREENS ,"['42.42', '6.24', '22.41', '3.57']"
LAST_GREENS ,"['18.08', '38.34', '65.43']"
RESULTS:,483.83,139.20,119.67

OFFSETS ,"['45.15', '56.58', '65.25']"
GREENS ,"['5.42', '40.56', '2.06', '47.27']"
LAST_GREENS ,"['55.08', '24.38', '21.73']"
RESULTS:,15.46,12.34,12.00

OFFSETS ,"['43.85', '8.69', '4.13']"
GREENS ,"['7.84', '23.05', '35.91', '22.17']"
LAST_GREENS ,"['52.66', '8.05', '46.83']"
RESULTS:,206.27,104.40,79.33

OFFSETS ,"['51.43', '22.63', '39.47']"
GREENS ,"['45.74', '59.60', '24.54', '62.66']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['45.26', '74.76', '4.25']"
GREENS ,"['8.01', '23.29', '23.38', '21.60']"
LAST_GREENS ,"['52.49', '20.32', '47.40']"
RESULTS:,173.38,81.85,78.00

OFFSETS ,"['0.07', '56.33', '39.88']"
GREENS ,"['14.87', '65.26', '35.84', '52.04']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['38.13', '63.80', '71.31']"
GREENS ,"['22.49', '27.65', '50.18', '11.94']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['45.15', '55.22', '65.25']"
GREENS ,"['7.75', '3.49', '2.71', '47.27']"
LAST_GREENS ,"['52.75', '60.80', '21.73']"
RESULTS:,425.45,132.50,123.00

OFFSETS ,"['18.29', '31.86', '71.61']"
GREENS ,"['12.86', '33.74', '49.79', '9.38']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['45.26', '74.76', '4.25']"
GREENS ,"['7.99', '23.29', '23.52', '19.74']"
LAST_GREENS ,"['52.51', '20.19', '49.26']"
RESULTS:,185.04,84.44,78.67

OFFSETS ,"['45.16', '56.33', '1.15']"
GREENS ,"['7.61', '40.56', '2.06', '47.27']"
LAST_GREENS ,"['52.89', '24.38', '21.73']"
RESULTS:,26.58,19.82,20.00

OFFSETS ,"['52.68', '28.55', '21.35']"
GREENS ,"['1.25', '27.23', '37.72', '3.17']"
LAST_GREENS ,"['59.25', '2.05', '65.83']"
RESULTS:,276.37,123.04,68.00

OFFSETS ,"['45.13', '48.39', '29.70']"
GREENS ,"['58.96', '40.35', '2.55', '6.40']"
LAST_GREENS ,"['1.54', '24.10', '62.60']"
RESULTS:,123.35,54.54,49.33

OFFSETS ,"['17.87', '74.66', '4.31']"
GREENS ,"['58.89', '32.47', '23.78', '6.34']"
LAST_GREENS ,"['1.61', '10.74', '62.66']"
RESULTS:,200.99,88.46,49.00

OFFSETS ,"['43.64', '27.55', '26.89']"
GREENS ,"['35.95', '28.58', '28.23', '47.37']"
LAST_GREENS ,"['24.55', '10.19', '21.63']"
RESULTS:,90.25,60.78,50.67

OFFSETS ,"['16.95', '39.89', '27.91']"
GREENS ,"['10.74', '28.58', '3.77', '18.21']"
LAST_GREENS ,"['49.76', '34.65', '50.79']"
RESULTS:,181.45,81.05,76.00

OFFSETS ,"['45.20', '39.21', '65.14']"
GREENS ,"['5.40', '40.56', '3.49', '37.94']"
LAST_GREENS ,"['55.10', '22.95', '31.06']"
RESULTS:,50.14,30.47,25.33

OFFSETS ,"['43.00', '22.13', '49.26']"
GREENS ,"['53.02', '38.24', '24.98', '38.83']"
LAST_GREENS ,"['7.48', '3.78', '30.17']"
RESULTS:,69.07,61.05,50.50

OFFSETS ,"['9.66', '55.92', '51.16']"
GREENS ,"['58.87', '38.24', '24.98', '6.02']"
LAST_GREENS ,"['1.63', '3.78', '62.98']"
RESULTS:,181.03,86.02,50.67

OFFSETS ,"['45.15', '55.89', '60.75']"
GREENS ,"['5.41', '38.23', '8.47', '47.27']"
LAST_GREENS ,"['55.09', '20.30', '21.73']"
RESULTS:,13.70,11.45,11.33

OFFSETS ,"['9.06', '57.02', '50.55']"
GREENS ,"['52.97', '40.57', '24.82', '39.13']"
LAST_GREENS ,"['7.53', '1.61', '29.87']"
RESULTS:,68.81,61.45,50.50

OFFSETS ,"['46.37', '48.65', '65.14']"
GREENS ,"['55.30', '32.26', '2.56', '7.28']"
LAST_GREENS ,"['5.20', '32.19', '61.72']"
RESULTS:,153.56,64.82,46.67

OFFSETS ,"['17.16', '55.92', '26.90']"
GREENS ,"['53.29', '35.29', '24.35', '38.42']"
LAST_GREENS ,"['7.21', '7.36', '30.58']"
RESULTS:,107.45,69.62,48.00

OFFSETS ,"['45.16', '55.07', '4.36']"
GREENS ,"['7.61', '40.56', '24.25', '47.27']"
LAST_GREENS ,"['52.89', '2.19', '21.73']"
RESULTS:,48.19,51.10,51.50

OFFSETS ,"['46.35', '56.08', '65.31']"
GREENS ,"['55.59', '32.08', '3.85', '46.52']"
LAST_GREENS ,"['4.91', '31.08', '22.48']"
RESULTS:,53.04,34.04,43.67

OFFSETS ,"['45.15', '56.08', '64.79']"
GREENS ,"['5.40', '40.56', '3.83', '47.27']"
LAST_GREENS ,"['55.10', '22.61', '21.73']"
RESULTS:,13.39,11.03,10.00

OFFSETS ,"['11.88', '56.35', '65.82']"
GREENS ,"['3.77', '40.62', '25.45', '47.57']"
LAST_GREENS ,"['56.73', '0.93', '21.43']"
RESULTS:,47.96,50.86,51.50

OFFSETS ,"['45.15', '55.89', '60.69']"
GREENS ,"['5.41', '38.23', '8.47', '47.27']"
LAST_GREENS ,"['55.09', '20.30', '21.73']"
RESULTS:,13.70,11.45,11.33

OFFSETS ,"['45.15', '56.22', '28.34']"
GREENS ,"['5.48', '40.58', '2.06', '49.73']"
LAST_GREENS ,"['55.02', '24.36', '19.27']"
RESULTS:,52.01,28.83,23.00

OFFSETS ,"['45.15', '54.56', '61.74']"
GREENS ,"['5.49', '39.08', '25.54', '47.15']"
LAST_GREENS ,"['55.01', '2.37', '21.85']"
RESULTS:,48.34,50.62,50.50

OFFSETS ,"['45.15', '56.08', '65.19']"
GREENS ,"['5.40', '40.56', '3.85', '47.27']"
LAST_GREENS ,"['55.10', '22.59', '21.73']"
RESULTS:,13.39,11.03,10.00

OFFSETS ,"['45.13', '54.56', '61.74']"
GREENS ,"['57.62', '40.45', '2.72', '47.15']"
LAST_GREENS ,"['2.88', '23.83', '21.85']"
RESULTS:,13.34,11.03,10.00

OFFSETS ,"['43.54', '56.08', '64.80']"
GREENS ,"['5.40', '40.56', '3.83', '47.27']"
LAST_GREENS ,"['55.10', '22.61', '21.73']"
RESULTS:,14.62,12.00,11.00

OFFSETS ,"['45.15', '55.88', '60.69']"
GREENS ,"['5.41', '41.26', '8.47', '47.27']"
LAST_GREENS ,"['55.09', '17.27', '21.73']"
RESULTS:,15.58,13.57,10.67

OFFSETS ,"['45.15', '56.08', '65.14']"
GREENS ,"['5.40', '40.56', '3.85', '47.27']"
LAST_GREENS ,"['55.10', '22.59', '21.73']"
RESULTS:,13.39,11.03,10.00

OFFSETS ,"['45.10', '39.77', '61.34']"
GREENS ,"['5.48', '40.58', '3.90', '49.91']"
LAST_GREENS ,"['55.02', '22.52', '19.09']"
RESULTS:,15.04,12.49,12.67

OFFSETS ,"['45.16', '56.33', '1.15']"
GREENS ,"['7.61', '40.56', '2.06', '47.27']"
LAST_GREENS ,"['52.89', '24.38', '21.73']"
RESULTS:,26.58,19.82,20.00

OFFSETS ,"['17.86', '55.54', '60.86']"
GREENS ,"['4.82', '40.57', '8.52', '47.83']"
LAST_GREENS ,"['55.68', '17.91', '21.17']"
RESULTS:,35.61,25.09,35.33

OFFSETS ,"['45.15', '35.28', '60.75']"
GREENS ,"['53.96', '40.66', '8.47', '47.86']"
LAST_GREENS ,"['6.54', '17.87', '21.14']"
RESULTS:,21.67,16.90,15.67

OFFSETS ,"['45.13', '54.56', '61.74']"
GREENS ,"['57.62', '41.18', '2.72', '47.15']"
LAST_GREENS ,"['2.88', '23.10', '21.85']"
RESULTS:,15.60,12.69,12.67

OFFSETS ,"['45.15', '56.08', '61.74']"
GREENS ,"['5.41', '41.15', '2.78', '47.27']"
LAST_GREENS ,"['55.09', '23.08', '21.73']"
RESULTS:,13.94,11.49,10.33

OFFSETS ,"['45.15', '56.08', '61.66']"
GREENS ,"['5.40', '40.56', '2.81', '47.27']"
LAST_GREENS ,"['55.10', '23.64', '21.73']"
RESULTS:,13.49,11.11,11.00

OFFSETS ,"['45.47', '57.03', '65.57']"
GREENS ,"['57.64', '40.45', '2.72', '47.15']"
LAST_GREENS ,"['2.86', '23.83', '21.85']"
RESULTS:,14.84,12.11,12.00

OFFSETS ,"['13.58', '57.04', '65.24']"
GREENS ,"['5.62', '40.55', '0.50', '47.57']"
LAST_GREENS ,"['54.88', '25.94', '21.43']"
RESULTS:,14.25,11.49,11.33

OFFSETS ,"['45.13', '54.56', '65.22']"
GREENS ,"['57.62', '40.45', '3.76', '47.15']"
LAST_GREENS ,"['2.88', '22.79', '21.85']"
RESULTS:,14.37,11.80,10.67

OFFSETS ,"['11.98', '57.01', '65.53']"
GREENS ,"['5.41', '40.60', '8.44', '47.56']"
LAST_GREENS ,"['55.09', '17.96', '21.44']"
RESULTS:,13.68,11.69,11.67

OFFSETS ,"['45.15', '56.06', '61.68']"
GREENS ,"['5.41', '40.56', '2.53', '47.27']"
LAST_GREENS ,"['55.09', '23.92', '21.73']"
RESULTS:,13.49,11.11,11.00

OFFSETS ,"['45.15', '56.08', '61.71']"
GREENS ,"['5.40', '40.56', '3.85', '47.27']"
LAST_GREENS ,"['55.10', '22.59', '21.73']"
RESULTS:,13.31,11.04,9.67

OFFSETS ,"['45.13', '56.12', '64.79']"
GREENS ,"['4.94', '40.56', '3.84', '47.15']"
LAST_GREENS ,"['55.56', '22.60', '21.85']"
RESULTS:,13.79,11.38,10.00

OFFSETS ,"['45.55', '35.35', '52.28']"
GREENS ,"['5.63', '38.23', '8.47', '47.54']"
LAST_GREENS ,"['54.87', '20.30', '21.46']"
RESULTS:,12.78,10.93,11.67

OFFSETS ,"['45.15', '56.08', '64.81']"
GREENS ,"['5.40', '40.56', '3.85', '47.27']"
LAST_GREENS ,"['55.10', '22.59', '21.73']"
RESULTS:,13.39,11.03,10.00

OFFSETS ,"['11.57', '57.04', '65.25']"
GREENS ,"['5.41', '40.56', '2.07', '47.57']"
LAST_GREENS ,"['55.09', '24.37', '21.43']"
RESULTS:,13.09,10.82,10.00

OFFSETS ,"['9.96', '56.95', '65.52']"
GREENS ,"['5.40', '40.56', '2.14', '47.57']"
LAST_GREENS ,"['55.10', '24.30', '21.43']"
RESULTS:,13.03,10.77,10.67

OFFSETS ,"['45.18', '56.08', '65.14']"
GREENS ,"['5.40', '40.56', '8.07', '47.57']"
LAST_GREENS ,"['55.10', '18.37', '21.43']"
RESULTS:,14.88,12.72,10.33

OFFSETS ,"['45.15', '56.08', '65.18']"
GREENS ,"['5.41', '42.28', '3.85', '47.27']"
LAST_GREENS ,"['55.09', '20.87', '21.73']"
RESULTS:,12.82,10.99,10.67

OFFSETS ,"['45.15', '57.00', '64.79']"
