OFFSETS ,"['38.13', '63.80', '71.31']"
GREENS ,"['11.71', '27.99', '50.12', '11.95']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['47.38', '29.27', '50.17']"
GREENS ,"['56.24', '66.16', '1.29', '39.18']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['65.92', '4.60', '25.79']"
GREENS ,"['25.01', '36.60', '30.69', '41.25']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['27.41', '64.01', '35.33']"
GREENS ,"['25.92', '54.31', '57.46', '51.42']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['47.25', '53.92', '61.82']"
GREENS ,"['6.95', '62.51', '48.13', '17.09']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['33.14', '22.38', '14.19']"
GREENS ,"['23.03', '42.27', '43.73', '5.51']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['45.26', '74.76', '4.25']"
GREENS ,"['7.99', '23.29', '23.80', '21.34']"
LAST_GREENS ,"['52.51', '19.91', '47.66']"
RESULTS:,173.38,81.85,78.00

OFFSETS ,"['0.07', '56.33', '12.17']"
GREENS ,"['14.87', '65.26', '34.86', '4.13']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['16.95', '27.04', '26.79']"
GREENS ,"['35.93', '28.58', '3.77', '14.53']"
LAST_GREENS ,"['24.57', '34.65', '54.47']"
RESULTS:,157.07,69.96,51.00

OFFSETS ,"['16.43', '41.20', '38.40']"
GREENS ,"['48.20', '35.49', '32.93', '49.37']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['72.38', '67.47', '39.62']"
GREENS ,"['3.21', '34.54', '54.67', '40.26']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['65.17', '20.02', '35.21']"
GREENS ,"['55.37', '41.61', '39.76', '40.71']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['16.65', '4.51', '28.31']"
