1, 353.38
2, 1001.45
3, 1823.15
4, 2469.78
5, 2970.93
6, 3322.39
7, 3585.31
8, 3832.46
9, 4126.20
10, 4428.97
11, 4738.22
12, 5026.92
13, 5299.43
14, 5440.75
15, 5549.01
16, 5769.64
17, 5946.09
18, 6160.26
19, 6238.68
20, 6345.76
21, 6399.34
22, 6457.59
23, 6457.61
24, 6511.42
25, 6535.70
26, 6603.43
27, 6646.89
28, 6674.20
29, 6772.30
30, 6913.58
31, 7010.80
32, 7140.90
33, 7194.28
34, 7238.99
35, 7315.94
36, 7372.13
37, 7450.01
38, 7548.02
39, 7635.56
40, 7689.61
41, 7757.98
42, 7815.39
43, 7912.30
44, 7937.09
45, 7963.41
46, 8040.49
47, 8076.28
48, 8162.05
49, 8217.57
50, 8261.39
