"[np.float64(0.417022004702574), np.float64(0.00011437481734488664), np.float64(0.14675589081711304), np.float64(0.1862602113776709)]","[np.float64(43.219469606529486), np.float64(18.139954357910387), np.float64(5.540315686127868), np.float64(20.733643622582864)]",18.617957746478872,20.341677456481083
"[np.float64(0.39676747423066994), np.float64(0.4191945144032948), np.float64(0.20445224973151743), np.float64(0.027387593197926163)]","[np.float64(32.32900404020142), np.float64(41.11317002380557), np.float64(52.68704618345672), np.float64(40.22805061070413)]",23.680824484697066,62.28359967749271
"[np.float64(0.41730480236712697), np.float64(0.14038693859523377), np.float64(0.8007445686755367), np.float64(0.31342417815924284)]","[np.float64(33.5213897067451), np.float64(11.886089345092728), np.float64(58.09569454316385), np.float64(41.53935694015885)]",12.01678908709339,10.767434731517907
"[np.float64(0.8763891522960383), np.float64(0.08504421136977791), np.float64(0.1698304195645689), np.float64(0.0983468338330501)]","[np.float64(53.67639981023084), np.float64(2.3432869939729417), np.float64(52.68855020576479), np.float64(25.26645750030313)]",20.880845611787315,24.397468296792113
"[np.float64(0.41730480236712697), np.float64(0.14038693859523377), np.float64(0.8007445686755367), np.float64(0.19095028815888457)]","[np.float64(33.5213897067451), np.float64(12.294172368719373), np.float64(5.326998516729649), np.float64(41.53935694015885)]",12.50682056663169,11.665646594274433
"[np.float64(0.41702025512759533), np.float64(0.00933081476812829), np.float64(0.14675589081711304), np.float64(0.18700414203742066)]","[np.float64(33.364330416929704), np.float64(18.10331069380962), np.float64(58.38776212442852), np.float64(45.482735328731636)]",19.867099822799762,25.364167081504277
"[np.float64(0.417022004702574), np.float64(0.00011437481734488664), np.float64(0.14675589081711304), np.float64(0.3087341013785988)]","[np.float64(43.219469606529486), np.float64(17.731871334284808), np.float64(58.03010274213176), np.float64(20.733643622582864)]",17.225429553264604,20.230762539866628
"[np.float64(0.41730655194210564), np.float64(0.1337667056066691), np.float64(0.8007445686755367), np.float64(0.31268024750010087)]","[np.float64(43.37652889633004), np.float64(11.922733009194705), np.float64(4.806837889030252), np.float64(35.355628550341365)]",12.731784582893347,12.366627554512565
"[np.float64(0.4502853574317469), np.float64(0.14038693859523377), np.float64(0.8007445686755367), np.float64(0.3134269625709977)]","[np.float64(43.59101069744526), np.float64(11.886089345092728), np.float64(58.09569454316385), np.float64(35.59666044691745)]",12.802534318901795,11.59183572488867
"[np.float64(0.41730480236712697), np.float64(0.14038693859523377), np.float64(0.8007445686755367), np.float64(0.19095028815888457)]","[np.float64(33.5213897067451), np.float64(11.911428574840658), np.float64(55.59227622686687), np.float64(36.044971669709476)]",11.796413502109704,10.371514998739602
"[np.float64(0.38670162209111947), np.float64(0.1337667056066691), np.float64(0.8007445686755367), np.float64(0.31267746308834604)]","[np.float64(33.30690790560339), np.float64(11.922733009194705), np.float64(4.806837889030252), np.float64(41.29832504358276)]",11.264428121720881,11.168968275126632
"[np.float64(0.41730480236712697), np.float64(0.14038693859523377), np.float64(0.8007445686755367), np.float64(0.31342417815924284)]","[np.float64(33.5213897067451), np.float64(12.268833138971443), np.float64(7.601944343913196), np.float64(41.53935694015885)]",10.943336831059812,10.651129476584021
"[np.float64(0.33076867016282196), np.float64(0.14038693859523377), np.float64(0.8007445686755367), np.float64(0.20350811760943274)]","[np.float64(33.5213897067451), np.float64(11.905889995831545), np.float64(7.601944343913196), np.float64(36.05941993720168)]",11.184599156118143,10.950963034497558
"[np.float64(0.41730480236712697), np.float64(0.14038693859523377), np.float64(0.8007445686755367), np.float64(0.19116978189736342)]","[np.float64(33.5213897067451), np.float64(12.299829634408049), np.float64(54.94555086264887), np.float64(41.28462761113428)]",11.288562434417628,10.211156831084953
"[np.float64(0.41730480236712697), np.float64(0.1807244736868362), np.float64(0.8007445686755367), np.float64(0.30086634870891693)]","[np.float64(26.488539490016173), np.float64(16.71499475476764), np.float64(55.59227622686687), np.float64(41.52490867266664)]",13.566623544631307,9.131584571001175
"[np.float64(0.41730480236712697), np.float64(0.14038693859523377), np.float64(0.8007445686755367), np.float64(0.3132046844210426)]","[np.float64(21.546851025559228), np.float64(11.880432079404052), np.float64(8.207619434989297), np.float64(36.29970099873404)]",10.861027190332326,10.834222339582784
