1, 754.27
2, 1818.05
3, 3043.27
4, 4100.42
5, 5005.77
6, 5893.71
7, 6611.01
8, 7141.54
9, 7819.82
10, 8353.88
11, 9052.81
12, 9534.74
13, 9766.87
14, 10010.94
15, 10281.13
16, 10523.28
17, 10840.40
18, 11012.53
19, 11258.36
20, 11560.31
21, 11786.49
22, 12075.71
23, 12316.89
24, 12629.91
25, 12886.68
26, 13064.68
27, 13281.53
28, 13417.55
29, 13741.41
30, 13890.50
31, 13952.45
32, 14088.51
33, 14230.61
34, 14314.65
35, 14376.73
36, 14457.41
37, 14603.78
38, 14692.90
39, 14917.81
40, 15070.10
41, 15352.67
42, 15449.26
43, 15580.90
44, 15644.24
45, 15696.97
46, 15778.98
47, 15916.40
48, 15982.73
49, 16038.89
50, 16101.15
1, 761.83
2, 1826.23
3, 3048.51
4, 4105.47
5, 5006.49
6, 5894.94
7, 6615.53
8, 7152.32
9, 7837.11
10, 8377.21
11, 9088.63
12, 9575.72
13, 9812.36
14, 10060.83
15, 10334.55
16, 10581.66
17, 10905.56
18, 11080.04
19, 11330.72
20, 11639.37
21, 11874.17
22, 12172.44
23, 12425.86
24, 12754.38
25, 13014.48
26, 13195.96
27, 13418.11
28, 13557.31
29, 13885.88
30, 14037.19
31, 14100.02
32, 14239.85
33, 14384.57
34, 14469.45
35, 14532.81
36, 14615.40
37, 14762.85
38, 14853.50
39, 15085.32
40, 15243.25
41, 15477.40
42, 15543.47
43, 15677.55
44, 15742.25
45, 15793.61
46, 15877.96
47, 16019.59
48, 16087.81
49, 16145.46
50, 16209.28
1, 742.00
2, 1805.88
3, 3026.44
4, 4081.22
5, 4986.39
6, 5871.56
7, 6592.31
8, 7125.87
9, 7808.93
10, 8347.73
11, 9054.04
12, 9538.78
13, 9774.08
14, 10021.67
15, 10294.26
16, 10539.31
17, 10861.04
18, 11034.73
19, 11283.77
20, 11591.84
21, 11820.65
22, 12112.67
23, 12356.40
24, 12673.95
25, 12932.06
26, 13111.59
27, 13331.34
28, 13470.04
29, 13797.32
30, 13947.87
31, 14010.80
32, 14149.15
33, 14293.45
34, 14378.25
35, 14441.52
36, 14523.82
37, 14670.88
38, 14761.38
39, 14989.67
40, 15145.49
41, 15375.28
42, 15440.46
43, 15573.51
44, 15637.73
45, 15689.91
46, 15773.15
47, 15912.37
48, 15980.10
49, 16037.62
50, 16101.82
