OFFSETS ,"['64.39', '10.73', '59.84']"
GREENS ,"['29.48', '34.22', '64.27', '32.10']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['64.97', '22.46', '53.32']"
GREENS ,"['57.73', '54.85', '35.08', '63.26']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['63.06', '69.01', '31.98']"
GREENS ,"['3.08', '9.98', '45.89', '50.89']"
LAST_GREENS ,"['57.42', '11.13', '18.11']"
RESULTS:,160.76,96.60,113.00

OFFSETS ,"['39.89', '34.23', '11.64']"
GREENS ,"['38.54', '55.94', '27.34', '18.91']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['71.03', '46.12', '31.26']"
GREENS ,"['29.22', '53.93', '41.94', '41.52']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['25.24', '43.17', '49.41']"
GREENS ,"['48.10', '19.24', '64.95', '34.47']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['61.50', '36.22', '43.53']"
GREENS ,"['49.66', '24.14', '20.04', '43.36']"
LAST_GREENS ,"['10.84', '22.82', '25.64']"
RESULTS:,92.98,55.91,75.67

OFFSETS ,"['64.36', '61.25', '35.24']"
GREENS ,"['24.85', '27.90', '47.66', '55.79']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['36.08', '72.01', '52.66']"
GREENS ,"['27.18', '63.52', '5.63', '26.04']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['37.61', '57.42', '57.53']"
GREENS ,"['28.96', '7.27', '0.96', '17.60']"
LAST_GREENS ,"['31.54', '58.77', '51.40']"
RESULTS:,410.65,130.91,116.33

OFFSETS ,"['66.13', '3.21', '53.71']"
GREENS ,"['21.76', '63.87', '5.91', '23.72']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['63.32', '31.41', '61.52']"
GREENS ,"['27.20', '20.75', '48.01', '5.07']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['43.69', '1.47', '16.45']"
GREENS ,"['44.05', '17.62', '32.01', '52.80']"
LAST_GREENS ,"['16.45', '17.38', '16.20']"
RESULTS:,119.70,67.93,91.67

OFFSETS ,"['72.64', '34.23', '11.92']"
GREENS ,"['38.54', '55.94', '25.78', '18.91']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['37.61', '17.44', '36.78']"
GREENS ,"['28.96', '36.74', '0.96', '51.81']"
LAST_GREENS ,"['31.54', '29.30', '17.19']"
RESULTS:,30.00,21.81,17.00

OFFSETS ,"['64.36', '61.26', '35.24']"
GREENS ,"['24.85', '27.90', '62.80', '55.23']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['45.21', '19.19', '4.22']"
GREENS ,"['46.17', '6.68', '64.28', '2.43']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['43.69', '16.17', '16.12']"
GREENS ,"['44.05', '17.52', '2.21', '55.58']"
LAST_GREENS ,"['16.45', '47.26', '13.42']"
RESULTS:,172.46,78.38,90.33

OFFSETS ,"['43.25', '2.51', '6.24']"
GREENS ,"['59.72', '29.88', '18.37', '39.22']"
LAST_GREENS ,"['0.78', '18.75', '29.78']"
RESULTS:,77.91,49.10,63.33

OFFSETS ,"['74.02', '48.36', '16.51']"
GREENS ,"['46.62', '50.23', '3.17', '31.34']"
LAST_GREENS ,"['13.88', '13.60', '37.66']"
RESULTS:,64.27,38.15,32.33

OFFSETS ,"['37.15', '1.28', '49.34']"
GREENS ,"['15.65', '51.30', '30.59', '31.07']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['52.94', '46.79', '69.46']"
GREENS ,"['20.58', '47.52', '19.26', '0.05']"
LAST_GREENS ,"['39.92', '0.21', '68.95']"
RESULTS:,205.11,118.17,60.33

OFFSETS ,"['20.61', '47.31', '16.51']"
GREENS ,"['45.87', '50.27', '3.17', '31.34']"
LAST_GREENS ,"['14.63', '13.56', '37.66']"
RESULTS:,65.90,40.22,28.00

OFFSETS ,"['37.61', '17.44', '69.76']"
GREENS ,"['29.13', '36.59', '0.96', '51.81']"
LAST_GREENS ,"['31.37', '29.45', '17.19']"
RESULTS:,51.57,28.62,22.67

OFFSETS ,"['43.69', '1.47', '17.69']"
GREENS ,"['44.05', '27.35', '31.96', '0.04']"
LAST_GREENS ,"['16.45', '7.69', '68.96']"
RESULTS:,300.75,133.79,72.00

OFFSETS ,"['74.02', '39.43', '15.91']"
GREENS ,"['46.62', '24.16', '3.17', '58.22']"
LAST_GREENS ,"['13.88', '39.67', '10.78']"
RESULTS:,145.08,73.99,74.67

OFFSETS ,"['18.17', '6.38', '67.73']"
GREENS ,"['47.17', '52.76', '0.96', '58.75']"
LAST_GREENS ,"['13.33', '13.29', '10.25']"
RESULTS:,29.67,26.36,29.50

OFFSETS ,"['41.21', '16.42', '16.52']"
GREENS ,"['15.65', '51.21', '0.46', '31.69']"
LAST_GREENS ,"['44.85', '15.32', '37.31']"
RESULTS:,51.68,32.57,27.00

OFFSETS ,"['41.21', '16.42', '16.52']"
GREENS ,"['16.34', '50.15', '3.13', '31.70']"
LAST_GREENS ,"['44.16', '13.72', '37.30']"
RESULTS:,59.33,39.96,29.50

OFFSETS ,"['37.78', '17.43', '36.55']"
GREENS ,"['15.23', '51.41', '0.96', '51.75']"
LAST_GREENS ,"['45.27', '14.63', '17.25']"
RESULTS:,19.55,17.90,19.50

OFFSETS ,"['21.62', '6.38', '70.12']"
