OFFSETS ,"['31.28', '54.02', '0.01']"
GREENS ,"['18.29', '9.83', '6.19', '12.85']"
LAST_GREENS ,"['42.21', '50.98', '56.15']"
RESULTS:,361.35,121.57,112.00

OFFSETS ,"['25.92', '29.76', '40.41']"
GREENS ,"['25.36', '45.91', '13.70', '60.59']"
LAST_GREENS ,"['35.14', '7.39', '8.41']"
RESULTS:,50.20,43.82,50.00

OFFSETS ,"['18.92', '55.79', '14.66']"
GREENS ,"['35.17', '64.99', '56.74', '16.55']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['37.03', '46.50', '62.17']"
GREENS ,"['9.49', '1.24', '4.69', '33.56']"
LAST_GREENS ,"['51.01', '61.06', '35.44']"
RESULTS:,473.96,147.24,130.00

OFFSETS ,"['9.75', '3.01', '0.82']"
GREENS ,"['12.69', '17.79', '5.10', '3.68']"
LAST_GREENS ,"['47.81', '44.11', '65.32']"
RESULTS:,323.65,111.39,90.33

OFFSETS ,"['2.97', '50.29', '31.30']"
GREENS ,"['33.39', '9.41', '13.27', '54.98']"
LAST_GREENS ,"['27.11', '44.32', '14.02']"
RESULTS:,240.31,107.33,109.33

OFFSETS ,"['56.46', '23.57', '50.93']"
GREENS ,"['52.99', '14.89', '42.85', '36.60']"
LAST_GREENS ,"['7.51', '9.26', '32.40']"
RESULTS:,192.93,106.61,97.67

OFFSETS ,"['37.03', '46.50', '62.13']"
GREENS ,"['27.34', '1.24', '65.39', '33.56']"
LAST_GREENS ,"['33.16', '0.37', '35.44']"
RESULTS:,306.05,157.88,131.33

OFFSETS ,"['34.22', '2.78', '62.29']"
GREENS ,"['9.49', '1.24', '5.70', '51.73']"
LAST_GREENS ,"['51.01', '60.05', '17.27']"
RESULTS:,482.72,149.34,130.00

OFFSETS ,"['45.47', '42.66', '23.80']"
GREENS ,"['59.81', '38.84', '42.77', '38.02']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['25.92', '1.20', '40.12']"
GREENS ,"['25.36', '45.91', '32.96', '60.59']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['74.36', '29.81', '41.08']"
GREENS ,"['53.03', '60.18', '5.69', '5.23']"
LAST_GREENS ,"['7.47', '1.13', '63.77']"
RESULTS:,180.10,88.35,51.00

OFFSETS ,"['9.75', '3.01', '0.12']"
GREENS ,"['12.69', '45.79', '13.49', '3.68']"
LAST_GREENS ,"['47.81', '7.73', '65.32']"
RESULTS:,168.00,80.80,50.00

OFFSETS ,"['9.75', '2.00', '50.75']"
GREENS ,"['12.80', '17.75', '32.94', '1.17']"
LAST_GREENS ,"['47.70', '16.32', '67.83']"
RESULTS:,342.57,116.03,91.67

OFFSETS ,"['70.72', '33.74', '43.42']"
GREENS ,"['9.60', '9.79', '3.44', '39.58']"
LAST_GREENS ,"['50.90', '53.77', '29.42']"
RESULTS:,284.88,105.98,109.67

OFFSETS ,"['56.46', '23.57', '0.80']"
GREENS ,"['52.99', '9.95', '42.85', '36.60']"
LAST_GREENS ,"['7.51', '14.20', '32.40']"
RESULTS:,192.52,101.78,113.67

OFFSETS ,"['26.25', '24.29', '51.92']"
GREENS ,"['54.21', '45.51', '13.71', '58.16']"
LAST_GREENS ,"['6.29', '7.78', '10.84']"
RESULTS:,37.43,34.73,48.00

OFFSETS ,"['44.49', '52.53', '23.80']"
GREENS ,"['59.97', '15.51', '25.47', '39.59']"
LAST_GREENS ,"['0.53', '26.02', '29.41']"
RESULTS:,180.60,89.05,98.00

OFFSETS ,"['56.46', '23.57', '50.93']"
GREENS ,"['3.80', '14.89', '25.41', '36.60']"
LAST_GREENS ,"['56.70', '26.70', '32.40']"
RESULTS:,159.08,83.41,96.33

OFFSETS ,"['72.62', '4.93', '20.52']"
GREENS ,"['59.82', '56.53', '5.69', '2.34']"
LAST_GREENS ,"['0.68', '4.78', '66.66']"
RESULTS:,175.59,88.46,51.67

OFFSETS ,"['67.76', '11.90', '10.39']"
GREENS ,"['0.28', '24.76', '20.39', '19.22']"
LAST_GREENS ,"['60.22', '21.85', '49.78']"
RESULTS:,187.60,84.18,81.00

OFFSETS ,"['72.16', '42.93', '23.38']"
GREENS ,"['48.84', '27.06', '13.69', '60.61']"
LAST_GREENS ,"['11.66', '26.25', '8.39']"
RESULTS:,97.62,58.33,70.00

OFFSETS ,"['26.16', '1.27', '41.02']"
GREENS ,"['41.15', '45.49', '10.81', '63.71']"
LAST_GREENS ,"['19.35', '10.70', '5.29']"
RESULTS:,66.27,55.31,48.50

OFFSETS ,"['74.96', '29.81', '41.08']"
GREENS ,"['53.41', '45.28', '13.64', '4.79']"
LAST_GREENS ,"['7.09', '8.08', '64.21']"
RESULTS:,194.80,89.35,52.33

OFFSETS ,"['23.19', '22.93', '51.78']"
GREENS ,"['60.01', '38.84', '25.27', '38.28']"
LAST_GREENS ,"['0.49', '2.90', '30.72']"
RESULTS:,72.29,62.65,50.50

OFFSETS ,"['44.51', '52.53', '22.97']"
GREENS ,"['53.75', '45.88', '13.90', '39.36']"
LAST_GREENS ,"['6.75', '7.22', '29.64']"
RESULTS:,82.83,55.19,49.00

OFFSETS ,"['23.04', '29.81', '22.96']"
GREENS ,"['53.41', '45.76', '13.90', '60.59']"
LAST_GREENS ,"['7.09', '7.34', '8.41']"
RESULTS:,50.96,43.45,48.50

OFFSETS ,"['21.44', '33.74', '43.42']"
GREENS ,"['10.22', '38.71', '3.44', '57.73']"
LAST_GREENS ,"['50.28', '24.85', '11.27']"
RESULTS:,19.16,14.86,23.67

OFFSETS ,"['26.21', '24.29', '52.23']"
GREENS ,"['54.21', '45.51', '13.71', '58.16']"
LAST_GREENS ,"['6.29', '7.78', '10.84']"
RESULTS:,37.49,35.01,48.50

OFFSETS ,"['72.16', '42.93', '23.07']"
GREENS ,"['48.84', '27.06', '13.69', '60.61']"
LAST_GREENS ,"['11.66', '26.25', '8.39']"
RESULTS:,97.62,58.33,70.00

OFFSETS ,"['44.72', '52.53', '24.30']"
GREENS ,"['59.97', '38.18', '13.71', '39.33']"
LAST_GREENS ,"['0.53', '15.11', '29.67']"
RESULTS:,76.79,44.06,31.00

OFFSETS ,"['25.92', '29.76', '43.43']"
GREENS ,"['52.58', '45.49', '3.09', '60.60']"
LAST_GREENS ,"['7.92', '18.42', '8.40']"
RESULTS:,31.59,24.86,28.67

OFFSETS ,"['25.86', '43.24', '42.30']"
GREENS ,"['53.36', '45.27', '13.71', '58.16']"
LAST_GREENS ,"['7.14', '8.03', '10.84']"
RESULTS:,37.12,34.00,49.00

OFFSETS ,"['25.86', '52.84', '23.69']"
GREENS ,"['59.97', '38.10', '25.44', '60.60']"
LAST_GREENS ,"['0.53', '3.46', '8.40']"
RESULTS:,86.16,70.75,64.00

OFFSETS ,"['26.61', '24.29', '24.66']"
GREENS ,"['54.11', '45.51', '13.70', '57.82']"
LAST_GREENS ,"['6.39', '7.78', '11.18']"
RESULTS:,38.61,36.27,50.00

OFFSETS ,"['23.17', '23.51', '51.92']"
GREENS ,"['53.03', '45.75', '13.71', '58.16']"
LAST_GREENS ,"['7.47', '7.55', '10.84']"
RESULTS:,37.81,35.58,48.50

OFFSETS ,"['45.47', '9.92', '10.87']"
GREENS ,"['59.40', '38.84', '13.24', '38.29']"
LAST_GREENS ,"['1.10', '14.92', '30.71']"
RESULTS:,63.68,41.98,38.33

OFFSETS ,"['21.34', '33.74', '43.42']"
GREENS ,"['40.98', '38.83', '3.44', '60.59']"
LAST_GREENS ,"['19.52', '24.72', '8.41']"
RESULTS:,42.00,29.52,47.00

OFFSETS ,"['25.92', '29.76', '43.47']"
GREENS ,"['9.50', '38.82', '13.03', '60.64']"
LAST_GREENS ,"['51.00', '15.15', '8.36']"
RESULTS:,43.04,32.34,44.33

OFFSETS ,"['21.44', '33.83', '43.42']"
GREENS ,"['26.07', '45.53', '3.85', '57.73']"
LAST_GREENS ,"['34.43', '17.62', '11.27']"
RESULTS:,12.74,12.02,9.00

OFFSETS ,"['23.29', '52.50', '51.83']"
GREENS ,"['54.57', '45.51', '13.68', '59.04']"
LAST_GREENS ,"['5.93', '7.81', '9.96']"
RESULTS:,54.94,45.80,49.00

OFFSETS ,"['26.21', '24.29', '51.76']"
GREENS ,"['52.61', '45.51', '13.71', '58.16']"
LAST_GREENS ,"['7.89', '7.78', '10.84']"
RESULTS:,37.43,34.73,48.00

OFFSETS ,"['25.92', '29.76', '40.37']"
GREENS ,"['9.20', '45.35', '3.35', '59.27']"
LAST_GREENS ,"['51.30', '18.30', '9.73']"
RESULTS:,18.95,15.99,24.00

OFFSETS ,"['26.25', '29.50', '51.57']"
GREENS ,"['54.21', '45.88', '13.70', '57.95']"
LAST_GREENS ,"['6.29', '7.42', '11.05']"
RESULTS:,38.95,36.89,48.50

OFFSETS ,"['23.08', '29.59', '51.57']"
GREENS ,"['54.25', '45.51', '11.11', '57.94']"
LAST_GREENS ,"['6.25', '10.38', '11.06']"
RESULTS:,31.88,29.68,45.00

