GREENS ,"['53.41', '45.75', '13.70', '60.59']"
LAST_GREENS ,"['7.09', '7.55', '8.41']"
RESULTS:,51.55,43.71,47.50

OFFSETS ,"['44.52', '53.02', '23.80']"
GREENS ,"['59.97', '38.10', '25.47', '59.73']"
LAST_GREENS ,"['0.53', '3.43', '9.27']"
RESULTS:,47.64,50.42,51.50

OFFSETS ,"['26.25', '24.29', '51.95']"
GREENS ,"['54.21', '45.51', '13.70', '57.94']"
LAST_GREENS ,"['6.29', '7.78', '11.06']"
RESULTS:,37.43,34.73,48.00

OFFSETS ,"['25.92', '29.48', '40.41']"
GREENS ,"['59.81', '45.83', '26.20', '60.59']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['25.93', '29.81', '41.08']"
GREENS ,"['53.03', '45.75', '13.70', '60.59']"
LAST_GREENS ,"['7.47', '7.55', '8.41']"
RESULTS:,52.54,44.64,48.50

OFFSETS ,"['25.86', '43.24', '42.06']"
GREENS ,"['53.36', '45.51', '13.71', '58.16']"
LAST_GREENS ,"['7.14', '7.78', '10.84']"
RESULTS:,43.92,38.62,47.50

OFFSETS ,"['44.68', '29.81', '24.29']"
GREENS ,"['59.63', '37.97', '13.78', '60.48']"
LAST_GREENS ,"['0.87', '15.25', '8.52']"
RESULTS:,49.98,36.17,45.00

OFFSETS ,"['44.58', '29.99', '41.19']"
GREENS ,"['53.41', '45.75', '13.73', '59.72']"
LAST_GREENS ,"['7.09', '7.52', '9.28']"
RESULTS:,47.20,40.86,48.00

OFFSETS ,"['21.44', '33.74', '43.42']"
GREENS ,"['26.07', '45.90', '3.85', '57.73']"
LAST_GREENS ,"['34.43', '17.25', '11.27']"
RESULTS:,14.51,13.82,14.00

OFFSETS ,"['25.91', '29.76', '40.38']"
GREENS ,"['25.36', '45.91', '13.70', '60.59']"
LAST_GREENS ,"['35.14', '7.39', '8.41']"
RESULTS:,50.20,43.82,50.00

OFFSETS ,"['44.32', '29.81', '51.59']"
GREENS ,"['59.73', '37.97', '13.78', '60.60']"
LAST_GREENS ,"['0.77', '15.25', '8.40']"
RESULTS:,41.26,31.67,37.33

OFFSETS ,"['25.81', '43.24', '42.08']"
GREENS ,"['53.41', '45.51', '13.71', '60.56']"
LAST_GREENS ,"['7.09', '7.78', '8.44']"
RESULTS:,52.74,43.92,48.50

OFFSETS ,"['71.36', '33.74', '43.51']"
GREENS ,"['12.04', '38.46', '3.43', '38.76']"
LAST_GREENS ,"['48.46', '25.11', '30.24']"
RESULTS:,55.01,35.49,41.00

OFFSETS ,"['25.92', '29.76', '40.70']"
GREENS ,"['9.25', '45.91', '3.30', '59.31']"
LAST_GREENS ,"['51.25', '17.79', '9.69']"
RESULTS:,25.13,21.16,24.00

OFFSETS ,"['44.52', '53.02', '23.56']"
GREENS ,"['59.97', '38.34', '25.47', '59.73']"
LAST_GREENS ,"['0.53', '3.19', '9.27']"
RESULTS:,52.55,53.63,51.00

OFFSETS ,"['23.09', '9.94', '10.59']"
GREENS ,"['59.40', '38.89', '13.71', '59.84']"
LAST_GREENS ,"['1.10', '14.40', '9.16']"
RESULTS:,42.28,31.74,39.33

OFFSETS ,"['72.03', '29.76', '41.07']"
GREENS ,"['53.41', '38.52', '13.70', '60.14']"
LAST_GREENS ,"['7.09', '14.79', '8.86']"
RESULTS:,52.61,36.27,57.67

OFFSETS ,"['26.22', '24.29', '52.23']"
GREENS ,"['54.21', '45.51', '13.71', '58.16']"
LAST_GREENS ,"['6.29', '7.78', '10.84']"
RESULTS:,37.49,35.01,48.50

OFFSETS ,"['25.52', '29.45', '24.30']"
GREENS ,"['9.93', '38.18', '13.50', '40.03']"
LAST_GREENS ,"['50.57', '15.33', '28.97']"
RESULTS:,37.75,27.23,21.33

OFFSETS ,"['23.17', '34.59', '51.83']"
GREENS ,"['11.67', '45.39', '11.11', '58.64']"
LAST_GREENS ,"['48.83', '10.51', '10.36']"
RESULTS:,28.86,27.09,42.50

OFFSETS ,"['26.25', '29.59', '51.92']"
GREENS ,"['54.21', '45.51', '13.70', '57.94']"
LAST_GREENS ,"['6.29', '7.79', '11.06']"
RESULTS:,36.54,33.89,47.00

OFFSETS ,"['44.61', '23.54', '24.30']"
GREENS ,"['59.97', '38.18', '11.23', '38.93']"
LAST_GREENS ,"['0.53', '17.60', '30.07']"
RESULTS:,37.37,25.66,21.67

OFFSETS ,"['25.92', '29.76', '43.90']"
GREENS ,"['54.19', '45.49', '3.09', '60.60']"
LAST_GREENS ,"['6.31', '18.42', '8.40']"
RESULTS:,29.23,23.33,27.00

OFFSETS ,"['26.42', '29.71', '24.30']"
GREENS ,"['9.47', '38.10', '13.78', '42.87']"
LAST_GREENS ,"['51.03', '15.13', '26.13']"
RESULTS:,35.79,27.25,18.67

OFFSETS ,"['68.16', '33.74', '40.72']"
