1, 416.60
2, 980.03
3, 1856.68
4, 2544.75
5, 3094.29
6, 3660.06
7, 4176.01
8, 4643.86
9, 5033.12
10, 5317.20
11, 5571.58
12, 5916.89
13, 6130.15
14, 6408.01
15, 6547.03
16, 6718.94
17, 6824.10
18, 7009.35
19, 7224.51
20, 7395.45
21, 7534.00
22, 7717.27
23, 7876.92
24, 8036.46
25, 8122.47
26, 8263.05
27, 8315.73
28, 8498.02
29, 8550.66
30, 8645.81
31, 8731.61
32, 8852.36
33, 8905.71
34, 8930.22
35, 9059.70
36, 9092.94
37, 9127.21
38, 9215.21
39, 9269.40
40, 9324.47
41, 9420.41
42, 9453.98
43, 9506.77
44, 9612.34
45, 9655.44
46, 9795.72
47, 9840.82
48, 9925.58
49, 10001.82
50, 10077.90
