OFFSETS ,"['12.74', '65.86', '7.38']"
GREENS ,"['25.48', '64.18', '35.72', '47.74']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['23.66', '51.49', '62.60']"
GREENS ,"['1.11', '50.26', '66.25', '51.62']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['43.06', '11.00', '44.20']"
GREENS ,"['42.34', '6.86', '27.74', '47.91']"
LAST_GREENS ,"['18.16', '32.40', '21.09']"
RESULTS:,174.07,95.83,122.00

OFFSETS ,"['31.06', '3.75', '40.19']"
GREENS ,"['40.16', '34.50', '63.29', '40.47']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['67.76', '10.31', '10.45']"
GREENS ,"['48.85', '26.64', '11.08', '64.00']"
LAST_GREENS ,"['11.65', '29.28', '5.00']"
RESULTS:,118.15,67.82,86.33

OFFSETS ,"['26.08', '56.31', '54.45']"
GREENS ,"['53.44', '41.79', '50.31', '24.07']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['56.46', '4.99', '19.52']"
GREENS ,"['48.69', '12.96', '42.84', '36.20']"
LAST_GREENS ,"['11.81', '11.20', '32.80']"
RESULTS:,203.91,105.44,109.33

OFFSETS ,"['69.36', '19.75', '4.95']"
GREENS ,"['44.47', '51.74', '60.82', '64.31']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['42.60', '23.51', '51.80']"
GREENS ,"['42.30', '8.49', '4.64', '46.06']"
LAST_GREENS ,"['18.20', '53.87', '22.94']"
RESULTS:,337.02,122.61,116.67

OFFSETS ,"['37.02', '33.74', '43.38']"
GREENS ,"['9.31', '1.28', '60.53', '33.60']"
LAST_GREENS ,"['51.19', '5.19', '35.40']"
RESULTS:,321.98,155.44,132.67

OFFSETS ,"['73.04', '11.00', '44.32']"
GREENS ,"['53.06', '58.31', '27.59', '4.60']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['71.21', '46.50', '62.17']"
GREENS ,"['24.87', '18.91', '4.69', '45.23']"
LAST_GREENS ,"['35.63', '43.40', '23.77']"
RESULTS:,157.33,76.78,87.33

OFFSETS ,"['31.13', '20.01', '5.26']"
GREENS ,"['44.47', '51.74', '60.82', '64.31']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['25.71', '51.48', '62.60']"
GREENS ,"['0.62', '50.26', '66.94', '51.62']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['67.76', '10.31', '19.49']"
GREENS ,"['48.85', '26.64', '7.75', '64.94']"
LAST_GREENS ,"['11.65', '32.60', '4.06']"
RESULTS:,110.85,66.27,87.67

OFFSETS ,"['25.92', '29.76', '53.29']"
GREENS ,"['53.27', '46.72', '13.81', '60.59']"
LAST_GREENS ,"['7.23', '6.47', '8.41']"
RESULTS:,53.56,46.68,49.50

OFFSETS ,"['31.28', '54.02', '0.01']"
GREENS ,"['18.39', '9.83', '5.96', '12.85']"
LAST_GREENS ,"['42.11', '51.21', '56.15']"
RESULTS:,357.66,121.22,110.67

OFFSETS ,"['72.55', '2.70', '38.98']"
GREENS ,"['25.12', '56.54', '5.60', '62.04']"
LAST_GREENS ,"['35.38', '4.86', '6.96']"
RESULTS:,102.00,77.25,60.33

OFFSETS ,"['71.21', '46.50', '62.17']"
GREENS ,"['24.86', '44.43', '4.70', '45.50']"
LAST_GREENS ,"['35.64', '17.88', '23.50']"
RESULTS:,17.90,14.52,14.67

OFFSETS ,"['55.90', '28.55', '19.87']"
GREENS ,"['4.01', '47.93', '42.19', '14.48']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['71.48', '53.39', '44.20']"
GREENS ,"['17.35', '6.86', '6.26', '13.47']"
LAST_GREENS ,"['43.15', '53.89', '55.53']"
RESULTS:,358.73,124.95,118.00

OFFSETS ,"['67.76', '8.38', '19.02']"
GREENS ,"['48.85', '26.64', '4.83', '64.94']"
LAST_GREENS ,"['11.65', '35.52', '4.06']"
RESULTS:,120.13,69.84,86.33

OFFSETS ,"['41.07', '11.38', '6.99']"
GREENS ,"['43.28', '9.83', '27.67', '47.30']"
LAST_GREENS ,"['17.22', '29.50', '21.70']"
RESULTS:,279.98,112.10,112.33

OFFSETS ,"['37.03', '48.43', '62.65']"
GREENS ,"['9.49', '1.24', '7.61', '33.56']"
LAST_GREENS ,"['51.01', '58.14', '35.44']"
RESULTS:,409.79,135.84,133.67

OFFSETS ,"['68.04', '10.31', '24.14']"
GREENS ,"['48.85', '26.62', '4.51', '64.00']"
LAST_GREENS ,"['11.65', '35.86', '5.00']"
RESULTS:,125.87,70.81,88.00

OFFSETS ,"['25.92', '29.76', '40.41']"
GREENS ,"['25.36', '45.91', '13.70', '38.87']"
LAST_GREENS ,"['35.14', '7.39', '30.13']"
RESULTS:,62.75,49.46,50.00

OFFSETS ,"['45.47', '42.62', '62.06']"
GREENS ,"['59.83', '38.39', '25.48', '38.02']"
LAST_GREENS ,"['0.67', '3.13', '30.98']"
RESULTS:,72.17,61.62,50.50

OFFSETS ,"['70.93', '46.50', '10.47']"
GREENS ,"['26.65', '38.98', '11.24', '37.97']"
LAST_GREENS ,"['33.85', '16.78', '31.03']"
RESULTS:,68.03,38.49,30.67

OFFSETS ,"['46.56', '0.93', '19.77']"
GREENS ,"['25.37', '46.35', '13.81', '60.59']"
LAST_GREENS ,"['35.13', '6.85', '8.41']"
RESULTS:,62.63,51.49,48.00

OFFSETS ,"['25.79', '28.89', '40.41']"
GREENS ,"['25.38', '20.40', '13.69', '59.69']"
LAST_GREENS ,"['35.12', '32.91', '9.31']"
RESULTS:,108.74,61.84,85.67

OFFSETS ,"['26.02', '29.21', '23.83']"
GREENS ,"['57.61', '33.08', '25.78', '38.13']"
LAST_GREENS ,"['2.89', '8.14', '30.87']"
RESULTS:,89.62,60.54,47.50

OFFSETS ,"['71.21', '50.22', '61.62']"
GREENS ,"['33.92', '44.48', '4.70', '37.97']"
