OFFSETS ,"['31.28', '54.02', '0.01']"
GREENS ,"['18.29', '9.83', '6.19', '12.85']"
LAST_GREENS ,"['42.21', '50.98', '56.15']"
RESULTS:,357.66,121.22,110.67

OFFSETS ,"['25.92', '29.76', '40.41']"
GREENS ,"['25.36', '45.91', '13.70', '60.59']"
LAST_GREENS ,"['35.14', '7.39', '8.41']"
RESULTS:,49.57,43.48,48.00

OFFSETS ,"['18.92', '55.79', '14.66']"
GREENS ,"['35.17', '64.99', '56.74', '16.55']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['37.03', '46.50', '62.17']"
GREENS ,"['9.49', '1.24', '4.69', '33.56']"
LAST_GREENS ,"['51.01', '61.06', '35.44']"
RESULTS:,477.48,147.78,129.67

OFFSETS ,"['2.05', '50.29', '30.06']"
GREENS ,"['18.69', '9.41', '13.27', '11.97']"
LAST_GREENS ,"['41.81', '44.32', '57.03']"
RESULTS:,356.73,119.13,108.67

OFFSETS ,"['56.46', '3.49', '19.52']"
GREENS ,"['48.69', '13.46', '42.84', '36.20']"
LAST_GREENS ,"['11.81', '10.70', '32.80']"
RESULTS:,200.76,106.99,105.00

OFFSETS ,"['55.90', '50.19', '10.82']"
GREENS ,"['4.01', '24.80', '45.52', '13.52']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['72.62', '23.51', '39.04']"
GREENS ,"['25.12', '59.12', '5.59', '2.69']"
LAST_GREENS ,"['35.38', '2.29', '66.31']"
RESULTS:,179.35,92.25,52.00

OFFSETS ,"['12.74', '65.86', '20.17']"
GREENS ,"['5.17', '64.18', '42.15', '47.74']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['45.47', '42.62', '24.09']"
GREENS ,"['59.81', '38.84', '62.32', '38.38']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['41.96', '59.16', '7.87']"
GREENS ,"['27.10', '61.21', '19.67', '19.75']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['9.46', '1.45', '50.91']"
GREENS ,"['12.82', '17.79', '32.94', '3.68']"
LAST_GREENS ,"['47.68', '16.27', '65.32']"
RESULTS:,331.19,113.83,90.67

OFFSETS ,"['25.92', '29.39', '19.92']"
GREENS ,"['53.27', '46.28', '13.81', '60.59']"
LAST_GREENS ,"['7.23', '6.91', '8.41']"
RESULTS:,50.07,43.36,48.50

OFFSETS ,"['72.62', '23.51', '51.92']"
GREENS ,"['53.42', '59.94', '5.70', '3.68']"
LAST_GREENS ,"['7.08', '1.36', '65.32']"
RESULTS:,177.46,91.89,51.67

OFFSETS ,"['72.62', '23.51', '39.55']"
GREENS ,"['25.12', '59.38', '5.59', '2.69']"
LAST_GREENS ,"['35.38', '2.04', '66.31']"
RESULTS:,179.35,92.25,52.00

OFFSETS ,"['55.90', '3.49', '19.71']"
GREENS ,"['48.69', '24.62', '42.84', '36.20']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['31.28', '53.80', '0.01']"
GREENS ,"['48.02', '9.83', '6.19', '12.85']"
LAST_GREENS ,"['12.48', '50.97', '56.15']"
RESULTS:,354.50,120.73,109.67

OFFSETS ,"['46.78', '21.78', '40.81']"
GREENS ,"['25.37', '46.23', '13.70', '1.67']"
LAST_GREENS ,"['35.13', '7.07', '67.33']"
RESULTS:,169.98,85.01,53.33

OFFSETS ,"['25.92', '29.76', '40.41']"
GREENS ,"['25.38', '20.40', '13.69', '60.33']"
LAST_GREENS ,"['35.12', '32.91', '8.67']"
RESULTS:,110.64,62.37,86.33

OFFSETS ,"['25.92', '51.40', '53.29']"
GREENS ,"['53.27', '23.59', '13.81', '60.87']"
LAST_GREENS ,"['7.23', '29.60', '8.13']"
RESULTS:,106.79,59.75,79.00

OFFSETS ,"['72.62', '23.33', '40.42']"
GREENS ,"['25.12', '59.38', '5.67', '2.69']"
LAST_GREENS ,"['35.38', '1.95', '66.31']"
RESULTS:,180.12,92.69,54.00

OFFSETS ,"['73.33', '29.39', '19.92']"
GREENS ,"['21.26', '60.60', '14.22', '0.73']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['45.61', '44.96', '23.83']"
GREENS ,"['57.61', '33.08', '25.78', '38.13']"
LAST_GREENS ,"['2.89', '8.14', '30.87']"
RESULTS:,103.64,64.40,48.00

OFFSETS ,"['25.92', '29.93', '39.54']"
GREENS ,"['25.35', '45.91', '13.62', '60.59']"
LAST_GREENS ,"['35.15', '7.48', '8.41']"
RESULTS:,51.48,43.75,49.00

OFFSETS ,"['45.47', '42.66', '61.81']"
GREENS ,"['53.50', '15.85', '25.48', '3.86']"
LAST_GREENS ,"['7.00', '25.67', '65.14']"
RESULTS:,340.26,112.99,96.33

OFFSETS ,"['55.90', '50.19', '7.07']"
GREENS ,"['24.34', '24.80', '35.76', '14.50']"
LAST_GREENS ,"['36.16', '6.44', '54.50']"
RESULTS:,235.07,108.48,74.33

OFFSETS ,"['2.05', '46.56', '10.30']"
GREENS ,"['26.53', '26.68', '13.27', '64.10']"
LAST_GREENS ,"['33.97', '27.05', '4.90']"
RESULTS:,91.99,58.17,91.67

OFFSETS ,"['25.03', '50.19', '7.07']"
GREENS ,"['24.36', '25.19', '34.42', '61.07']"
LAST_GREENS ,"['36.14', '7.39', '7.93']"
RESULTS:,114.78,77.76,77.33

OFFSETS ,"['45.94', '23.34', '23.30']"
GREENS ,"['59.81', '38.62', '5.31', '38.02']"
LAST_GREENS ,"['0.69', '23.07', '30.98']"
RESULTS:,34.46,23.47,22.00

OFFSETS ,"['26.99', '30.14', '23.80']"
GREENS ,"['59.81', '38.35', '13.26', '38.02']"
LAST_GREENS ,"['0.69', '15.39', '30.98']"
RESULTS:,40.84,28.15,22.67

OFFSETS ,"['71.21', '3.01', '62.17']"
GREENS ,"['24.86', '44.51', '11.01', '45.73']"
LAST_GREENS ,"['35.64', '11.48', '23.27']"
RESULTS:,47.18,35.89,40.50

OFFSETS ,"['45.47', '44.20', '24.20']"
GREENS ,"['33.97', '38.35', '3.95', '37.74']"
LAST_GREENS ,"['26.53', '24.70', '31.26']"
RESULTS:,48.21,27.71,25.33

OFFSETS ,"['45.44', '0.93', '19.77']"
GREENS ,"['25.37', '46.35', '13.81', '60.59']"
LAST_GREENS ,"['35.13', '6.85', '8.41']"
RESULTS:,61.54,50.94,48.50

OFFSETS ,"['24.96', '42.83', '39.04']"
GREENS ,"['57.10', '44.81', '5.18', '63.81']"
LAST_GREENS ,"['3.40', '17.02', '5.19']"
RESULTS:,52.41,37.75,51.00

OFFSETS ,"['71.21', '1.02', '62.17']"
GREENS ,"['24.86', '44.43', '4.70', '45.73']"
LAST_GREENS ,"['35.64', '17.87', '23.27']"
RESULTS:,25.69,18.51,16.67

OFFSETS ,"['71.21', '50.17', '61.62']"
GREENS ,"['26.63', '44.48', '4.70', '37.97']"
LAST_GREENS ,"['33.87', '17.82', '31.03']"
RESULTS:,35.13,24.19,22.67

OFFSETS ,"['45.95', '23.34', '23.30']"
GREENS ,"['34.13', '38.34', '5.31', '38.02']"
LAST_GREENS ,"['26.37', '23.34', '30.98']"
RESULTS:,34.46,23.47,22.00

OFFSETS ,"['72.57', '46.50', '63.30']"
GREENS ,"['26.65', '38.96', '4.35', '45.04']"
LAST_GREENS ,"['33.85', '23.69', '23.96']"
RESULTS:,18.81,14.82,17.67

OFFSETS ,"['71.21', '3.01', '18.41']"
GREENS ,"['24.86', '44.43', '4.70', '38.06']"
LAST_GREENS ,"['35.64', '17.88', '30.94']"
RESULTS:,38.23,26.22,22.33

OFFSETS ,"['26.92', '46.23', '38.98']"
GREENS ,"['25.12', '46.31', '5.10', '62.23']"
LAST_GREENS ,"['35.38', '15.59', '6.77']"
RESULTS:,41.36,30.83,43.00

OFFSETS ,"['67.25', '3.01', '24.74']"
GREENS ,"['24.84', '38.90', '4.70', '45.73']"
LAST_GREENS ,"['35.66', '23.40', '23.27']"
RESULTS:,20.97,16.43,14.67

OFFSETS ,"['71.21', '48.16', '62.17']"
GREENS ,"['24.86', '44.43', '5.17', '38.09']"
LAST_GREENS ,"['35.64', '17.40', '30.91']"
RESULTS:,36.17,25.09,21.33

OFFSETS ,"['71.21', '46.53', '62.17']"
GREENS ,"['24.86', '44.43', '4.70', '45.50']"
LAST_GREENS ,"['35.64', '17.88', '23.50']"
RESULTS:,17.90,14.52,14.67

OFFSETS ,"['71.21', '49.08', '61.62']"
GREENS ,"['26.65', '44.48', '4.68', '37.97']"
LAST_GREENS ,"['33.85', '17.84', '31.03']"
RESULTS:,34.81,23.95,22.33

OFFSETS ,"['45.95', '24.24', '23.30']"
GREENS ,"['34.13', '38.34', '5.31', '45.42']"
LAST_GREENS ,"['26.37', '23.35', '23.58']"
RESULTS:,13.29,11.11,12.33

OFFSETS ,"['71.21', '47.42', '62.15']"
