OFFSETS ,"['2.05', '50.29', '31.30']"
GREENS ,"['33.80', '9.41', '13.27', '55.25']"
LAST_GREENS ,"['26.70', '44.32', '13.75']"
RESULTS:,242.47,107.57,108.33

OFFSETS ,"['72.62', '23.51', '51.92']"
GREENS ,"['53.02', '59.94', '5.70', '2.69']"
LAST_GREENS ,"['7.48', '1.36', '66.31']"
RESULTS:,177.63,92.71,56.67

OFFSETS ,"['45.47', '42.66', '23.80']"
GREENS ,"['59.81', '38.84', '25.47', '38.02']"
LAST_GREENS ,"['0.69', '2.69', '30.98']"
RESULTS:,83.55,65.07,51.00

OFFSETS ,"['55.90', '50.19', '19.87']"
GREENS ,"['4.01', '24.80', '42.19', '14.50']"
LAST_GREENS ,"['56.49', '0.01', '54.50']"
RESULTS:,277.76,134.49,98.00

OFFSETS ,"['55.90', '50.19', '7.07']"
GREENS ,"['24.32', '24.80', '35.76', '14.50']"
LAST_GREENS ,"['36.18', '6.44', '54.50']"
RESULTS:,235.07,108.48,74.33

OFFSETS ,"['69.36', '19.79', '4.12']"
GREENS ,"['44.47', '51.74', '23.97', '63.94']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['20.53', '65.00', '9.18']"
GREENS ,"['16.89', '39.25', '64.63', '38.82']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['37.33', '46.50', '62.17']"
GREENS ,"['9.47', '1.24', '4.69', '33.56']"
LAST_GREENS ,"['51.03', '61.06', '35.44']"
RESULTS:,477.48,147.78,129.67

OFFSETS ,"['21.03', '59.20', '10.57']"
GREENS ,"['48.38', '60.88', '19.67', '18.31']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['25.95', '30.17', '69.36']"
GREENS ,"['41.79', '66.18', '11.55', '9.46']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['31.28', '54.02', '1.71']"
GREENS ,"['33.40', '9.83', '6.19', '56.13']"
LAST_GREENS ,"['27.10', '50.98', '12.87']"
RESULTS:,292.74,114.11,109.67

OFFSETS ,"['45.47', '44.20', '23.80']"
GREENS ,"['59.81', '38.35', '25.47', '38.02']"
LAST_GREENS ,"['0.69', '3.19', '30.98']"
RESULTS:,86.90,65.26,51.00

