OFFSETS,"['42.18', '42.10', '73.63']"
GREENS,"['49.90', '42.56', '1.34', '53.57']"
LAST_GREENS,"['10.60', '23.10', '15.43']"
RESULTS:,20.0,4.38,150.0

OFFSETS,"['42.18', '42.10', '73.63']"
GREENS,"['49.90', '42.56', '1.34', '53.57']"
LAST_GREENS,"['10.60', '23.10', '15.43']"
RESULTS:,20.0,4.38,150.0

OFFSETS,"['42.18', '42.10', '73.63']"
GREENS,"['49.90', '42.56', '1.34', '53.57']"
LAST_GREENS,"['10.60', '23.10', '15.43']"
RESULTS:,20.0,4.38,150.1

OFFSETS,"['42.18', '42.10', '73.63']"
GREENS,"['49.90', '42.56', '1.34', '53.57']"
LAST_GREENS,"['10.60', '23.10', '15.43']"
RESULTS:,4.7,4.38,7.67

OFFSETS,"['42.18', '42.10', '73.63']"
GREENS,"['49.90', '42.56', '1.34', '53.57']"
LAST_GREENS,"['10.60', '23.10', '15.43']"
RESULTS:,150.0,4.38,20.0
